Evaluations;BestFitness;SolutionArray
50;0.0;[4, 0, 0, 1, 4, 1, 4, 2]
100;6.4;[2, 1, 2, 2, 2, 0, 0, 0]
150;6.4;[2, 1, 2, 2, 2, 0, 0, 0]
200;136.33333333333334;[2, 2, 2, 2, 0, 2, 0, 0]
250;4385.666666666667;[1, 1, 1, 1, 1, 0, 0, 0]
300;4385.666666666667;[1, 1, 1, 1, 1, 0, 0, 0]
350;4385.666666666667;[1, 1, 1, 1, 1, 0, 0, 0]
400;4385.666666666667;[1, 1, 1, 1, 1, 0, 0, 0]
450;4385.666666666667;[1, 1, 1, 1, 1, 0, 0, 0]
500;4385.666666666667;[1, 1, 1, 1, 1, 0, 0, 0]
550;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
600;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
650;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
700;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
750;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
800;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
850;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
900;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
950;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1000;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1050;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1100;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1150;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1200;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1250;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1300;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1350;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1400;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1450;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1500;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1550;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1600;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1650;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1700;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1750;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1800;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1850;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1900;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
1950;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
2000;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
2050;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
2100;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
2150;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
