Iteracion;Puntuacion;Array
0;-817.2;[2, 2, 2, 2, 2, 2, 0, 4]
1;-17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
2;-14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
3;-817.2;[2, 2, 2, 2, 2, 2, 0, 4]
4;-13640.4;[3, 3, 3, 3, 3, 3, 0, 0]
5;-14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
6;-14801.5;[1, 1, 1, 1, 1, 1, 0, 2]
7;-13640.4;[3, 3, 3, 3, 3, 3, 0, 0]
8;-14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
9;-14801.5;[1, 1, 1, 1, 1, 1, 0, 2]
10;-14801.5;[1, 1, 1, 1, 1, 1, 0, 2]
11;-681.0;[2, 2, 2, 2, 2, 2, 0, 3]
12;-17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
13;-17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
14;-817.2;[2, 2, 2, 2, 2, 2, 0, 1]
15;-14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
16;-17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
17;-17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
18;-4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
19;-1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
20;-4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
21;-17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
22;-14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
23;-11367.0;[3, 3, 3, 3, 3, 3, 0, 3]
24;-17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
25;-11367.0;[3, 3, 3, 3, 3, 3, 0, 0]
26;-4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 2]
27;-17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
28;-17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
29;-4385.666666666667;[1, 1, 1, 1, 1, 0, 2, 0]
