Mask;Score;Gen
?u?s?u;-0.0;1
?s?u;-0.0;1
?s?s;-0.0;1
?s?s?u?s?s?d?l;-0.0;1
?d?s?d?u;-0.0;1
?l?d?d?u?s?u?s;-0.0;1
;-0.0;1
?d?s;-0.0;1
;-0.0;1
?d?d?s?u?d?u?u?u;-0.0;1
?s?d?u?s?s?l;-0.0;1
?l;-0.0;1
;-0.0;1
?d?s;-0.0;1
?l;-0.0;1
?d;-0.0;1
?l?u;-0.0;1
?l?l?u?d?u?l?l?d;-0.12;1
?s?l?s;-0.0;1
;-0.0;1
;-0.0;1
?s?l?u?d;-0.0;1
?u?u;-0.0;1
;-0.0;1
?l?d;-0.0;1
?u?d?l?l?s?u;-0.0;1
;-0.0;1
?u?l?d;-0.0;1
?s?d;-0.0;1
?s?d?l?d?d?u?u?l;-0.0;1
?l?d?l;-0.0;1
?l?d?l?u;-0.4;1
?s;-0.0;1
?u?u?d;-0.0;1
?d?l;-0.0;1
?s?s?l;-0.0;1
?d?d?d?d?l?d?s?u;-0.0;1
?d?s?d?s?d?d;-0.0;1
?u;-0.0;1
?l?d?l?d?s?l?l?l;-0.0;1
?d?u;-0.0;1
;-0.0;1
?l;-0.0;1
;-0.0;1
?u?l?l;-0.0;1
?u?d?s?u?d?s?u?s;-0.0;1
?s;-0.0;1
?l?u?u?u?l;-4.0;1
?d;-0.0;1
?l?u?u?u?l?s;-0.0;1
?d?s?d?s?d?d;-0.0;2
?l?u;-0.0;2
?d?u;-0.0;2
?l;-0.0;2
?u?u;-0.0;2
?d;-0.0;2
?u;-0.0;2
?s?l?l;-0.0;2
;-0.0;2
?u?d?l?l?s?u;-0.0;2
?l;-0.0;2
?d?u;-0.0;2
?d;-0.0;2
?u?l?u;-0.0;2
?s;-0.0;2
;-0.0;2
?s?u;-0.0;2
?s;-0.0;2
?l?d;-0.0;2
?l?d?d?u?s?u?s;-0.0;2
?l;-0.0;2
?d?s?l;-0.0;2
?u;-0.0;2
?u;-0.0;2
?d?d?d?d?l?d?s?u;-0.0;2
?s?d?l?d?d?u?u?l;-0.0;2
?s?s?u?s?l?d?l;-0.0;2
?u?u;-0.0;2
;-0.0;2
?l?u?u?u?l;-4.0;2
?d?s?d?s?d?d;-0.0;2
?d?s?l?d?d?s?d;-0.0;2
?u;-0.0;2
;-0.0;2
;-0.0;2
?u?d?l?l?s?u;-0.0;2
?l;-0.0;2
?u?d?s?u?d?s?u?s;-0.0;2
?l?l?u?d?u?l?l?l;-0.25;2
?l?d?l?d?s?l?l?d;-0.07142857142857142;2
?l?u?u?u?l;-4.0;2
;-0.0;2
?u;-0.0;2
?d?d?d?d?l?d?s?u;-0.0;2
?l?d?l?u;-0.4;2
?s?u?d?d;-0.0;2
?l?d?l?u?l?s;-0.0;2
?l?u?u?d?s?l?s?l;-0.0;2
;-0.0;2
;-0.0;2
?s?d?d?d?u?d?s?u;-0.0;3
?d;-0.0;3
?l;-0.0;3
?s?u;-0.0;3
?s?d?l;-0.0;3
?l?l?u?d?u?l?l?l;-0.25;3
?l?l?l;-0.0;3
?d?l;-0.0;3
?u?s?u;-0.0;3
;-0.0;3
?l?u?u?u?l;-4.0;3
;-0.0;3
?d?d?s?d?d?u?u?u;-0.0;3
?s?s?u?d?l?l?d;-0.0;3
;-0.0;3
;-0.0;3
?l?u?u;-0.0;3
?l?u?u?u?l;-4.0;3
;-0.0;3
?l?u?u?u?l;-4.0;3
?u?d?d?l?s?u;-0.0;3
?l?u?u?u?l?u?l?s;-0.0;3
?l?l?u?d?u?l?l?l;-0.25;3
?s?u;-0.0;3
?u?l?d;-0.0;3
;-0.0;3
?s?d?u?d;-0.0;3
?l?d;-0.0;3
?l?l?u?d?u?l?l?l;-0.25;3
;-0.0;3
?u?u?d;-0.0;3
?l?d?l?s?l;-0.16666666666666666;3
?d;-0.0;3
?l?d?l?u?s?s?l?l;-0.0;3
?d;-0.0;3
?s?l?l?l?s?l?l?l;-0.038461538461538464;3
?d?d;-0.0;3
?l?u?u?u?l;-4.0;3
?l?u?u?u?l;-4.0;3
?l?d?l?d?s?l?s?d;-0.0;3
?d?s;-0.0;3
?d?s;-0.0;3
?l?u?u?u?l;-4.0;3
?l?u?u?u?l;-4.0;3
?u?u;-0.0;3
?l?d?l;-0.0;3
?s?d;-0.0;3
?l?u?u?s?s?l;-0.0;3
?l;-0.0;3
?l?d?l;-0.0;3
;-0.0;4
?l?d?u?d?u?l?l?l;-0.36363636363636365;4
?d?u?u?s?l;-0.0;4
?l?u?u?d?l;-1.1666666666666667;4
?l?s?u?u?l;-0.0;4
;-0.0;4
;-0.0;4
?s?l?d?l?u?l?l?l;-0.0;4
?l?u?u?u?l;-4.0;4
?l?u?u?u?l;-4.0;4
?s?d?l?d?d?u?l?d;-0.0;4
?l?d?l?d?s?l?s?l;-0.0;4
;-0.0;4
?l?u?u?u?l;-4.0;4
?l;-0.0;4
?l?d?l;-0.0;4
?l?d?l?u;-0.4;4
?l;-0.0;4
?d?s?d?u;-0.0;4
?d?l?u?d?u?l?d?d;-0.0;4
?s?s;-0.0;4
?l?d?u?u;-0.6;4
?s?u?u?l?l;-0.0;4
?l;-0.0;4
?s?l;-0.0;4
?s;-0.0;4
?s?d;-0.0;4
?l;-0.0;4
?l?d?d?u;-0.2;4
?d?s?l?u?s;-0.0;4
?l?d?d?u?s?u?s?d;-0.0;4
?l?d?l?d?s?l?l;-0.0;4
?l?u?u?u?s?l?l?d;-0.0;4
?l?d;-0.0;4
?l?u?u?u?l;-4.0;4
?l?u?u?u?l;-4.0;4
?l?d?u?u?l;-1.0;4
?d?u?l?s?l?s;-0.0;4
?d?d?s?u?l;-0.16666666666666666;4
?l?l?u?u?d?u?u?u;-0.5;4
?l?d?l?u;-0.4;4
?l?u?u?u?l;-4.0;4
?l?d?s?u?d?u?u?u;-0.0;4
?l?l?u?d?u?s?l?l;-0.0;4
?l?l?u?d?d?u?u?u;-0.16666666666666666;4
?d?d?s?u?u?l?l?l;-0.0;4
?l?l?l?d?s?l?l?d;-0.0;4
?l?l?u?d?u?l?l?l;-0.25;4
?d?s?d?u;-0.0;4
?d?u?u?u?l;-3.4;4
?l?u?u?u?l;-4.0;5
?s?u?u?u?l;-0.0;5
?l?u?u?l?s?l?l?l;-0.0;5
?s?l?l?u?l;-0.0;5
?l?u?u?d?l;-1.1666666666666667;5
?l?u?u?u?l;-4.0;5
?l?u?u?u?l;-4.0;5
?l?d?u?u?l;-1.0;5
?l?u?u?u?l;-4.0;5
?l?u?d?u?l;-1.6;5
?s?d?s?u?l;-0.0;5
?l?u?u?u?l;-4.0;5
?u?u?u?u?l;-4.8;5
?l?l?u?s?d?u?u?u;-0.0;5
?u?u?u?u?l;-4.8;5
?l?u?u?u?l;-4.0;5
?l?l?u?d?u;-2.6;5
?l?u?u?u?l?l?l?l;-0.5151515151515151;5
?l?u?u?u?s;-0.0;5
?l?d?u?u;-0.6;5
?l?u?u?u?l;-4.0;5
?l?s?u?u?l;-0.0;5
?d?d?u?u?l;-3.0;5
?l?d?s?u?d?u?u?u;-0.0;5
?l?u?u?l?l;-4.833333333333333;5
?l?u?s?u?l;-0.2;5
?l?l?u?d?u?l?l?l;-0.25;5
?l?u?u?u?l;-4.0;5
?l?d?l?u;-0.4;5
?l?u?s?u?l;-0.2;5
?l?l?u?u?l;-4.833333333333333;5
