Evaluations;BestFitness;SolutionArray
50;0.0;[2, 1, 2, 2, 4, 2, 1, 3]
100;47.6;[1, 1, 3, 1, 0, 1, 3, 3]
150;47.6;[1, 1, 3, 1, 0, 1, 3, 3]
200;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
250;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
300;1758.5;[3, 3, 3, 3, 3, 0, 2, 1]
350;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
400;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
450;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
500;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
550;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
600;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
650;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
700;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
750;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
800;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
850;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
900;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
950;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
1000;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
1050;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
1100;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
1150;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
1200;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
1250;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
1300;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
1350;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
1400;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
1450;2077.6666666666665;[1, 1, 1, 1, 0, 1, 3, 3]
1500;5262.8;[1, 1, 1, 1, 1, 0, 2, 1]
1550;5262.8;[1, 1, 1, 1, 1, 0, 2, 1]
1600;5262.8;[1, 1, 1, 1, 1, 0, 2, 1]
1650;5262.8;[1, 1, 1, 1, 1, 0, 2, 1]
1700;5262.8;[1, 1, 1, 1, 1, 0, 2, 1]
1750;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
1800;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
1850;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
1900;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
1950;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2000;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2050;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2100;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2150;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2200;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2250;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2300;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2350;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2400;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2450;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2500;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2550;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2600;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2650;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2700;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2750;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2800;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2850;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2900;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
2950;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
3000;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
3050;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
3100;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
3150;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
3200;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
3250;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
3300;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
3350;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
3400;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
3450;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
3500;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
3550;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
3600;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
3650;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
3700;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
3750;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
3800;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
3850;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
