Array;Mask;Score;Generacion
[4, 3, 4, 1, 3, 3, 4, 2];?s?d?s?l?d?d?s?u;-0.0;1
[1, 1, 1, 2, 2, 2, 4, 1];?l?l?l?u?u?u?s?l;-0.0;1
[3, 3, 4, 4, 0, 0, 1, 2];?d?d?s?s;-0.0;1
[1, 3, 1, 1, 4, 0, 3, 1];?l?d?l?l?s;-0.0;1
[3, 4, 4, 2, 2, 3, 4, 4];?d?s?s?u?u?d?s?s;-0.0;1
[3, 1, 4, 3, 0, 4, 0, 3];?d?l?s?d;-0.0;1
[2, 2, 4, 3, 4, 1, 4, 1];?u?u?s?d?s?l?s?l;-0.0;1
[2, 2, 3, 2, 4, 4, 3, 4];?u?u?d?u?s?s?d?s;-0.0;1
[4, 3, 1, 2, 4, 1, 3, 4];?s?d?l?u?s?l?d?s;-0.0;1
[2, 1, 4, 3, 4, 3, 3, 4];?u?l?s?d?s?d?d?s;-0.0;1
[3, 1, 1, 1, 4, 3, 2, 1];?d?l?l?l?s?d?u?l;-0.0;1
[1, 3, 2, 1, 0, 0, 2, 0];?l?d?u?l;-1.0;1
[3, 2, 3, 4, 4, 1, 3, 1];?d?u?d?s?s?l?d?l;-0.0;1
[3, 2, 3, 1, 2, 4, 3, 4];?d?u?d?l?u?s?d?s;-0.0;1
[3, 3, 4, 3, 0, 0, 0, 3];?d?d?s?d;-0.0;1
[4, 2, 3, 3, 4, 2, 2, 3];?s?u?d?d?s?u?u?d;-0.0;1
[3, 1, 1, 2, 2, 2, 2, 3];?d?l?l?u?u?u?u?d;-0.0;1
[3, 2, 2, 3, 4, 1, 2, 0];?d?u?u?d?s?l?u;-0.0;1
[3, 1, 3, 3, 0, 0, 1, 4];?d?l?d?d;-1.25;1
[4, 3, 4, 2, 1, 4, 4, 0];?s?d?s?u?l?s?s;-0.0;1
[4, 2, 1, 1, 0, 0, 1, 2];?s?u?l?l;-0.0;1
[4, 1, 4, 3, 0, 3, 2, 0];?s?l?s?d;-0.0;1
[2, 3, 4, 3, 3, 4, 2, 1];?u?d?s?d?d?s?u?l;-0.0;1
[1, 1, 4, 4, 2, 3, 1, 0];?l?l?s?s?u?d?l;-0.0;1
[2, 2, 1, 3, 3, 4, 3, 2];?u?u?l?d?d?s?d?u;-0.0;1
[1, 4, 4, 1, 1, 1, 4, 4];?l?s?s?l?l?l?s?s;-0.0;1
[3, 3, 3, 2, 4, 1, 2, 1];?d?d?d?u?s?l?u?l;-0.0;1
[2, 3, 2, 1, 1, 0, 3, 0];?u?d?u?l?l;-4.0;1
[1, 2, 3, 3, 1, 2, 2, 3];?l?u?d?d?l?u?u?d;-0.2857142857142857;1
[3, 1, 1, 2, 3, 1, 1, 3];?d?l?l?u?d?l?l?d;-0.0;1
[4, 2, 3, 2, 3, 1, 4, 4];?s?u?d?u?d?l?s?s;-0.0;1
[2, 1, 4, 1, 1, 0, 3, 4];?u?l?s?l?l;-0.0;1
[4, 1, 1, 1, 1, 2, 2, 4];?s?l?l?l?l?u?u?s;-0.0;1
[3, 4, 4, 1, 1, 3, 2, 1];?d?s?s?l?l?d?u?l;-0.0;1
[1, 2, 3, 3, 2, 2, 1, 1];?l?u?d?d?u?u?l?l;-0.041666666666666664;1
[2, 2, 3, 3, 3, 4, 3, 0];?u?u?d?d?d?s?d;-0.0;1
[2, 4, 2, 4, 3, 2, 1, 2];?u?s?u?s?d?u?l?u;-0.0;1
