Evaluations;BestFitness;SolutionArray
10;0.0;[1, 3, 2, 3, 3, 3, 1, 1]
20;4.666666666666667;[2, 2, 2, 3, 0, 2, 3, 4]
30;4.666666666666667;[2, 2, 2, 3, 0, 2, 3, 4]
40;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
50;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
60;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
70;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
80;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
90;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
100;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
110;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
120;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
130;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
140;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
150;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
160;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
170;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
180;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
190;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
200;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
210;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
220;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
230;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
240;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
250;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
260;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
270;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
280;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
290;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
300;163.6;[2, 2, 2, 2, 0, 2, 3, 4]
