Iteracion;Puntuacion;Array
0;-17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1;-4385.666666666667;[1, 1, 1, 1, 1, 0, 3, 1]
2;-1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3;-17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
4;-2077.6666666666665;[1, 1, 1, 1, 0, 4, 2, 2]
5;-17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
6;-17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
7;-2077.6666666666665;[1, 1, 1, 1, 0, 4, 2, 4]
8;-4385.666666666667;[1, 1, 1, 1, 1, 0, 3, 1]
9;-17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
10;-17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
11;-2110.2;[3, 3, 3, 3, 3, 0, 4, 3]
12;-17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
13;-246.2;[2, 2, 2, 2, 2, 0, 4, 3]
14;-246.2;[2, 2, 2, 2, 2, 0, 1, 4]
15;-4385.666666666667;[1, 1, 1, 1, 1, 0, 3, 0]
16;-17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
17;-4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 0]
18;-17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
19;-4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 4]
20;-2077.6666666666665;[1, 1, 1, 1, 0, 4, 3, 2]
21;-246.2;[2, 2, 2, 2, 2, 0, 4, 3]
22;-246.2;[2, 2, 2, 2, 2, 0, 2, 2]
23;-17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
24;-17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
25;-4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 0]
26;-11367.0;[3, 3, 3, 3, 3, 3, 0, 4]
27;-246.2;[2, 2, 2, 2, 2, 0, 4, 2]
28;-17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
29;-4385.666666666667;[1, 1, 1, 1, 1, 0, 3, 4]
