Array;Mask;Score;Generacion
[1, 2, 1, 2, 2, 4, 2, 3];?l?u?l?u?u?s?u?d;-0.0;1
[4, 3, 1, 3, 3, 1, 4, 0];?s?d?l?d?d?l?s;-0.0;1
[1, 2, 2, 2, 3, 0, 2, 2];?l?u?u?u?d;-2.6;1
[1, 2, 4, 2, 0, 3, 2, 3];?l?u?s?u;-0.0;1
[4, 4, 1, 1, 3, 3, 2, 2];?s?s?l?l?d?d?u?u;-0.0;1
[3, 4, 2, 3, 3, 1, 0, 1];?d?s?u?d?d?l;-0.0;1
[1, 4, 4, 4, 2, 3, 1, 1];?l?s?s?s?u?d?l?l;-0.0;1
[4, 4, 2, 2, 1, 1, 2, 2];?s?s?u?u?l?l?u?u;-0.0;1
[4, 2, 1, 2, 0, 2, 3, 2];?s?u?l?u;-0.0;1
[2, 2, 2, 2, 3, 2, 3, 2];?u?u?u?u?d?u?d?u;-1.0666666666666667;1
[4, 1, 1, 1, 2, 2, 4, 2];?s?l?l?l?u?u?s?u;-0.0;1
[3, 3, 1, 3, 3, 0, 3, 2];?d?d?l?d?d;-5.8;1
[4, 2, 4, 1, 0, 3, 1, 3];?s?u?s?l;-0.0;1
[1, 1, 4, 1, 1, 1, 4, 0];?l?l?s?l?l?l?s;-0.07692307692307693;1
[2, 2, 4, 2, 0, 3, 4, 4];?u?u?s?u;-0.0;1
[4, 3, 1, 1, 0, 2, 1, 1];?s?d?l?l;-0.0;1
[2, 2, 2, 2, 2, 1, 1, 1];?u?u?u?u?u?l?l?l;-0.5882352941176471;1
[4, 4, 1, 4, 0, 2, 1, 1];?s?s?l?s;-0.0;1
[1, 3, 1, 2, 0, 3, 1, 4];?l?d?l?u;-0.3333333333333333;1
[4, 1, 3, 4, 3, 2, 4, 0];?s?l?d?s?d?u?s;-0.0;1
[3, 4, 1, 4, 3, 3, 2, 1];?d?s?l?s?d?d?u?l;-0.0;1
[3, 1, 3, 2, 3, 1, 1, 0];?d?l?d?u?d?l?l;-0.0;1
[3, 2, 2, 3, 1, 3, 0, 3];?d?u?u?d?l?d;-0.0;1
[3, 2, 4, 1, 3, 3, 4, 4];?d?u?s?l?d?d?s?s;-0.0;1
[1, 3, 1, 4, 2, 3, 1, 1];?l?d?l?s?u?d?l?l;-0.0;1
[1, 2, 2, 4, 3, 4, 4, 1];?l?u?u?s?d?s?s?l;-0.0;1
[3, 2, 1, 1, 4, 2, 1, 4];?d?u?l?l?s?u?l?s;-0.0;1
[4, 4, 3, 1, 2, 2, 2, 3];?s?s?d?l?u?u?u?d;-0.0;1
[2, 4, 3, 4, 2, 1, 1, 0];?u?s?d?s?u?l?l;-0.0;1
[2, 2, 2, 4, 4, 2, 4, 0];?u?u?u?s?s?u?s;-0.0;1
[4, 2, 4, 4, 1, 2, 3, 0];?s?u?s?s?l?u?d;-0.0;1
[1, 1, 4, 1, 0, 1, 2, 2];?l?l?s?l;-0.6666666666666666;1
[2, 1, 4, 4, 1, 4, 4, 1];?u?l?s?s?l?s?s?l;-0.0;1
[1, 1, 4, 4, 0, 1, 2, 1];?l?l?s?s;-0.0;1
[1, 2, 2, 2, 1, 4, 0, 1];?l?u?u?u?l?s;-0.0;1
[1, 3, 2, 4, 0, 2, 0, 0];?l?d?u?s;-0.0;1
[3, 4, 3, 4, 3, 2, 4, 4];?d?s?d?s?d?u?s?s;-0.0;1
[1, 1, 3, 1, 3, 3, 3, 0];?l?l?d?l?d?d?d;-5.8;1
[3, 3, 2, 3, 1, 2, 1, 4];?d?d?u?d?l?u?l?s;-0.0;1
[1, 2, 3, 2, 1, 4, 4, 0];?l?u?d?u?l?s?s;-0.0;1
[3, 4, 4, 3, 4, 1, 0, 4];?d?s?s?d?s?l;-0.0;1
[2, 4, 2, 3, 2, 0, 2, 1];?u?s?u?d?u;-0.0;1
[4, 4, 3, 1, 4, 4, 1, 2];?s?s?d?l?s?s?l?u;-0.0;1
[1, 1, 3, 3, 2, 1, 2, 4];?l?l?d?d?u?l?u?s;-0.0;1
[1, 4, 3, 3, 3, 1, 1, 0];?l?s?d?d?d?l?l;-0.0;1
[1, 3, 2, 1, 3, 2, 3, 0];?l?d?u?l?d?u?d;-0.5;1
[4, 2, 4, 2, 4, 0, 2, 3];?s?u?s?u?s;-0.0;1
[2, 4, 2, 2, 0, 1, 1, 1];?u?s?u?u;-0.0;1
[1, 3, 1, 4, 4, 0, 0, 2];?l?d?l?s?s;-0.0;1
[3, 4, 3, 3, 4, 3, 4, 0];?d?s?d?d?s?d?s;-0.0;1
[4, 4, 3, 1, 2, 2, 2, 3];?s?s?d?l?u?u?u?d;-0.0;2
[1, 2, 4, 2, 0, 3, 2, 3];?l?u?s?u;-0.0;2
[1, 3, 4, 4, 2, 3, 1, 1];?l?d?s?s?u?d?l?l;-0.0;2
[1, 4, 1, 2, 0, 3, 1, 4];?l?s?l?u;-0.0;2
[1, 3, 3, 3, 4, 3, 4, 0];?l?d?d?d?s?d?s;-0.0;2
[3, 4, 1, 4, 0, 3, 1, 4];?d?s?l?s;-0.0;2
[1, 1, 4, 1, 1, 1, 4, 0];?l?l?s?l?l?l?s;-0.07692307692307693;2
[2, 2, 4, 2, 0, 3, 2, 4];?u?u?s?u;-0.0;2
[4, 4, 3, 1, 4, 0, 1, 2];?s?s?d?l?s;-0.0;2
[1, 3, 4, 4, 2, 3, 1, 1];?l?d?s?s?u?d?l?l;-0.0;2
[1, 1, 4, 1, 0, 1, 2, 2];?l?l?s?l;-0.6666666666666666;2
[1, 3, 2, 4, 0, 2, 0, 0];?l?d?u?s;-0.0;2
[3, 2, 2, 3, 1, 3, 3, 2];?d?u?u?d?l?d?d?u;-0.0;2
[4, 2, 1, 2, 0, 2, 0, 3];?s?u?l?u;-0.0;2
[4, 4, 4, 2, 0, 3, 2, 3];?s?s?s?u;-0.0;2
[1, 2, 1, 4, 0, 2, 1, 1];?l?u?l?s;-0.0;2
[3, 3, 1, 4, 4, 2, 4, 0];?d?d?l?s?s?u?s;-0.0;2
[2, 2, 2, 3, 3, 0, 3, 2];?u?u?u?d?d;-8.666666666666666;2
[4, 4, 3, 1, 2, 2, 2, 0];?s?s?d?l?u?u?u;-0.0;2
[1, 2, 3, 2, 1, 4, 4, 3];?l?u?d?u?l?s?s?d;-0.0;2
[1, 2, 3, 2, 1, 4, 4, 2];?l?u?d?u?l?s?s?u;-0.0;2
[0, 4, 3, 1, 4, 4, 1, 0];;-0.0;2
[3, 3, 2, 1, 3, 2, 1, 0];?d?d?u?l?d?u?l;-0.0;2
[1, 4, 3, 3, 3, 1, 3, 0];?l?s?d?d?d?l?d;-0.0;2
[3, 4, 1, 4, 3, 3, 2, 1];?d?s?l?s?d?d?u?l;-0.0;2
[1, 2, 2, 4, 3, 4, 4, 1];?l?u?u?s?d?s?s?l;-0.0;2
[2, 2, 2, 2, 2, 1, 3, 0];?u?u?u?u?u?l?d;-1.0;2
[1, 1, 3, 1, 3, 3, 1, 1];?l?l?d?l?d?d?l?l;-8.0;2
[1, 2, 1, 2, 2, 4, 2, 2];?l?u?l?u?u?s?u?u;-0.0;2
[1, 1, 4, 1, 0, 1, 2, 3];?l?l?s?l;-0.6666666666666666;2
[1, 4, 4, 4, 2, 3, 1, 0];?l?s?s?s?u?d?l;-0.0;2
[4, 1, 3, 4, 3, 2, 4, 1];?s?l?d?s?d?u?s?l;-0.0;2
[2, 4, 2, 1, 0, 1, 2, 2];?u?s?u?l;-0.0;2
[1, 1, 4, 3, 2, 0, 2, 1];?l?l?s?d?u;-0.0;2
[3, 2, 2, 3, 1, 3, 0, 1];?d?u?u?d?l?d;-0.0;2
[3, 4, 1, 4, 3, 3, 2, 3];?d?s?l?s?d?d?u?d;-0.0;2
[4, 2, 4, 2, 0, 3, 2, 3];?s?u?s?u;-0.0;2
[1, 2, 4, 2, 4, 0, 2, 3];?l?u?s?u?s;-0.0;2
[1, 1, 1, 4, 0, 2, 1, 1];?l?l?l?s;-1.6666666666666667;2
[4, 4, 4, 4, 2, 3, 1, 1];?s?s?s?s?u?d?l?l;-0.0;2
[2, 2, 3, 1, 3, 3, 3, 0];?u?u?d?l?d?d?d;-0.16666666666666666;2
[1, 1, 2, 2, 2, 1, 1, 1];?l?l?u?u?u?l?l?l;-0.6060606060606061;2
[2, 2, 2, 2, 3, 2, 3, 2];?u?u?u?u?d?u?d?u;-1.0666666666666667;2
[2, 2, 4, 2, 0, 3, 3, 4];?u?u?s?u;-0.0;2
[4, 4, 3, 1, 4, 2, 1, 1];?s?s?d?l?s?u?l?l;-0.0;2
[4, 4, 1, 4, 0, 4, 1, 2];?s?s?l?s;-0.0;2
[4, 3, 1, 1, 0, 2, 2, 3];?s?d?l?l;-0.0;2
[4, 4, 3, 1, 2, 2, 1, 1];?s?s?d?l?u?u?l?l;-0.0;2
[1, 2, 1, 4, 4, 0, 0, 2];?l?u?l?s?s;-0.0;2
[1, 3, 2, 2, 3, 0, 2, 2];?l?d?u?u?d;-2.0;2
[1, 3, 2, 2, 3, 0, 2, 2];?l?d?u?u?d;-2.0;3
[1, 1, 4, 1, 1, 1, 4, 0];?l?l?s?l?l?l?s;-0.07692307692307693;3
[4, 3, 1, 3, 3, 1, 4, 0];?s?d?l?d?d?l?s;-0.0;3
[1, 1, 1, 4, 0, 2, 1, 1];?l?l?l?s;-1.6666666666666667;3
[3, 2, 4, 3, 3, 0, 3, 2];?d?u?s?d?d;-0.0;3
[2, 2, 2, 1, 3, 3, 4, 4];?u?u?u?l?d?d?s?s;-0.0;3
[2, 2, 2, 2, 3, 2, 3, 2];?u?u?u?u?d?u?d?u;-1.0666666666666667;3
[3, 3, 1, 3, 3, 0, 3, 2];?d?d?l?d?d;-5.8;3
[2, 2, 2, 2, 2, 1, 1, 1];?u?u?u?u?u?l?l?l;-0.5882352941176471;3
[1, 1, 4, 1, 0, 1, 2, 3];?l?l?s?l;-0.6666666666666666;3
[2, 2, 2, 2, 2, 1, 3, 0];?u?u?u?u?u?l?d;-1.0;3
[2, 2, 2, 2, 2, 1, 3, 0];?u?u?u?u?u?l?d;-1.0;3
[3, 1, 3, 2, 3, 1, 3, 2];?d?l?d?u?d?l?d?u;-0.125;3
[3, 3, 1, 3, 3, 0, 1, 0];?d?d?l?d?d;-5.8;3
[1, 1, 4, 1, 1, 1, 3, 0];?l?l?s?l?l?l?d;-0.5714285714285714;3
[2, 2, 3, 1, 3, 3, 4, 0];?u?u?d?l?d?d?s;-0.0;3
[1, 2, 2, 4, 4, 2, 4, 0];?l?u?u?s?s?u?s;-0.0;3
[2, 1, 4, 1, 0, 1, 2, 2];?u?l?s?l;-0.0;3
[4, 3, 1, 3, 3, 3, 3, 0];?s?d?l?d?d?d?d;-0.0;3
[2, 2, 3, 1, 3, 2, 4, 0];?u?u?d?l?d?u?s;-0.0;3
[1, 1, 1, 4, 0, 2, 1, 1];?l?l?l?s;-1.6666666666666667;3
[1, 1, 4, 1, 1, 1, 4, 0];?l?l?s?l?l?l?s;-0.07692307692307693;3
[1, 3, 2, 2, 0, 3, 1, 4];?l?d?u?u;-0.6;3
[1, 3, 1, 2, 3, 0, 2, 2];?l?d?l?u?d;-0.2;3
[2, 2, 2, 2, 3, 2, 3, 2];?u?u?u?u?d?u?d?u;-1.0666666666666667;3
[4, 2, 4, 1, 0, 3, 1, 3];?s?u?s?l;-0.0;3
[4, 2, 2, 2, 2, 1, 3, 0];?s?u?u?u?u?l?d;-0.0;3
[2, 3, 1, 1, 0, 2, 1, 1];?u?d?l?l;-0.6;3
[4, 4, 3, 1, 2, 2, 2, 3];?s?s?d?l?u?u?u?d;-0.0;3
[2, 2, 3, 1, 3, 3, 3, 0];?u?u?d?l?d?d?d;-0.16666666666666666;3
[1, 1, 4, 1, 2, 1, 4, 0];?l?l?s?l?u?l?s;-0.0;3
[2, 2, 2, 2, 3, 2, 3, 2];?u?u?u?u?d?u?d?u;-1.0666666666666667;3
[4, 4, 3, 1, 2, 2, 2, 3];?s?s?d?l?u?u?u?d;-0.0;3
[1, 1, 4, 1, 1, 1, 4, 0];?l?l?s?l?l?l?s;-0.07692307692307693;3
[2, 2, 2, 2, 2, 1, 3, 0];?u?u?u?u?u?l?d;-1.0;3
[3, 3, 1, 3, 3, 0, 3, 2];?d?d?l?d?d;-5.8;3
[1, 1, 4, 1, 0, 1, 2, 2];?l?l?s?l;-0.6666666666666666;3
[2, 2, 2, 3, 3, 0, 3, 2];?u?u?u?d?d;-8.666666666666666;3
[2, 2, 2, 1, 4, 2, 1, 4];?u?u?u?l?s?u?l?s;-0.0;3
[3, 2, 1, 2, 3, 2, 3, 2];?d?u?l?u?d?u?d?u;-0.0;3
[4, 2, 4, 4, 1, 2, 3, 0];?s?u?s?s?l?u?d;-0.0;3
[2, 4, 3, 1, 3, 3, 3, 0];?u?s?d?l?d?d?d;-0.0;3
[1, 1, 4, 1, 1, 1, 4, 0];?l?l?s?l?l?l?s;-0.07692307692307693;3
[2, 2, 2, 2, 3, 2, 3, 2];?u?u?u?u?d?u?d?u;-1.0666666666666667;3
[1, 1, 3, 1, 1, 3, 1, 1];?l?l?d?l?l?d?l?l;-33.63636363636363;3
[1, 1, 2, 2, 2, 1, 1, 1];?l?l?u?u?u?l?l?l;-0.6060606060606061;3
[3, 2, 4, 1, 3, 3, 4, 4];?d?u?s?l?d?d?s?s;-0.0;3
[4, 3, 1, 1, 0, 2, 1, 1];?s?d?l?l;-0.0;3
[2, 2, 2, 2, 3, 2, 3, 2];?u?u?u?u?d?u?d?u;-1.0666666666666667;3
[2, 2, 2, 3, 3, 0, 3, 2];?u?u?u?d?d;-8.666666666666666;3
