Array;Mask;Score;Generacion
[1, 3, 1, 3, 4, 1, 0, 2];?l?d?l?d?s?l;-0.0;1
[1, 3, 3, 4, 3, 1, 3, 4];?l?d?d?s?d?l?d?s;-0.0;1
[2, 4, 3, 4, 2, 2, 3, 0];?u?s?d?s?u?u?d;-0.0;1
[3, 2, 4, 4, 3, 0, 2, 3];?d?u?s?s?d;-0.0;1
[1, 1, 3, 1, 2, 4, 2, 1];?l?l?d?l?u?s?u?l;-0.0;1
[1, 3, 4, 4, 1, 3, 3, 1];?l?d?s?s?l?d?d?l;-0.0;1
[3, 1, 3, 1, 3, 1, 0, 4];?d?l?d?l?d?l;-57.2;1
[1, 4, 3, 3, 4, 0, 2, 3];?l?s?d?d?s;-0.0;1
[1, 1, 2, 3, 0, 1, 4, 2];?l?l?u?d;-0.4;1
[1, 1, 2, 3, 1, 2, 1, 4];?l?l?u?d?l?u?l?s;-0.0;1
[2, 4, 4, 2, 4, 1, 1, 3];?u?s?s?u?s?l?l?d;-0.0;1
[1, 2, 1, 4, 2, 4, 2, 1];?l?u?l?s?u?s?u?l;-0.0;1
[4, 1, 1, 1, 3, 2, 1, 3];?s?l?l?l?d?u?l?d;-0.0;1
[1, 1, 3, 2, 1, 1, 0, 2];?l?l?d?u?l?l;-2.5;1
[1, 3, 1, 1, 2, 4, 1, 1];?l?d?l?l?u?s?l?l;-0.0;1
[3, 2, 4, 4, 0, 2, 0, 3];?d?u?s?s;-0.0;1
[2, 3, 3, 4, 4, 4, 3, 2];?u?d?d?s?s?s?d?u;-0.0;1
[4, 4, 4, 3, 1, 2, 1, 4];?s?s?s?d?l?u?l?s;-0.0;1
[3, 2, 3, 4, 0, 1, 3, 3];?d?u?d?s;-0.0;1
[4, 1, 4, 4, 4, 4, 2, 4];?s?l?s?s?s?s?u?s;-0.0;1
[1, 3, 2, 4, 2, 3, 3, 1];?l?d?u?s?u?d?d?l;-0.0;1
[4, 4, 1, 2, 2, 1, 3, 3];?s?s?l?u?u?l?d?d;-0.0;1
[3, 3, 2, 4, 2, 0, 4, 1];?d?d?u?s?u;-0.0;1
[4, 1, 3, 3, 0, 2, 1, 2];?s?l?d?d;-0.0;1
[3, 3, 2, 3, 0, 3, 1, 3];?d?d?u?d;-1.6666666666666667;1
[1, 3, 3, 2, 3, 3, 0, 1];?l?d?d?u?d?d;-1.0;1
[4, 4, 2, 3, 1, 4, 3, 2];?s?s?u?d?l?s?d?u;-0.0;1
[3, 4, 4, 2, 3, 3, 4, 2];?d?s?s?u?d?d?s?u;-0.0;1
[4, 1, 3, 2, 2, 1, 3, 3];?s?l?d?u?u?l?d?d;-0.0;1
[1, 3, 4, 2, 4, 4, 4, 0];?l?d?s?u?s?s?s;-0.0;1
[4, 4, 2, 2, 0, 4, 0, 1];?s?s?u?u;-0.0;1
[1, 1, 2, 3, 0, 0, 3, 4];?l?l?u?d;-0.4;1
[3, 1, 3, 1, 3, 4, 1, 0];?d?l?d?l?d?s?l;-0.0;1
[3, 3, 2, 4, 0, 3, 1, 0];?d?d?u?s;-0.0;1
[2, 2, 2, 1, 0, 0, 3, 3];?u?u?u?l;-2.0;1
[4, 2, 3, 3, 1, 2, 3, 4];?s?u?d?d?l?u?d?s;-0.0;1
[2, 3, 4, 3, 3, 2, 3, 2];?u?d?s?d?d?u?d?u;-0.0;1
[1, 3, 4, 1, 3, 2, 3, 3];?l?d?s?l?d?u?d?d;-0.0;1
[2, 4, 1, 3, 1, 0, 4, 3];?u?s?l?d?l;-0.0;1
[3, 1, 3, 4, 2, 0, 0, 2];?d?l?d?s?u;-0.0;1
[2, 1, 4, 1, 2, 0, 3, 1];?u?l?s?l?u;-0.16666666666666666;1
[1, 3, 4, 2, 1, 0, 2, 4];?l?d?s?u?l;-0.0;1
[3, 4, 1, 2, 1, 1, 3, 0];?d?s?l?u?l?l?d;-0.0;1
[2, 4, 3, 1, 0, 0, 3, 0];?u?s?d?l;-0.0;1
[1, 2, 3, 2, 0, 2, 3, 1];?l?u?d?u;-0.3333333333333333;1
[1, 2, 3, 2, 4, 1, 4, 3];?l?u?d?u?s?l?s?d;-0.0;1
[2, 2, 3, 2, 2, 1, 3, 1];?u?u?d?u?u?l?d?l;-0.08;1
[3, 1, 1, 1, 3, 0, 1, 0];?d?l?l?l?d;-10.4;1
[1, 3, 2, 1, 2, 2, 0, 0];?l?d?u?l?u?u;-2.0;1
[1, 2, 4, 3, 0, 4, 0, 1];?l?u?s?d;-0.0;1
[1, 3, 4, 3, 1, 2, 1, 4];?l?d?s?d?l?u?l?s;-0.0;2
[4, 4, 2, 1, 2, 2, 0, 0];?s?s?u?l?u?u;-0.0;2
[4, 4, 1, 2, 2, 2, 3, 3];?s?s?l?u?u?u?d?d;-0.0;2
[3, 1, 3, 1, 3, 1, 0, 4];?d?l?d?l?d?l;-57.2;2
[1, 4, 3, 3, 4, 0, 3, 4];?l?s?d?d?s;-0.0;2
[1, 1, 2, 3, 0, 0, 2, 3];?l?l?u?d;-0.4;2
[3, 4, 4, 2, 3, 3, 3, 2];?d?s?s?u?d?d?d?u;-0.0;2
[2, 3, 3, 4, 4, 4, 4, 2];?u?d?d?s?s?s?s?u;-0.0;2
[1, 3, 2, 1, 2, 2, 0, 0];?l?d?u?l?u?u;-2.0;2
[3, 1, 1, 0, 3, 0, 1, 0];?d?l?l;-0.0;2
[1, 2, 1, 4, 2, 4, 2, 1];?l?u?l?s?u?s?u?l;-0.0;2
[2, 4, 3, 4, 2, 2, 3, 0];?u?s?d?s?u?u?d;-0.0;2
[2, 3, 1, 1, 2, 4, 1, 1];?u?d?l?l?u?s?l?l;-0.0;2
[1, 2, 3, 2, 1, 1, 3, 1];?l?u?d?u?l?l?d?l;-0.5;2
[4, 4, 4, 3, 1, 2, 1, 1];?s?s?s?d?l?u?l?l;-0.0;2
[1, 3, 3, 2, 3, 3, 0, 4];?l?d?d?u?d?d;-1.0;2
[3, 2, 3, 0, 0, 1, 3, 3];?d?u?d;-0.0;2
[3, 3, 2, 3, 0, 3, 1, 3];?d?d?u?d;-1.6666666666666667;2
[1, 3, 3, 2, 0, 2, 3, 1];?l?d?d?u;-0.2;2
[1, 2, 1, 0, 2, 4, 1, 1];?l?u?l;-0.0;2
[1, 1, 3, 2, 0, 2, 3, 1];?l?l?d?u;-1.75;2
[1, 2, 2, 3, 1, 2, 1, 4];?l?u?u?d?l?u?l?s;-0.0;2
[4, 1, 3, 3, 0, 2, 1, 2];?s?l?d?d;-0.0;2
[1, 3, 1, 1, 2, 4, 1, 1];?l?d?l?l?u?s?l?l;-0.0;2
[1, 1, 3, 1, 2, 0, 3, 1];?l?l?d?l?u;-3.25;2
[2, 1, 4, 1, 2, 4, 2, 1];?u?l?s?l?u?s?u?l;-0.0;2
[1, 2, 1, 4, 2, 4, 2, 1];?l?u?l?s?u?s?u?l;-0.0;2
[2, 2, 2, 1, 0, 0, 3, 3];?u?u?u?l;-2.0;2
[1, 2, 4, 3, 0, 4, 0, 1];?l?u?s?d;-0.0;2
[3, 1, 3, 1, 3, 4, 1, 0];?d?l?d?l?d?s?l;-0.0;2
[3, 1, 3, 4, 2, 0, 0, 3];?d?l?d?s?u;-0.0;2
[2, 4, 4, 2, 4, 1, 1, 2];?u?s?s?u?s?l?l?u;-0.0;2
[2, 4, 4, 2, 4, 1, 1, 3];?u?s?s?u?s?l?l?d;-0.0;2
[3, 3, 2, 4, 0, 3, 1, 0];?d?d?u?s;-0.0;2
