Evaluations;BestFitness;SolutionArray
50;0.0;[4, 3, 4, 1, 3, 3, 4, 2]
100;52.5;[1, 1, 3, 3, 0, 1, 4, 2]
150;1619.0;[3, 3, 3, 3, 0, 0, 2, 0]
200;1619.0;[3, 3, 3, 3, 0, 0, 2, 0]
250;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
300;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
350;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
400;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
450;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
500;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
550;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
600;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
650;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
700;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
750;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
800;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
850;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
900;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
950;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1000;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1050;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1100;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1150;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1200;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1250;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1300;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1350;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1400;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1450;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1500;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1550;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1600;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1650;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1700;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1750;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1800;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1850;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1900;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
1950;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
2000;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
2050;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
2100;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
2150;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
2200;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
2250;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
2300;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
2350;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
2400;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
2450;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
2500;2077.6666666666665;[1, 1, 1, 1, 0, 1, 4, 2]
