Evaluations;BestFitness;SolutionArray
100;1.3333333333333333;[3, 4, 3, 3, 0, 1, 0, 2]
200;1942.8;[3, 3, 3, 3, 0, 4, 0, 3]
300;2493.2;[1, 1, 1, 1, 0, 4, 3, 2]
400;5262.8;[1, 1, 1, 1, 1, 0, 1, 1]
500;5262.8;[1, 1, 1, 1, 1, 0, 1, 1]
600;5262.8;[1, 1, 1, 1, 1, 0, 1, 1]
700;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
800;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
900;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
1000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
1100;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
1200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
1300;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
1400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
1500;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
1600;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
1700;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
1800;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
1900;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
2000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
2100;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
2200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
2300;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
2400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
2500;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
2600;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
2700;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
2800;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
2900;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
3000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
3100;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
3200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
3300;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
3400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
3500;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
3600;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
3700;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
3800;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
3900;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4100;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4300;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4500;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4600;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4700;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4800;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4900;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
5000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
5100;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
5200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
5300;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
5400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
5500;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
5600;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
5700;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
5800;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
5900;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
6000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
6100;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
6200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
6300;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
6400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
6500;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
6600;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
6700;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
6800;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
6900;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
7000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
7100;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
7200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
7300;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
7400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
7500;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
7600;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
7700;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
7800;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
7900;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
8000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
8100;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
8200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
8300;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
8400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
8500;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
8600;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
8700;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
8800;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
8900;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
9000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
9100;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
9200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
9300;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
9400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
9500;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
9600;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
9700;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
9800;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
9900;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
10000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
