Array;Mask;Score;Generacion
[2, 1, 1, 1, 2, 1, 4, 3];?u?l?l?l?u?l?s?d;-0.0;1
[2, 2, 2, 1, 0, 2, 3, 2];?u?u?u?l;-1.3333333333333333;1
[3, 4, 4, 4, 1, 0, 3, 4];?d?s?s?s?l;-0.0;1
[1, 2, 4, 1, 2, 0, 2, 2];?l?u?s?l?u;-0.0;1
[4, 2, 2, 4, 4, 0, 0, 1];?s?u?u?s?s;-0.0;1
[4, 3, 3, 1, 1, 1, 4, 2];?s?d?d?l?l?l?s?u;-0.0;1
[4, 1, 2, 4, 1, 2, 3, 1];?s?l?u?s?l?u?d?l;-0.0;1
[4, 4, 2, 4, 4, 4, 0, 2];?s?s?u?s?s?s;-0.0;1
[2, 2, 1, 2, 0, 0, 1, 0];?u?u?l?u;-0.5;1
[4, 3, 2, 1, 3, 0, 0, 4];?s?d?u?l?d;-0.0;1
[2, 2, 4, 2, 1, 2, 3, 1];?u?u?s?u?l?u?d?l;-0.0;1
[1, 3, 4, 3, 4, 3, 2, 4];?l?d?s?d?s?d?u?s;-0.0;1
[4, 2, 1, 3, 0, 0, 4, 3];?s?u?l?d;-0.0;1
[2, 4, 4, 2, 0, 4, 2, 0];?u?s?s?u;-0.0;1
[1, 2, 3, 2, 4, 2, 0, 4];?l?u?d?u?s?u;-0.0;1
[3, 3, 4, 3, 0, 4, 1, 3];?d?d?s?d;-0.0;1
[4, 3, 1, 2, 0, 2, 3, 1];?s?d?l?u;-0.0;1
[1, 1, 4, 1, 0, 3, 1, 1];?l?l?s?l;-0.8;1
[2, 4, 2, 1, 0, 2, 4, 3];?u?s?u?l;-0.0;1
[2, 4, 3, 2, 2, 2, 1, 1];?u?s?d?u?u?u?l?l;-0.0;1
[2, 3, 2, 1, 1, 3, 3, 2];?u?d?u?l?l?d?d?u;-0.3333333333333333;1
[2, 3, 4, 1, 4, 3, 2, 1];?u?d?s?l?s?d?u?l;-0.0;1
[1, 4, 1, 4, 0, 3, 0, 2];?l?s?l?s;-0.4;1
[4, 1, 4, 2, 0, 4, 0, 4];?s?l?s?u;-0.0;1
[2, 2, 1, 1, 1, 3, 4, 0];?u?u?l?l?l?d?s;-0.0;1
[4, 3, 4, 2, 2, 2, 2, 1];?s?d?s?u?u?u?u?l;-0.0;1
[4, 2, 3, 3, 1, 2, 0, 1];?s?u?d?d?l?u;-0.0;1
[1, 1, 1, 4, 3, 1, 2, 3];?l?l?l?s?d?l?u?d;-0.0;1
