Evaluations;BestFitness;SolutionArray
6;0.0;[2, 2, 4, 1, 3, 4, 2, 2]
12;5.625;[1, 3, 3, 1, 1, 1, 3, 0]
18;5.625;[1, 3, 3, 1, 1, 1, 3, 0]
24;5.625;[1, 3, 3, 1, 1, 1, 3, 0]
30;5.625;[1, 3, 3, 1, 1, 1, 3, 0]
36;5.625;[1, 3, 3, 1, 1, 1, 3, 0]
42;5.625;[1, 3, 3, 1, 1, 1, 3, 0]
48;5.625;[1, 3, 3, 1, 1, 1, 3, 0]
54;5.625;[1, 3, 3, 1, 1, 1, 3, 0]
60;5.625;[1, 3, 3, 1, 1, 1, 3, 0]
66;5.625;[1, 3, 3, 1, 1, 1, 3, 0]
72;5.625;[1, 3, 3, 1, 1, 1, 3, 0]
78;12.181818181818182;[1, 1, 3, 1, 1, 1, 3, 0]
84;12.181818181818182;[1, 1, 3, 1, 1, 1, 3, 0]
90;12.181818181818182;[1, 1, 3, 1, 1, 1, 3, 0]
96;12.181818181818182;[1, 1, 3, 1, 1, 1, 3, 0]
102;12.181818181818182;[1, 1, 3, 1, 1, 1, 3, 0]
