Array;Mask;Score;Generacion
[2, 2, 4, 1, 3, 4, 2, 2];?u?u?s?l?d?s?u?u;-0.0;1
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;1
[4, 1, 3, 2, 3, 2, 2, 2];?s?l?d?u?d?u?u?u;-0.0;1
[4, 2, 4, 2, 1, 4, 0, 1];?s?u?s?u?l?s;-0.0;1
[2, 4, 1, 3, 0, 0, 3, 2];?u?s?l?d;-0.0;1
[2, 3, 2, 1, 4, 1, 3, 0];?u?d?u?l?s?l?d;-0.0;1
[2, 3, 2, 1, 4, 1, 3, 0];?u?d?u?l?s?l?d;-0.0;2
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;2
[4, 2, 4, 1, 1, 1, 3, 2];?s?u?s?l?l?l?d?u;-0.0;2
[1, 3, 3, 2, 1, 4, 0, 1];?l?d?d?u?l?s;-0.0;2
[2, 3, 3, 1, 1, 1, 3, 0];?u?d?d?l?l?l?d;-0.1111111111111111;2
[4, 1, 3, 2, 3, 2, 2, 2];?s?l?d?u?d?u?u?u;-0.0;2
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;3
[2, 3, 3, 1, 1, 1, 3, 0];?u?d?d?l?l?l?d;-0.1111111111111111;3
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;3
[4, 2, 4, 2, 1, 4, 0, 1];?s?u?s?u?l?s;-0.0;3
[4, 4, 3, 2, 3, 2, 2, 2];?s?s?d?u?d?u?u?u;-0.0;3
[2, 2, 1, 1, 3, 4, 2, 2];?u?u?l?l?d?s?u?u;-0.0;3
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;4
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;4
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;4
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;4
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;4
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;4
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;5
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;5
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;5
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;5
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;5
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;5
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;6
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;6
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;6
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;6
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;6
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;6
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;7
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;7
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;7
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;7
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;7
[1, 3, 3, 1, 3, 1, 3, 0];?l?d?d?l?d?l?d;-4.166666666666667;7
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;8
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;8
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;8
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;8
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;8
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;8
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;9
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;9
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;9
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;9
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;9
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;9
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;10
[3, 3, 3, 1, 1, 1, 3, 0];?d?d?d?l?l?l?d;-4.0;10
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;10
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;10
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;10
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;10
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;11
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;11
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;11
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;11
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;11
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;11
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;12
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;12
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;12
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;12
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;12
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;12
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;13
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;13
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;13
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;13
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;13
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;13
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;14
[1, 3, 3, 1, 0, 1, 3, 0];?l?d?d?l;-9.11111111111111;14
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;14
[1, 3, 3, 1, 1, 1, 3, 2];?l?d?d?l?l?l?d?u;-0.0425531914893617;14
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;14
[1, 3, 3, 1, 1, 1, 3, 0];?l?d?d?l?l?l?d;-5.625;14
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;15
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;15
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;15
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;15
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;15
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;15
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;16
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;16
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;16
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;16
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;16
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;16
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;17
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;17
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;17
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;17
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;17
[1, 1, 3, 1, 1, 1, 3, 0];?l?l?d?l?l?l?d;-12.181818181818182;17
