Evaluations;BestFitness;SolutionArray
50;0.0;[3, 3, 3, 3, 2, 1, 3, 1]
100;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
150;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
200;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
250;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
300;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
350;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
400;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
450;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
500;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
550;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
600;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
650;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
700;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
750;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
800;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
850;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
900;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
950;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
1000;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
1050;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
1100;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
1150;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
1200;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
1250;37.0;[1, 3, 1, 1, 1, 0, 4, 2]
1300;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
1350;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
1400;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
1450;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
1500;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
1550;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
1600;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
1650;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
1700;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
1750;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
1800;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
1850;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
1900;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
1950;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
2000;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
2050;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
2100;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
2150;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
2200;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
2250;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
2300;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
2350;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
2400;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
2450;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
2500;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 2]
