Array;Mask;Score;Generacion
[3, 3, 3, 3, 2, 1, 3, 1];?d?d?d?d?u?l?d?l;-0.0;1
[1, 1, 3, 2, 2, 1, 4, 3];?l?l?d?u?u?l?s?d;-0.0;1
[2, 3, 4, 4, 0, 3, 3, 4];?u?d?s?s;-0.0;1
[2, 1, 3, 2, 4, 4, 4, 2];?u?l?d?u?s?s?s?u;-0.0;1
[3, 4, 4, 3, 2, 1, 1, 4];?d?s?s?d?u?l?l?s;-0.0;1
[4, 4, 4, 1, 1, 0, 2, 2];?s?s?s?l?l;-0.2;1
[4, 2, 4, 4, 2, 2, 1, 0];?s?u?s?s?u?u?l;-0.0;1
[4, 2, 3, 4, 4, 4, 1, 2];?s?u?d?s?s?s?l?u;-0.0;1
[1, 1, 3, 4, 3, 2, 4, 0];?l?l?d?s?d?u?s;-0.0;1
[1, 3, 2, 4, 2, 1, 1, 4];?l?d?u?s?u?l?l?s;-0.0;1
[2, 3, 3, 3, 4, 1, 3, 4];?u?d?d?d?s?l?d?s;-0.0;1
[1, 2, 3, 2, 3, 1, 4, 0];?l?u?d?u?d?l?s;-0.0;1
[1, 3, 3, 2, 2, 0, 1, 2];?l?d?d?u?u;-2.0;1
[1, 3, 4, 2, 2, 1, 0, 3];?l?d?s?u?u?l;-0.0;1
[4, 4, 2, 3, 0, 3, 2, 0];?s?s?u?d;-0.0;1
[1, 4, 2, 3, 2, 4, 2, 1];?l?s?u?d?u?s?u?l;-0.0;1
[1, 4, 4, 4, 4, 0, 1, 3];?l?s?s?s?s;-0.0;1
[3, 4, 4, 1, 3, 1, 2, 3];?d?s?s?l?d?l?u?d;-0.0;1
[1, 2, 3, 1, 3, 1, 4, 1];?l?u?d?l?d?l?s?l;-0.0;1
[4, 4, 1, 4, 3, 3, 3, 3];?s?s?l?s?d?d?d?d;-0.0;1
[3, 1, 4, 3, 4, 3, 0, 0];?d?l?s?d?s?d;-0.0;1
[1, 3, 1, 1, 4, 4, 3, 3];?l?d?l?l?s?s?d?d;-0.0;1
[4, 4, 2, 4, 2, 3, 0, 4];?s?s?u?s?u?d;-0.0;1
[1, 3, 1, 1, 1, 3, 4, 2];?l?d?l?l?l?d?s?u;-0.0;1
[3, 1, 3, 2, 4, 0, 3, 1];?d?l?d?u?s;-0.0;1
[3, 2, 2, 3, 2, 4, 2, 1];?d?u?u?d?u?s?u?l;-0.0;1
[2, 2, 1, 1, 0, 0, 4, 4];?u?u?l?l;-1.0;1
[2, 2, 2, 2, 4, 4, 4, 3];?u?u?u?u?s?s?s?d;-0.0;1
[2, 4, 4, 4, 0, 4, 3, 3];?u?s?s?s;-0.0;1
[1, 4, 1, 2, 2, 3, 4, 1];?l?s?l?u?u?d?s?l;-0.0;1
[1, 1, 4, 2, 2, 0, 4, 0];?l?l?s?u?u;-0.0;1
[3, 2, 3, 2, 0, 3, 3, 4];?d?u?d?u;-0.0;1
[3, 1, 3, 3, 3, 1, 2, 1];?d?l?d?d?d?l?u?l;-0.0;1
[1, 3, 4, 3, 4, 4, 0, 3];?l?d?s?d?s?s;-0.0;1
[4, 1, 4, 3, 0, 0, 0, 2];?s?l?s?d;-0.0;1
[4, 4, 4, 3, 4, 4, 1, 3];?s?s?s?d?s?s?l?d;-0.0;1
[3, 3, 2, 1, 3, 0, 2, 4];?d?d?u?l?d;-1.8333333333333333;1
[4, 1, 4, 4, 0, 1, 4, 1];?s?l?s?s;-0.0;1
[3, 4, 2, 4, 1, 1, 4, 2];?d?s?u?s?l?l?s?u;-0.0;1
[4, 3, 3, 2, 3, 1, 0, 0];?s?d?d?u?d?l;-0.0;1
[2, 4, 2, 4, 1, 4, 1, 2];?u?s?u?s?l?s?l?u;-0.0;1
[2, 1, 2, 4, 0, 3, 2, 4];?u?l?u?s;-0.0;1
[2, 1, 2, 4, 0, 2, 1, 4];?u?l?u?s;-0.0;1
[4, 3, 3, 3, 4, 2, 3, 1];?s?d?d?d?s?u?d?l;-0.0;1
[1, 3, 2, 3, 3, 1, 2, 2];?l?d?u?d?d?l?u?u;-0.42857142857142855;1
[1, 2, 2, 1, 1, 2, 4, 0];?l?u?u?l?l?u?s;-0.14285714285714285;1
[2, 1, 2, 3, 2, 1, 2, 0];?u?l?u?d?u?l?u;-0.5714285714285714;1
[4, 3, 1, 2, 2, 2, 1, 1];?s?d?l?u?u?u?l?l;-0.0;1
[2, 3, 2, 3, 0, 3, 3, 2];?u?d?u?d;-0.4;1
[1, 3, 1, 3, 1, 1, 1, 2];?l?d?l?d?l?l?l?u;-0.45454545454545453;1
[2, 3, 4, 3, 2, 1, 3, 1];?u?d?s?d?u?l?d?l;-0.0;2
[3, 3, 3, 4, 0, 3, 3, 4];?d?d?d?s;-0.16666666666666666;2
[3, 1, 3, 3, 4, 4, 1, 3];?d?l?d?d?s?s?l?d;-0.0;2
[4, 4, 4, 4, 3, 2, 4, 0];?s?s?s?s?d?u?s;-0.0;2
