Evaluations;BestFitness;SolutionArray
100;0.0;[1, 2, 1, 4, 0, 0, 2, 0]
200;163.6;[2, 2, 2, 2, 0, 1, 1, 3]
300;163.6;[2, 2, 2, 2, 0, 1, 1, 0]
400;163.6;[2, 2, 2, 2, 0, 1, 1, 4]
500;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
600;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
700;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
800;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
900;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1000;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1100;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
1200;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
1300;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
1400;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
1500;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
1600;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
1700;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
1800;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
1900;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2000;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2100;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2200;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2300;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
2400;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
2500;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2600;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2700;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
2800;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
2900;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3000;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
3100;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
3200;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3300;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
3400;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
3500;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3600;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
3700;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3800;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3900;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
4000;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
4100;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4200;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
4300;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4400;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
4500;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
4600;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
4700;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
4800;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
4900;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
5000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
5100;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
5200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
5300;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
5400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
5500;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
5600;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
5700;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
5800;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
5900;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
6000;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
6100;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
6200;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
6300;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
6400;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
6500;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
6600;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
6700;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
