Array;Mask;Score;Generacion
[1, 2, 1, 4, 0, 0, 2, 0];?l?u?l?s;-0.0;1
[3, 1, 3, 3, 4, 1, 2, 0];?d?l?d?d?s?l?u;-0.0;1
[1, 1, 4, 2, 3, 0, 1, 3];?l?l?s?u?d;-0.0;1
[2, 2, 4, 2, 2, 3, 0, 1];?u?u?s?u?u?d;-0.0;1
[2, 1, 2, 1, 4, 1, 1, 0];?u?l?u?l?s?l?l;-0.0;1
[1, 2, 1, 1, 3, 3, 3, 3];?l?u?l?l?d?d?d?d;-0.375;1
[1, 1, 2, 4, 0, 2, 2, 2];?l?l?u?s;-0.0;1
[3, 1, 3, 2, 2, 0, 3, 1];?d?l?d?u?u;-3.0;1
[1, 3, 2, 2, 3, 1, 1, 0];?l?d?u?u?d?l?l;-0.5;1
[1, 1, 4, 4, 4, 4, 3, 0];?l?l?s?s?s?s?d;-0.1;1
[4, 4, 1, 3, 2, 3, 4, 0];?s?s?l?d?u?d?s;-0.0;1
[1, 3, 1, 4, 2, 2, 2, 2];?l?d?l?s?u?u?u?u;-0.0;1
[2, 3, 4, 2, 3, 2, 3, 3];?u?d?s?u?d?u?d?d;-0.0;1
[1, 4, 3, 3, 2, 2, 3, 2];?l?s?d?d?u?u?d?u;-0.0;1
[3, 1, 3, 2, 0, 3, 4, 0];?d?l?d?u;-0.0;1
[4, 4, 1, 2, 3, 4, 0, 3];?s?s?l?u?d?s;-0.0;1
[4, 4, 4, 3, 0, 0, 4, 2];?s?s?s?d;-0.0;1
[2, 2, 1, 2, 1, 2, 0, 4];?u?u?l?u?l?u;-5.333333333333333;1
[2, 2, 2, 4, 1, 3, 0, 1];?u?u?u?s?l?d;-0.2;1
[4, 4, 2, 3, 2, 3, 2, 1];?s?s?u?d?u?d?u?l;-0.0;1
[2, 4, 4, 3, 4, 2, 1, 3];?u?s?s?d?s?u?l?d;-0.0;1
[3, 1, 3, 4, 0, 4, 2, 3];?d?l?d?s;-0.0;1
[3, 3, 2, 4, 4, 1, 2, 4];?d?d?u?s?s?l?u?s;-0.0;1
[2, 4, 3, 1, 2, 0, 3, 3];?u?s?d?l?u;-0.0;1
[3, 4, 2, 2, 4, 4, 3, 0];?d?s?u?u?s?s?d;-0.0;1
[3, 4, 2, 4, 2, 1, 0, 4];?d?s?u?s?u?l;-0.0;1
[2, 3, 1, 3, 3, 3, 0, 4];?u?d?l?d?d?d;-0.2;1
[1, 3, 4, 1, 2, 1, 1, 2];?l?d?s?l?u?l?l?u;-0.0;1
[4, 1, 4, 1, 1, 0, 4, 1];?s?l?s?l?l;-0.0;1
[2, 1, 2, 1, 3, 3, 2, 4];?u?l?u?l?d?d?u?s;-0.0;1
[3, 3, 2, 1, 0, 2, 4, 0];?d?d?u?l;-3.0;1
[3, 4, 3, 2, 1, 4, 1, 1];?d?s?d?u?l?s?l?l;-0.0;1
[1, 3, 4, 2, 3, 0, 3, 0];?l?d?s?u?d;-0.0;1
[3, 2, 4, 3, 3, 4, 3, 2];?d?u?s?d?d?s?d?u;-0.0;1
[3, 1, 4, 4, 0, 0, 2, 3];?d?l?s?s;-0.0;1
[1, 4, 4, 4, 1, 1, 3, 3];?l?s?s?s?l?l?d?d;-0.0;1
[4, 2, 2, 2, 0, 4, 4, 0];?s?u?u?u;-0.5;1
[1, 1, 1, 1, 4, 1, 4, 1];?l?l?l?l?s?l?s?l;-0.13333333333333333;1
[4, 1, 4, 1, 3, 2, 0, 1];?s?l?s?l?d?u;-0.0;1
[1, 4, 4, 2, 0, 2, 4, 0];?l?s?s?u;-0.0;1
[1, 2, 2, 4, 3, 4, 3, 3];?l?u?u?s?d?s?d?d;-0.0;1
[3, 3, 4, 4, 3, 0, 4, 3];?d?d?s?s?d;-0.0;1
[2, 4, 2, 3, 3, 3, 2, 3];?u?s?u?d?d?d?u?d;-0.0;1
[3, 2, 2, 3, 4, 2, 3, 3];?d?u?u?d?s?u?d?d;-0.0;1
[1, 3, 1, 1, 3, 0, 0, 4];?l?d?l?l?d;-12.333333333333334;1
[4, 3, 2, 4, 2, 3, 4, 4];?s?d?u?s?u?d?s?s;-0.0;1
[1, 4, 2, 2, 4, 1, 3, 3];?l?s?u?u?s?l?d?d;-0.0;1
[2, 3, 1, 4, 3, 2, 4, 1];?u?d?l?s?d?u?s?l;-0.0;1
[4, 3, 3, 1, 0, 2, 2, 0];?s?d?d?l;-0.0;1
[3, 1, 4, 1, 1, 1, 0, 4];?d?l?s?l?l?l;-0.16666666666666666;1
[3, 2, 2, 4, 4, 3, 3, 0];?d?u?u?s?s?d?d;-0.0;1
[2, 3, 2, 2, 3, 3, 4, 4];?u?d?u?u?d?d?s?s;-0.0;1
[1, 4, 2, 1, 3, 1, 0, 0];?l?s?u?l?d?l;-0.3333333333333333;1
[2, 3, 3, 4, 4, 2, 0, 1];?u?d?d?s?s?u;-0.0;1
[1, 1, 4, 2, 1, 2, 4, 1];?l?l?s?u?l?u?s?l;-0.0;1
[1, 1, 1, 2, 0, 3, 3, 2];?l?l?l?u;-2.4;1
[1, 2, 3, 1, 2, 1, 3, 0];?l?u?d?l?u?l?d;-0.0;1
[3, 4, 4, 3, 2, 1, 0, 0];?d?s?s?d?u?l;-0.0;1
[4, 1, 3, 1, 3, 4, 0, 3];?s?l?d?l?d?s;-0.0;1
[3, 3, 4, 2, 4, 3, 4, 0];?d?d?s?u?s?d?s;-0.0;1
[4, 1, 3, 1, 0, 4, 3, 3];?s?l?d?l;-0.0;1
[1, 4, 3, 3, 3, 2, 0, 1];?l?s?d?d?d?u;-0.0;1
[2, 2, 2, 3, 1, 1, 1, 3];?u?u?u?d?l?l?l?d;-0.42857142857142855;1
[4, 4, 1, 2, 4, 4, 2, 0];?s?s?l?u?s?s?u;-0.0;1
[4, 3, 1, 1, 0, 4, 0, 1];?s?d?l?l;-0.0;1
[2, 3, 2, 4, 4, 2, 4, 3];?u?d?u?s?s?u?s?d;-0.0;1
[3, 1, 2, 2, 2, 0, 1, 2];?d?l?u?u?u;-0.5;1
[3, 1, 4, 4, 3, 0, 0, 0];?d?l?s?s?d;-0.0;1
[2, 4, 4, 1, 2, 2, 2, 0];?u?s?s?l?u?u?u;-0.0;1
[1, 4, 2, 4, 4, 3, 2, 1];?l?s?u?s?s?d?u?l;-0.0;1
[4, 1, 1, 3, 0, 1, 2, 3];?s?l?l?d;-0.0;1
[3, 4, 2, 2, 4, 4, 4, 1];?d?s?u?u?s?s?s?l;-0.0;1
[1, 3, 2, 4, 1, 2, 4, 0];?l?d?u?s?l?u?s;-0.0;1
[2, 1, 2, 1, 3, 3, 4, 4];?u?l?u?l?d?d?s?s;-0.0;1
[4, 1, 4, 2, 4, 4, 3, 2];?s?l?s?u?s?s?d?u;-0.0;1
[2, 3, 3, 2, 1, 3, 3, 1];?u?d?d?u?l?d?d?l;-0.0;1
[3, 1, 3, 2, 3, 4, 1, 1];?d?l?d?u?d?s?l?l;-0.0;1
[1, 1, 1, 3, 4, 3, 2, 0];?l?l?l?d?s?d?u;-0.0;1
[1, 3, 2, 4, 3, 2, 2, 4];?l?d?u?s?d?u?u?s;-0.0;1
[4, 4, 1, 2, 2, 0, 3, 2];?s?s?l?u?u;-0.0;1
[1, 3, 4, 2, 2, 1, 2, 3];?l?d?s?u?u?l?u?d;-0.0;1
[2, 2, 3, 1, 3, 4, 4, 1];?u?u?d?l?d?s?s?l;-0.0;1
[2, 2, 2, 2, 0, 3, 4, 1];?u?u?u?u;-163.6;1
[4, 3, 2, 1, 2, 2, 4, 4];?s?d?u?l?u?u?s?s;-0.0;1
[2, 3, 2, 1, 2, 4, 2, 0];?u?d?u?l?u?s?u;-0.0;1
[2, 2, 3, 4, 2, 4, 2, 4];?u?u?d?s?u?s?u?s;-0.0;1
[3, 2, 2, 2, 0, 2, 0, 4];?d?u?u?u;-0.25;1
[3, 4, 1, 4, 2, 2, 4, 2];?d?s?l?s?u?u?s?u;-0.0;1
[2, 4, 2, 1, 3, 1, 0, 0];?u?s?u?l?d?l;-0.0;1
[1, 3, 4, 3, 4, 1, 4, 2];?l?d?s?d?s?l?s?u;-0.0;1
[2, 1, 2, 1, 1, 2, 0, 4];?u?l?u?l?l?u;-49.666666666666664;1
[2, 4, 3, 1, 0, 3, 3, 0];?u?s?d?l;-0.0;1
[2, 2, 1, 2, 4, 2, 0, 3];?u?u?l?u?s?u;-0.0;1
[4, 2, 4, 2, 0, 3, 4, 2];?s?u?s?u;-0.0;1
[2, 2, 4, 3, 4, 3, 1, 0];?u?u?s?d?s?d?l;-0.0;1
[1, 3, 4, 3, 4, 1, 1, 0];?l?d?s?d?s?l?l;-0.0;1
[3, 4, 1, 3, 2, 0, 0, 1];?d?s?l?d?u;-0.0;1
[3, 2, 1, 1, 0, 3, 3, 4];?d?u?l?l;-1.25;1
[4, 3, 2, 3, 2, 3, 0, 2];?s?d?u?d?u?d;-0.0;1
[2, 3, 4, 2, 2, 0, 0, 3];?u?d?s?u?u;-0.0;1
[1, 3, 1, 1, 3, 0, 0, 0];?l?d?l?l?d;-12.333333333333334;2
[4, 2, 2, 2, 0, 4, 4, 4];?s?u?u?u;-0.5;2
