Evaluations;BestFitness;SolutionArray
10;0.16666666666666666;[3, 1, 1, 2, 3, 1, 3, 0]
20;0.16666666666666666;[3, 1, 1, 2, 3, 1, 3, 0]
30;0.25;[3, 1, 2, 3, 3, 0, 1, 0]
40;0.25;[3, 1, 2, 3, 3, 0, 1, 0]
50;0.25;[3, 1, 2, 3, 3, 0, 1, 0]
60;0.25;[3, 1, 2, 3, 3, 0, 1, 0]
70;0.25;[3, 1, 2, 3, 3, 0, 1, 0]
80;0.25;[3, 1, 2, 3, 3, 0, 1, 0]
90;1.4;[3, 3, 2, 3, 2, 0, 1, 0]
100;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
110;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
120;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
130;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
140;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
150;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
160;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
170;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
180;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
190;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
200;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
210;1.6;[3, 3, 2, 3, 3, 0, 4, 0]
220;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
230;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
240;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
250;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
260;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
270;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
280;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
290;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
300;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
310;1.6;[3, 3, 2, 3, 3, 0, 1, 0]
320;1.6;[3, 3, 2, 3, 3, 0, 0, 0]
330;1.6666666666666667;[3, 3, 2, 3, 0, 0, 1, 0]
340;1.6666666666666667;[3, 3, 2, 3, 0, 0, 1, 0]
350;5.8;[3, 3, 1, 3, 3, 0, 1, 0]
360;5.8;[3, 3, 1, 3, 3, 0, 1, 0]
370;5.8;[3, 3, 1, 3, 3, 0, 1, 0]
380;5.8;[3, 3, 1, 3, 3, 0, 1, 0]
390;5.8;[3, 3, 1, 3, 3, 0, 1, 0]
400;5.8;[3, 3, 1, 3, 3, 0, 1, 0]
410;5.8;[3, 3, 1, 3, 3, 0, 1, 0]
420;5.8;[3, 3, 1, 3, 3, 0, 1, 0]
430;5.8;[3, 3, 1, 3, 3, 0, 1, 0]
440;5.8;[3, 3, 1, 3, 3, 0, 1, 0]
450;5.8;[3, 3, 1, 3, 3, 0, 1, 1]
460;5.8;[3, 3, 1, 3, 3, 0, 1, 1]
470;5.8;[3, 3, 1, 3, 3, 0, 1, 1]
480;5.8;[3, 3, 1, 3, 3, 0, 1, 0]
490;5.8;[3, 3, 1, 3, 3, 0, 1, 0]
500;6.666666666666667;[1, 3, 1, 3, 3, 0, 1, 1]
510;6.666666666666667;[1, 3, 1, 3, 3, 0, 1, 3]
520;6.666666666666667;[1, 3, 1, 3, 3, 0, 1, 4]
530;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 1]
540;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 4]
550;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 3]
560;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 3]
570;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 1]
580;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 3]
590;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 3]
600;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 3]
610;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 3]
620;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 3]
630;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 1]
640;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 3]
650;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 3]
660;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 3]
670;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 4]
680;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 3]
690;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 4]
700;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 3]
710;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 4]
720;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 3]
730;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 2]
740;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 4]
750;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 1]
760;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 4]
770;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 4]
780;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 4]
790;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 3]
800;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 4]
810;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 3]
820;226.16666666666666;[1, 1, 1, 3, 3, 0, 0, 3]
830;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 1]
840;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 1]
850;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 1]
860;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 4]
870;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 4]
880;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 4]
890;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 4]
900;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 4]
910;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 4]
920;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 1]
930;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 1]
940;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 1]
950;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 4]
960;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 1]
970;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 2]
980;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 1]
990;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 1]
1000;226.16666666666666;[1, 1, 1, 3, 3, 0, 1, 1]
