Array;Mask;Score;Generacion
[3, 1, 1, 2, 3, 1, 3, 0];?d?l?l?u?d?l?d;-0.16666666666666666;1
[1, 1, 3, 1, 2, 2, 4, 4];?l?l?d?l?u?u?s?s;-0.0;1
[4, 4, 2, 3, 3, 2, 3, 1];?s?s?u?d?d?u?d?l;-0.0;1
[2, 4, 2, 3, 1, 3, 3, 4];?u?s?u?d?l?d?d?s;-0.0;1
[4, 4, 2, 4, 4, 3, 0, 3];?s?s?u?s?s?d;-0.0;1
[4, 3, 4, 3, 1, 1, 0, 4];?s?d?s?d?l?l;-0.0;1
[4, 3, 2, 3, 2, 1, 2, 1];?s?d?u?d?u?l?u?l;-0.0;1
[3, 1, 3, 2, 4, 1, 4, 0];?d?l?d?u?s?l?s;-0.0;1
[4, 4, 2, 3, 3, 0, 1, 0];?s?s?u?d?d;-0.0;1
[1, 3, 2, 2, 3, 4, 3, 3];?l?d?u?u?d?s?d?d;-0.0;1
[4, 4, 2, 3, 2, 1, 2, 1];?s?s?u?d?u?l?u?l;-0.0;2
[4, 3, 2, 3, 3, 0, 1, 0];?s?d?u?d?d;-0.0;2
[4, 4, 2, 4, 4, 3, 0, 3];?s?s?u?s?s?d;-0.0;2
[4, 4, 2, 3, 3, 0, 1, 0];?s?s?u?d?d;-0.0;2
[1, 3, 2, 2, 3, 4, 3, 3];?l?d?u?u?d?s?d?d;-0.0;2
[4, 3, 2, 3, 2, 1, 2, 1];?s?d?u?d?u?l?u?l;-0.0;2
[4, 4, 2, 3, 3, 0, 1, 0];?s?s?u?d?d;-0.0;2
[1, 1, 3, 1, 2, 2, 4, 4];?l?l?d?l?u?u?s?s;-0.0;2
[2, 4, 2, 2, 1, 0, 1, 0];?u?s?u?u?l;-0.0;2
[4, 4, 2, 3, 3, 3, 3, 4];?s?s?u?d?d?d?d?s;-0.0;2
[4, 0, 2, 3, 3, 0, 2, 1];?s;-0.0;3
[4, 3, 2, 3, 2, 1, 1, 0];?s?d?u?d?u?l?l;-0.0;3
[4, 1, 1, 2, 3, 1, 3, 0];?s?l?l?u?d?l?d;-0.0;3
[3, 4, 2, 3, 2, 1, 2, 1];?d?s?u?d?u?l?u?l;-0.0;3
[4, 3, 2, 3, 2, 1, 2, 1];?s?d?u?d?u?l?u?l;-0.0;3
[3, 3, 2, 3, 2, 1, 2, 1];?d?d?u?d?u?l?u?l;-0.08333333333333333;3
[1, 1, 3, 1, 2, 2, 4, 4];?l?l?d?l?u?u?s?s;-0.0;3
[1, 3, 2, 2, 3, 4, 3, 3];?l?d?u?u?d?s?d?d;-0.0;3
[3, 1, 2, 3, 3, 0, 1, 0];?d?l?u?d?d;-0.25;3
[4, 3, 1, 2, 3, 1, 3, 0];?s?d?l?u?d?l?d;-0.0;3
[1, 1, 1, 2, 3, 1, 3, 0];?l?l?l?u?d?l?d;-0.16666666666666666;4
[4, 1, 3, 1, 2, 2, 4, 4];?s?l?d?l?u?u?s?s;-0.0;4
[4, 3, 2, 3, 2, 1, 1, 0];?s?d?u?d?u?l?l;-0.0;4
[4, 3, 2, 3, 2, 1, 1, 0];?s?d?u?d?u?l?l;-0.0;4
[4, 3, 1, 2, 3, 1, 3, 0];?s?d?l?u?d?l?d;-0.0;4
[4, 1, 1, 2, 3, 1, 3, 0];?s?l?l?u?d?l?d;-0.0;4
[3, 1, 2, 3, 3, 0, 1, 0];?d?l?u?d?d;-0.25;4
[3, 4, 2, 3, 2, 1, 2, 1];?d?s?u?d?u?l?u?l;-0.0;4
[3, 1, 2, 3, 3, 0, 1, 0];?d?l?u?d?d;-0.25;4
[3, 1, 2, 3, 3, 0, 1, 0];?d?l?u?d?d;-0.25;4
[3, 1, 2, 3, 3, 0, 1, 0];?d?l?u?d?d;-0.25;5
[4, 1, 1, 2, 3, 1, 3, 0];?s?l?l?u?d?l?d;-0.0;5
[4, 3, 1, 2, 3, 1, 3, 0];?s?d?l?u?d?l?d;-0.0;5
[3, 1, 2, 3, 3, 0, 1, 0];?d?l?u?d?d;-0.25;5
[4, 3, 2, 3, 2, 0, 1, 0];?s?d?u?d?u;-0.0;5
[3, 1, 2, 3, 3, 1, 1, 0];?d?l?u?d?d?l?l;-0.0;5
[3, 1, 2, 3, 3, 0, 1, 0];?d?l?u?d?d;-0.25;5
[3, 1, 2, 3, 3, 0, 1, 0];?d?l?u?d?d;-0.25;5
[3, 1, 2, 3, 2, 1, 1, 0];?d?l?u?d?u?l?l;-0.16666666666666666;5
[4, 3, 2, 3, 3, 0, 1, 0];?s?d?u?d?d;-0.0;5
