Array;Mask;Score;Generacion
[3, 4, 1, 2, 1, 0, 1, 3];?d?s?l?u?l;-0.0;1
[2, 2, 4, 2, 0, 1, 3, 4];?u?u?s?u;-0.0;1
[1, 3, 1, 3, 0, 1, 0, 4];?l?d?l?d;-20.4;1
[3, 1, 2, 4, 2, 3, 0, 2];?d?l?u?s?u?d;-0.0;1
[1, 4, 1, 1, 4, 0, 0, 1];?l?s?l?l?s;-0.0;1
[3, 3, 2, 3, 0, 1, 4, 1];?d?d?u?d;-1.6666666666666667;1
[4, 4, 1, 2, 2, 3, 1, 4];?s?s?l?u?u?d?l?s;-0.0;1
[1, 2, 2, 2, 0, 3, 3, 1];?l?u?u?u;-2.6;1
[3, 3, 3, 3, 4, 0, 2, 2];?d?d?d?d?s;-0.2;1
[2, 2, 3, 4, 4, 2, 0, 1];?u?u?d?s?s?u;-0.0;1
[4, 2, 4, 2, 1, 4, 3, 0];?s?u?s?u?l?s?d;-0.0;1
[4, 1, 2, 2, 3, 4, 3, 4];?s?l?u?u?d?s?d?s;-0.0;1
[2, 1, 3, 2, 4, 2, 4, 3];?u?l?d?u?s?u?s?d;-0.0;1
[3, 1, 1, 1, 1, 1, 4, 1];?d?l?l?l?l?l?s?l;-0.03333333333333333;1
[3, 2, 4, 2, 4, 1, 0, 1];?d?u?s?u?s?l;-0.0;1
[2, 2, 4, 2, 2, 0, 1, 1];?u?u?s?u?u;-0.0;1
[2, 3, 4, 1, 0, 0, 1, 4];?u?d?s?l;-0.0;1
[2, 3, 4, 4, 3, 1, 2, 1];?u?d?s?s?d?l?u?l;-0.0;1
[4, 2, 4, 1, 3, 0, 0, 4];?s?u?s?l?d;-0.0;1
[2, 3, 4, 4, 2, 2, 3, 3];?u?d?s?s?u?u?d?d;-0.0;1
[2, 2, 3, 4, 4, 4, 4, 1];?u?u?d?s?s?s?s?l;-0.0;1
[3, 2, 1, 2, 4, 3, 3, 1];?d?u?l?u?s?d?d?l;-0.0;1
