Array;Mask;Score;Generacion
[3, 4, 4, 1, 2, 2, 2, 3];?d?s?s?l?u?u?u?d;-0.0;1
[2, 3, 2, 1, 1, 2, 2, 0];?u?d?u?l?l?u?u;-0.3333333333333333;1
[4, 2, 1, 3, 4, 2, 2, 2];?s?u?l?d?s?u?u?u;-0.0;1
[3, 2, 4, 2, 3, 0, 1, 4];?d?u?s?u?d;-0.0;1
[4, 1, 1, 4, 1, 3, 0, 3];?s?l?l?s?l?d;-0.0;1
[4, 4, 1, 1, 2, 2, 4, 2];?s?s?l?l?u?u?s?u;-0.0;1
[1, 3, 4, 1, 3, 4, 3, 1];?l?d?s?l?d?s?d?l;-0.0;1
[4, 1, 2, 1, 0, 4, 1, 2];?s?l?u?l;-0.0;1
[2, 1, 3, 1, 0, 2, 0, 3];?u?l?d?l;-1.75;1
[3, 3, 2, 4, 0, 4, 1, 1];?d?d?u?s;-0.0;1
[4, 3, 2, 1, 4, 4, 2, 0];?s?d?u?l?s?s?u;-0.0;1
[4, 4, 4, 3, 1, 3, 2, 2];?s?s?s?d?l?d?u?u;-0.0;1
[3, 3, 3, 2, 3, 0, 4, 4];?d?d?d?u?d;-0.16666666666666666;1
[3, 3, 4, 1, 0, 4, 4, 3];?d?d?s?l;-0.0;1
[2, 1, 4, 2, 1, 4, 2, 1];?u?l?s?u?l?s?u?l;-0.0;1
[2, 3, 2, 1, 2, 4, 1, 2];?u?d?u?l?u?s?l?u;-0.0;1
[2, 4, 3, 2, 1, 4, 2, 3];?u?s?d?u?l?s?u?d;-0.0;1
[4, 2, 3, 4, 2, 3, 1, 4];?s?u?d?s?u?d?l?s;-0.0;1
[2, 1, 3, 4, 4, 2, 3, 1];?u?l?d?s?s?u?d?l;-0.0;1
[2, 1, 3, 4, 2, 1, 3, 1];?u?l?d?s?u?l?d?l;-0.0;1
[2, 4, 3, 2, 0, 2, 4, 0];?u?s?d?u;-0.0;1
[1, 2, 2, 4, 2, 1, 3, 3];?l?u?u?s?u?l?d?d;-0.0;1
[3, 3, 3, 4, 3, 0, 1, 1];?d?d?d?s?d;-0.4;1
[1, 2, 3, 3, 2, 3, 1, 4];?l?u?d?d?u?d?l?s;-0.0;1
[4, 4, 2, 2, 4, 3, 0, 1];?s?s?u?u?s?d;-0.0;1
[3, 4, 4, 3, 2, 2, 1, 4];?d?s?s?d?u?u?l?s;-0.0;1
[2, 1, 1, 3, 1, 4, 3, 4];?u?l?l?d?l?s?d?s;-0.0;1
[1, 1, 4, 3, 4, 1, 4, 1];?l?l?s?d?s?l?s?l;-0.0;1
[4, 3, 1, 1, 4, 4, 3, 0];?s?d?l?l?s?s?d;-0.0;1
[4, 3, 3, 1, 2, 2, 0, 4];?s?d?d?l?u?u;-0.0;1
[3, 4, 1, 4, 3, 2, 2, 4];?d?s?l?s?d?u?u?s;-0.0;1
[1, 3, 1, 4, 0, 2, 2, 3];?l?d?l?s;-0.0;1
[1, 2, 2, 3, 2, 3, 1, 3];?l?u?u?d?u?d?l?d;-0.07692307692307693;1
[1, 4, 1, 4, 2, 2, 3, 0];?l?s?l?s?u?u?d;-0.0;1
[3, 1, 2, 3, 3, 1, 1, 4];?d?l?u?d?d?l?l?s;-0.0;1
[1, 4, 4, 2, 4, 4, 0, 0];?l?s?s?u?s?s;-0.0;1
[3, 3, 1, 2, 2, 0, 3, 0];?d?d?l?u?u;-3.6;1
[3, 4, 4, 1, 2, 4, 4, 0];?d?s?s?l?u?s?s;-0.0;1
[4, 3, 1, 2, 3, 1, 1, 3];?s?d?l?u?d?l?l?d;-0.0;1
[2, 1, 2, 2, 0, 1, 2, 0];?u?l?u?u;-3.2;1
[3, 1, 3, 1, 0, 4, 0, 0];?d?l?d?l;-3.0;1
[3, 2, 2, 1, 3, 0, 2, 4];?d?u?u?l?d;-3.2;1
[3, 1, 4, 3, 3, 3, 2, 1];?d?l?s?d?d?d?u?l;-0.0;1
[4, 3, 3, 1, 2, 3, 1, 3];?s?d?d?l?u?d?l?d;-0.0;1
[3, 3, 3, 2, 1, 3, 2, 2];?d?d?d?u?l?d?u?u;-0.0;1
[1, 2, 3, 4, 2, 0, 1, 1];?l?u?d?s?u;-0.0;1
[4, 1, 3, 4, 2, 2, 2, 1];?s?l?d?s?u?u?u?l;-0.0;1
[4, 4, 3, 2, 1, 2, 2, 1];?s?s?d?u?l?u?u?l;-0.0;1
[2, 3, 3, 3, 1, 3, 2, 3];?u?d?d?d?l?d?u?d;-0.14285714285714285;1
[3, 1, 3, 1, 3, 3, 0, 0];?d?l?d?l?d?d;-4.2;1
[1, 2, 1, 3, 4, 2, 2, 2];?l?u?l?d?s?u?u?u;-0.0;2
