Evaluations;BestFitness;SolutionArray
50;0.0;[1, 2, 2, 2, 4, 1, 3, 0]
100;48.5;[2, 1, 2, 1, 1, 1, 0, 3]
150;442.6;[1, 1, 3, 3, 3, 3, 3, 3]
200;442.6;[1, 1, 3, 3, 3, 3, 3, 3]
250;442.6;[1, 1, 3, 3, 3, 3, 3, 3]
300;442.6;[1, 1, 3, 3, 3, 3, 3, 3]
350;442.6;[1, 1, 3, 3, 3, 3, 3, 3]
400;442.6;[1, 1, 3, 3, 3, 3, 3, 3]
450;442.6;[1, 1, 3, 3, 3, 3, 3, 3]
500;442.6;[1, 1, 3, 3, 3, 3, 3, 3]
550;442.6;[1, 1, 3, 3, 3, 3, 3, 3]
600;442.6;[1, 1, 3, 3, 3, 3, 3, 3]
650;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
700;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
750;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
800;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
850;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
900;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
950;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1000;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1050;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1100;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1150;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1200;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1250;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1300;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1350;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1400;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1450;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1500;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1550;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1600;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1650;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1700;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1750;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1800;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1850;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1900;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
1950;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2000;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2050;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2100;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2150;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2200;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2250;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2300;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2350;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2400;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2450;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2500;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2550;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2600;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2650;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2700;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2750;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2800;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2850;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2900;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
2950;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3000;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3050;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3100;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3150;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3200;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3250;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3300;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3350;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3400;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3450;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3500;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3550;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3600;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3650;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3700;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3750;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3800;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3850;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3900;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
3950;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
4000;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
4050;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
4100;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
4150;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
4200;2422.1666666666665;[1, 1, 1, 1, 1, 1, 3, 0]
