Array;Mask;Score;Generacion
[1, 2, 2, 2, 4, 1, 3, 0];?l?u?u?u?s?l?d;-0.0;1
[3, 3, 1, 1, 2, 3, 2, 4];?d?d?l?l?u?d?u?s;-0.0;1
[2, 4, 1, 4, 3, 0, 4, 1];?u?s?l?s?d;-0.0;1
[4, 1, 2, 1, 1, 2, 2, 2];?s?l?u?l?l?u?u?u;-0.0;1
[4, 3, 4, 2, 4, 3, 3, 0];?s?d?s?u?s?d?d;-0.0;1
[3, 2, 1, 1, 0, 0, 0, 1];?d?u?l?l;-1.0;1
[2, 1, 2, 1, 1, 1, 0, 3];?u?l?u?l?l?l;-48.5;1
[1, 1, 2, 4, 4, 3, 1, 1];?l?l?u?s?s?d?l?l;-0.0;1
[3, 2, 4, 1, 2, 4, 1, 3];?d?u?s?l?u?s?l?d;-0.0;1
[2, 1, 3, 1, 1, 2, 1, 4];?u?l?d?l?l?u?l?s;-0.0;1
[1, 2, 4, 3, 3, 1, 4, 3];?l?u?s?d?d?l?s?d;-0.0;1
[4, 4, 3, 4, 3, 3, 3, 2];?s?s?d?s?d?d?d?u;-0.0;1
[4, 4, 1, 2, 0, 1, 1, 4];?s?s?l?u;-0.0;1
[3, 2, 3, 4, 0, 4, 0, 2];?d?u?d?s;-0.0;1
[3, 3, 4, 2, 3, 0, 2, 0];?d?d?s?u?d;-0.0;1
[3, 2, 3, 4, 1, 4, 1, 4];?d?u?d?s?l?s?l?s;-0.0;1
[4, 4, 2, 4, 3, 0, 1, 2];?s?s?u?s?d;-0.0;1
[2, 3, 4, 4, 2, 1, 3, 3];?u?d?s?s?u?l?d?d;-0.0;1
[2, 4, 3, 3, 2, 3, 1, 2];?u?s?d?d?u?d?l?u;-0.0;1
[1, 4, 3, 2, 3, 1, 0, 4];?l?s?d?u?d?l;-0.0;1
[2, 4, 3, 1, 0, 2, 0, 1];?u?s?d?l;-0.0;1
[1, 2, 3, 2, 1, 0, 4, 0];?l?u?d?u?l;-1.6;1
[2, 2, 1, 3, 4, 0, 2, 0];?u?u?l?d?s;-0.0;1
[2, 3, 4, 4, 0, 2, 1, 3];?u?d?s?s;-0.0;1
[1, 3, 4, 4, 3, 0, 1, 2];?l?d?s?s?d;-0.0;1
[2, 3, 2, 3, 1, 4, 1, 2];?u?d?u?d?l?s?l?u;-0.0;1
[1, 2, 2, 1, 3, 2, 0, 0];?l?u?u?l?d?u;-2.4;1
[4, 4, 4, 2, 2, 1, 1, 2];?s?s?s?u?u?l?l?u;-0.0;1
[3, 3, 2, 2, 4, 1, 2, 3];?d?d?u?u?s?l?u?d;-0.0;1
[4, 3, 2, 2, 0, 1, 4, 3];?s?d?u?u;-0.0;1
[1, 2, 2, 3, 2, 4, 0, 2];?l?u?u?d?u?s;-0.0;1
[1, 3, 1, 1, 3, 2, 4, 0];?l?d?l?l?d?u?s;-0.0;1
[1, 3, 3, 3, 2, 2, 4, 0];?l?d?d?d?u?u?s;-0.0;1
[2, 4, 3, 2, 3, 2, 3, 1];?u?s?d?u?d?u?d?l;-0.0;1
[4, 3, 4, 4, 0, 3, 3, 1];?s?d?s?s;-0.0;1
[1, 1, 2, 3, 4, 0, 1, 1];?l?l?u?d?s;-0.0;1
[4, 2, 2, 4, 1, 3, 0, 1];?s?u?u?s?l?d;-0.0;1
[3, 3, 4, 4, 1, 2, 2, 0];?d?d?s?s?l?u?u;-0.0;1
[1, 3, 2, 2, 0, 2, 2, 3];?l?d?u?u;-0.6;1
[1, 4, 3, 1, 4, 4, 4, 3];?l?s?d?l?s?s?s?d;-0.0;1
[2, 3, 1, 2, 2, 0, 4, 0];?u?d?l?u?u;-0.8;1
[1, 3, 3, 1, 4, 1, 0, 1];?l?d?d?l?s?l;-0.0;1
[2, 1, 1, 3, 2, 3, 2, 1];?u?l?l?d?u?d?u?l;-0.3125;1
[1, 4, 2, 4, 4, 3, 0, 1];?l?s?u?s?s?d;-0.0;1
[1, 1, 4, 2, 4, 3, 4, 1];?l?l?s?u?s?d?s?l;-0.0;1
[2, 1, 4, 2, 1, 4, 4, 3];?u?l?s?u?l?s?s?d;-0.0;1
[2, 4, 4, 2, 1, 4, 1, 3];?u?s?s?u?l?s?l?d;-0.0;1
[3, 1, 1, 3, 0, 4, 4, 2];?d?l?l?d;-3.0;1
[1, 3, 1, 1, 1, 0, 2, 3];?l?d?l?l?l;-44.4;1
[1, 3, 4, 2, 0, 0, 1, 3];?l?d?s?u;-0.0;1
[4, 3, 2, 2, 0, 1, 1, 1];?s?d?u?u;-0.0;2
[4, 4, 4, 1, 0, 4, 2, 4];?s?s?s?l;-0.16666666666666666;2
[4, 4, 2, 1, 4, 3, 1, 2];?s?s?u?l?s?d?l?u;-0.0;2
[2, 2, 1, 2, 4, 2, 3, 3];?u?u?l?u?s?u?d?d;-0.0;2
[1, 3, 4, 3, 0, 4, 1, 2];?l?d?s?d;-0.3333333333333333;2
[4, 4, 1, 1, 1, 4, 3, 2];?s?s?l?l?l?s?d?u;-0.0;2
[4, 2, 4, 4, 0, 0, 2, 1];?s?u?s?s;-0.0;2
[1, 3, 1, 1, 2, 1, 4, 0];?l?d?l?l?u?l?s;-0.0;2
[1, 3, 1, 2, 1, 3, 0, 3];?l?d?l?u?l?d;-0.8333333333333334;2
[4, 2, 2, 3, 0, 4, 2, 4];?s?u?u?d;-0.0;2
[3, 4, 1, 3, 4, 0, 4, 1];?d?s?l?d?s;-0.0;2
[3, 1, 3, 2, 2, 2, 3, 1];?d?l?d?u?u?u?d?l;-0.16666666666666666;2
[4, 3, 4, 4, 3, 2, 3, 4];?s?d?s?s?d?u?d?s;-0.0;2
[4, 3, 2, 1, 2, 4, 3, 0];?s?d?u?l?u?s?d;-0.0;2
[1, 2, 2, 1, 1, 2, 3, 1];?l?u?u?l?l?u?d?l;-0.6363636363636364;2
[1, 1, 1, 4, 4, 0, 1, 2];?l?l?l?s?s;-0.16666666666666666;2
[4, 3, 3, 2, 2, 1, 2, 1];?s?d?d?u?u?l?u?l;-0.0;2
[4, 1, 4, 2, 0, 4, 4, 4];?s?l?s?u;-0.0;2
[2, 2, 3, 3, 4, 1, 0, 1];?u?u?d?d?s?l;-0.0;2
[2, 4, 3, 3, 0, 1, 4, 1];?u?s?d?d;-0.0;2
[1, 4, 2, 1, 2, 2, 3, 1];?l?s?u?l?u?u?d?l;-0.0;2
[3, 3, 2, 2, 4, 3, 3, 3];?d?d?u?u?s?d?d?d;-0.0;2
[1, 3, 4, 3, 3, 0, 1, 0];?l?d?s?d?d;-0.2;2
[3, 4, 1, 4, 4, 2, 3, 2];?d?s?l?s?s?u?d?u;-0.0;2
[3, 2, 2, 3, 3, 1, 2, 1];?d?u?u?d?d?l?u?l;-0.0;2
[4, 3, 2, 2, 3, 0, 4, 0];?s?d?u?u?d;-0.0;2
[3, 4, 3, 2, 0, 4, 3, 2];?d?s?d?u;-0.0;2
[2, 4, 2, 3, 3, 4, 4, 2];?u?s?u?d?d?s?s?u;-0.0;2
[1, 2, 2, 1, 2, 2, 4, 3];?l?u?u?l?u?u?s?d;-0.0;2
[3, 1, 2, 1, 2, 3, 3, 3];?d?l?u?l?u?d?d?d;-0.0;2
[2, 4, 1, 3, 1, 3, 4, 4];?u?s?l?d?l?d?s?s;-0.0;2
[1, 4, 3, 1, 4, 4, 4, 0];?l?s?d?l?s?s?s;-0.0;2
[2, 2, 3, 2, 3, 0, 1, 1];?u?u?d?u?d;-0.8333333333333334;2
[4, 4, 4, 3, 2, 2, 1, 1];?s?s?s?d?u?u?l?l;-0.0;2
[4, 3, 1, 2, 2, 4, 0, 3];?s?d?l?u?u?s;-0.0;2
[2, 4, 4, 3, 4, 2, 0, 3];?u?s?s?d?s?u;-0.0;2
[2, 3, 2, 4, 4, 0, 0, 1];?u?d?u?s?s;-0.0;2
[1, 3, 3, 3, 2, 4, 1, 2];?l?d?d?d?u?s?l?u;-0.0;2
[3, 1, 1, 4, 0, 1, 3, 4];?d?l?l?s;-0.0;2
[2, 4, 4, 3, 3, 1, 0, 0];?u?s?s?d?d?l;-0.0;2
[2, 4, 2, 4, 2, 1, 1, 1];?u?s?u?s?u?l?l?l;-0.0;2
[3, 1, 2, 4, 2, 0, 3, 2];?d?l?u?s?u;-0.0;2
[2, 4, 1, 4, 3, 3, 2, 4];?u?s?l?s?d?d?u?s;-0.0;2
[4, 4, 3, 2, 1, 2, 4, 2];?s?s?d?u?l?u?s?u;-0.0;2
[3, 4, 1, 2, 1, 3, 2, 2];?d?s?l?u?l?d?u?u;-0.0;2
[2, 4, 4, 1, 3, 4, 4, 4];?u?s?s?l?d?s?s?s;-0.0;2
[1, 3, 2, 2, 2, 0, 4, 0];?l?d?u?u?u;-1.2;2
[2, 2, 3, 1, 4, 2, 4, 2];?u?u?d?l?s?u?s?u;-0.0;2
[3, 3, 4, 4, 3, 1, 4, 3];?d?d?s?s?d?l?s?d;-0.0;2
