Evaluations;BestFitness;SolutionArray
100;0.4;[2, 3, 2, 3, 0, 3, 0, 3]
200;12.2;[1, 3, 3, 3, 1, 0, 3, 3]
300;204.5;[2, 2, 2, 2, 0, 2, 2, 3]
400;204.5;[2, 2, 2, 2, 0, 2, 2, 3]
500;204.5;[2, 2, 2, 2, 0, 2, 2, 3]
600;2493.2;[1, 1, 1, 1, 0, 2, 1, 3]
700;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
800;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
900;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
1000;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
1100;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
1200;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
1300;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
1400;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
1500;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
1600;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
1700;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
1800;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
1900;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
2000;4544.285714285715;[1, 1, 1, 1, 1, 1, 3, 3]
2100;4544.285714285715;[1, 1, 1, 1, 1, 1, 3, 3]
2200;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
2300;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
2400;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
2500;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
2600;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
2700;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
2800;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
2900;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
3000;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
3100;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
3200;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
3300;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
3400;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
3500;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
3600;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
3700;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
3800;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
3900;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
4000;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
4100;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
4200;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
4300;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
4400;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
4500;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
4600;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
4700;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
4800;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
4900;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
5000;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
5100;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
5200;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
5300;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
5400;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
5500;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
5600;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
5700;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
5800;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
5900;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
6000;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
6100;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
6200;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
6300;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
6400;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
6500;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
6600;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
6700;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
6800;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
6900;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
7000;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
7100;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
7200;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
7300;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
7400;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
7500;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
7600;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
7700;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
7800;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
7900;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
8000;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
8100;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
8200;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
8300;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
8400;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
8500;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
8600;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
8700;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
8800;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
8900;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
9000;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
9100;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
9200;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
9300;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
9400;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
9500;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
9600;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
9700;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
9800;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
9900;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
10000;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
