Evaluations;BestFitness;SolutionArray
100;0.0;[3, 3, 1, 1, 2, 4, 1, 1]
200;163.6;[2, 2, 2, 2, 0, 0, 4, 2]
300;307.75;[2, 2, 2, 2, 2, 0, 4, 2]
400;319.0;[2, 1, 1, 1, 1, 0, 1, 1]
500;2428.5;[3, 3, 3, 3, 0, 4, 1, 2]
600;2428.5;[3, 3, 3, 3, 0, 4, 1, 2]
700;2428.5;[3, 3, 3, 3, 0, 4, 1, 2]
800;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 1]
900;4385.666666666667;[1, 1, 1, 1, 1, 0, 0, 0]
1000;4385.666666666667;[1, 1, 1, 1, 1, 0, 0, 0]
1100;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 1]
1200;4385.666666666667;[1, 1, 1, 1, 1, 0, 0, 2]
1300;4385.666666666667;[1, 1, 1, 1, 1, 0, 0, 0]
1400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
1500;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
1600;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
1700;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
1800;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
1900;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
2100;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2200;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2300;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
2400;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2500;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
2600;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2700;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2800;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
2900;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3000;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3100;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3200;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
3300;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
3500;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
3600;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
3700;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
3800;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
3900;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4000;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
4100;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
4200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4300;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4500;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4600;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4700;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
4800;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
4900;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
5000;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
5100;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
5200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
5300;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
5400;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
5500;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
5600;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
5700;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
5800;17761.8;[1, 1, 1, 1, 1, 1, 0, 4]
5900;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
6000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
6100;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
6200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
6300;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
6400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
6500;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
6600;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
6700;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
6800;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
