Evaluations;BestFitness;SolutionArray
100;0.0;[2, 4, 2, 1, 1, 4, 1, 2]
200;45.0;[1, 1, 3, 3, 0, 3, 0, 1]
300;45.0;[1, 1, 3, 3, 0, 3, 0, 1]
400;153.875;[2, 2, 2, 2, 2, 0, 0, 1]
500;153.875;[2, 2, 2, 2, 2, 0, 0, 1]
600;429.7142857142857;[1, 1, 1, 1, 3, 0, 3, 4]
700;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
800;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
900;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
1000;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
1100;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
1200;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
1300;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
1400;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
1500;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
1600;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
1700;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
1800;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
1900;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
2000;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
2100;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
2200;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
2300;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
2400;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
2500;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
2600;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
2700;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
2800;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
2900;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
3000;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
3100;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
3200;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
3300;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
3400;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
3500;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
3600;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
3700;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
3800;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
3900;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
4000;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
4100;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
4200;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
4300;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
4400;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
4500;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
4600;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
4700;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
4800;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
4900;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
5000;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
5100;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
5200;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
5300;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
5400;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
5500;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
5600;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
5700;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
5800;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
5900;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
6000;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
6100;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
6200;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
6300;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
6400;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
6500;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
6600;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
6700;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
6800;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
6900;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
7000;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
7100;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
7200;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
7300;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
7400;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
7500;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
7600;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
7700;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
