Iteracion;Puntuacion;Array
0;-11101.125;[1, 1, 1, 1, 1, 1, 0, 0]
1;-11101.125;[1, 1, 1, 1, 1, 1, 0, 2]
2;-11101.125;[1, 1, 1, 1, 1, 1, 0, 2]
3;-11101.125;[1, 1, 1, 1, 1, 1, 0, 3]
4;-8525.25;[3, 3, 3, 3, 3, 3, 0, 3]
5;-11101.125;[1, 1, 1, 1, 1, 1, 0, 3]
6;-1318.875;[3, 3, 3, 3, 3, 0, 2, 1]
7;-11101.125;[1, 1, 1, 1, 1, 1, 0, 4]
8;-11101.125;[1, 1, 1, 1, 1, 1, 0, 2]
9;-11101.125;[1, 1, 1, 1, 1, 1, 0, 0]
10;-583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 4]
11;-11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
12;-8525.25;[3, 3, 3, 3, 3, 3, 0, 3]
13;-11101.125;[1, 1, 1, 1, 1, 1, 0, 4]
14;-8525.25;[3, 3, 3, 3, 3, 3, 0, 0]
15;-11101.125;[1, 1, 1, 1, 1, 1, 0, 0]
16;-3759.1428571428573;[1, 1, 1, 1, 1, 0, 3, 4]
17;-11101.125;[1, 1, 1, 1, 1, 1, 0, 3]
18;-8525.25;[3, 3, 3, 3, 3, 3, 0, 2]
19;-11101.125;[1, 1, 1, 1, 1, 1, 0, 2]
20;-11101.125;[1, 1, 1, 1, 1, 1, 0, 0]
21;-583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 0]
22;-8525.25;[3, 3, 3, 3, 3, 3, 0, 1]
23;-11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
24;-11101.125;[1, 1, 1, 1, 1, 1, 0, 2]
25;-3759.1428571428573;[1, 1, 1, 1, 1, 0, 3, 1]
26;-11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
27;-3759.1428571428573;[1, 1, 1, 1, 1, 0, 2, 1]
28;-11101.125;[1, 1, 1, 1, 1, 1, 0, 3]
29;-11101.125;[1, 1, 1, 1, 1, 1, 0, 0]
