Evaluations;BestFitness;SolutionArray
300;0.0;[4, 2, 3, 1, 0, 0, 2, 3]
600;2428.5;[3, 3, 3, 3, 0, 0, 2, 2]
900;2428.5;[3, 3, 3, 3, 0, 0, 2, 2]
1200;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
1500;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
1800;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
2100;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
2400;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
2700;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
3000;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
3300;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
3600;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
3900;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
4200;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
4500;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
4800;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
5100;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
5400;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
5700;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
6000;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
6300;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
6600;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
6900;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
7200;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
7500;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
7800;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
8100;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
8400;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
8700;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
9000;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
9300;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
9600;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
9900;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
10200;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
10500;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
10800;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
11100;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
11400;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
11700;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
12000;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
12300;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
12600;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
12900;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
13200;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
13500;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
13800;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
14100;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
14400;8288.90909090909;[1, 1, 1, 1, 1, 1, 1, 1]
14700;8288.90909090909;[1, 1, 1, 1, 1, 1, 1, 1]
15000;8288.90909090909;[1, 1, 1, 1, 1, 1, 1, 1]
15300;8288.90909090909;[1, 1, 1, 1, 1, 1, 1, 1]
15600;8288.90909090909;[1, 1, 1, 1, 1, 1, 1, 1]
15900;10771.0;[1, 1, 1, 1, 1, 1, 1, 0]
16200;10771.0;[1, 1, 1, 1, 1, 1, 1, 0]
16500;10771.0;[1, 1, 1, 1, 1, 1, 1, 0]
16800;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
17100;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
17400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
17700;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
18000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
18300;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
18600;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
18900;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
19200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
19500;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
19800;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
20100;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
20400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
20700;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
21000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
21300;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
21600;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
21900;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
22200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
22500;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
22800;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
23100;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
23400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
23700;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
24000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
24300;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
24600;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
24900;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
25200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
25500;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
25800;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
26100;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
26400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
26700;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
27000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
27300;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
27600;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
27900;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
28200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
28500;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
