Array;Mask;Score;Generacion
[2, 1, 2, 2, 0, 0, 2, 0];?u?l?u?u;-3.2;1
[3, 1, 4, 1, 0, 0, 0, 0];?d?l?s?l;-0.0;1
[1, 4, 4, 1, 0, 2, 0, 1];?l?s?s?l;-0.25;1
[4, 1, 1, 3, 0, 4, 1, 4];?s?l?l?d;-0.0;1
[1, 2, 1, 2, 0, 1, 4, 3];?l?u?l?u;-1.2;1
[4, 1, 3, 1, 0, 0, 4, 3];?s?l?d?l;-0.0;1
[1, 1, 4, 3, 0, 0, 1, 1];?l?l?s?d;-0.25;1
[4, 2, 3, 3, 0, 3, 2, 1];?s?u?d?d;-0.0;1
[4, 4, 1, 1, 0, 3, 1, 1];?s?s?l?l;-0.0;1
[4, 2, 4, 1, 3, 0, 3, 1];?s?u?s?l?d;-0.0;1
[4, 1, 4, 1, 3, 2, 1, 1];?s?l?s?l?d?u?l?l;-0.0;1
[4, 3, 2, 4, 3, 0, 3, 0];?s?d?u?s?d;-0.0;1
[2, 1, 1, 1, 3, 3, 1, 3];?u?l?l?l?d?d?l?d;-1.1666666666666667;1
[1, 1, 3, 1, 2, 4, 4, 0];?l?l?d?l?u?s?s;-0.0;1
[3, 2, 1, 2, 0, 4, 3, 3];?d?u?l?u;-0.0;1
[2, 4, 4, 1, 0, 3, 1, 2];?u?s?s?l;-0.0;1
[2, 3, 4, 1, 2, 1, 4, 1];?u?d?s?l?u?l?s?l;-0.0;1
[2, 4, 3, 3, 2, 1, 1, 2];?u?s?d?d?u?l?l?u;-0.0;1
[2, 3, 3, 4, 0, 0, 1, 3];?u?d?d?s;-0.0;1
[1, 4, 1, 2, 2, 2, 0, 0];?l?s?l?u?u?u;-0.0;1
[1, 3, 2, 2, 0, 0, 2, 4];?l?d?u?u;-0.6;1
[3, 4, 4, 1, 1, 1, 3, 2];?d?s?s?l?l?l?d?u;-0.0;1
[1, 2, 1, 2, 2, 2, 4, 0];?l?u?l?u?u?u?s;-0.0;1
[2, 1, 1, 1, 4, 4, 0, 1];?u?l?l?l?s?s;-0.5;1
[3, 3, 2, 2, 2, 1, 1, 1];?d?d?u?u?u?l?l?l;-0.16666666666666666;1
[1, 2, 3, 1, 4, 2, 4, 3];?l?u?d?l?s?u?s?d;-0.0;1
[3, 4, 3, 3, 1, 2, 2, 4];?d?s?d?d?l?u?u?s;-0.0;1
[4, 3, 2, 4, 2, 2, 4, 0];?s?d?u?s?u?u?s;-0.0;1
[3, 4, 2, 3, 1, 1, 2, 4];?d?s?u?d?l?l?u?s;-0.0;1
[3, 4, 1, 1, 4, 2, 1, 3];?d?s?l?l?s?u?l?d;-0.0;1
[1, 2, 2, 2, 1, 3, 2, 2];?l?u?u?u?l?d?u?u;-1.2857142857142858;1
[1, 1, 2, 4, 1, 3, 4, 1];?l?l?u?s?l?d?s?l;-0.0;1
[2, 3, 3, 2, 4, 0, 1, 2];?u?d?d?u?s;-0.0;1
[1, 1, 4, 3, 3, 1, 1, 2];?l?l?s?d?d?l?l?u;-0.0;1
[4, 4, 1, 3, 2, 3, 3, 2];?s?s?l?d?u?d?d?u;-0.0;1
[3, 2, 2, 2, 1, 3, 0, 3];?d?u?u?u?l?d;-0.6666666666666666;1
[4, 1, 3, 4, 2, 0, 3, 4];?s?l?d?s?u;-0.0;1
[2, 4, 4, 1, 0, 1, 4, 2];?u?s?s?l;-0.0;1
[1, 1, 1, 4, 3, 3, 2, 0];?l?l?l?s?d?d?u;-0.0;1
[4, 4, 1, 1, 1, 1, 2, 0];?s?s?l?l?l?l?u;-0.0;1
[4, 3, 2, 3, 4, 4, 4, 2];?s?d?u?d?s?s?s?u;-0.0;1
[1, 2, 1, 3, 3, 0, 1, 3];?l?u?l?d?d;-1.5;1
[1, 2, 2, 2, 3, 1, 3, 2];?l?u?u?u?d?l?d?u;-0.5714285714285714;1
[2, 4, 4, 3, 1, 3, 2, 3];?u?s?s?d?l?d?u?d;-0.0;1
[2, 4, 2, 4, 1, 4, 2, 1];?u?s?u?s?l?s?u?l;-0.0;1
[1, 2, 4, 4, 0, 1, 0, 3];?l?u?s?s;-0.0;1
[3, 1, 4, 2, 2, 2, 3, 3];?d?l?s?u?u?u?d?d;-0.0;1
