Array;Mask;Score;Generacion
[1, 1, 1, 3, 4, 0, 2, 1];?l?l?l?d?s;-0.0;1
[3, 1, 3, 4, 4, 1, 0, 2];?d?l?d?s?s?l;-0.0;1
[1, 4, 2, 3, 0, 1, 1, 0];?l?s?u?d;-0.0;1
[4, 4, 1, 4, 0, 3, 2, 1];?s?s?l?s;-0.0;1
[4, 4, 2, 1, 0, 1, 0, 2];?s?s?u?l;-0.0;1
[3, 2, 1, 3, 0, 2, 4, 2];?d?u?l?d;-0.0;1
[2, 3, 4, 1, 4, 4, 4, 1];?u?d?s?l?s?s?s?l;-0.0;1
[1, 3, 4, 3, 1, 2, 4, 0];?l?d?s?d?l?u?s;-0.0;1
[3, 1, 3, 4, 3, 4, 2, 2];?d?l?d?s?d?s?u?u;-0.0;1
[2, 2, 4, 1, 2, 3, 0, 3];?u?u?s?l?u?d;-0.0;1
[2, 4, 3, 1, 4, 1, 1, 2];?u?s?d?l?s?l?l?u;-0.0;1
[4, 4, 1, 1, 2, 1, 3, 4];?s?s?l?l?u?l?d?s;-0.0;1
[1, 2, 2, 2, 1, 0, 1, 3];?l?u?u?u?l;-4.8;1
[3, 1, 4, 3, 3, 2, 4, 2];?d?l?s?d?d?u?s?u;-0.0;1
[2, 2, 3, 2, 2, 3, 0, 2];?u?u?d?u?u?d;-3.6;1
[1, 4, 3, 2, 3, 0, 2, 0];?l?s?d?u?d;-0.0;1
[3, 4, 3, 4, 0, 2, 2, 1];?d?s?d?s;-0.0;1
[1, 2, 3, 1, 4, 2, 0, 0];?l?u?d?l?s?u;-0.0;1
[4, 2, 2, 3, 3, 0, 1, 1];?s?u?u?d?d;-0.0;1
[2, 3, 2, 4, 1, 1, 2, 3];?u?d?u?s?l?l?u?d;-0.0;1
[2, 1, 4, 3, 2, 3, 1, 4];?u?l?s?d?u?d?l?s;-0.0;1
[4, 2, 1, 3, 3, 1, 4, 4];?s?u?l?d?d?l?s?s;-0.0;1
[3, 4, 2, 3, 3, 1, 1, 0];?d?s?u?d?d?l?l;-0.0;1
[2, 4, 4, 1, 1, 0, 1, 1];?u?s?s?l?l;-0.0;1
[1, 1, 4, 3, 1, 4, 3, 0];?l?l?s?d?l?s?d;-0.0;1
[4, 1, 1, 2, 2, 1, 2, 3];?s?l?l?u?u?l?u?d;-0.0;1
[3, 1, 3, 1, 3, 3, 3, 3];?d?l?d?l?d?d?d?d;-1.5;1
[3, 4, 1, 4, 2, 3, 0, 3];?d?s?l?s?u?d;-0.0;1
[3, 4, 1, 2, 1, 0, 2, 0];?d?s?l?u?l;-0.0;1
