Evaluations;BestFitness;SolutionArray
50;0.0;[2, 4, 1, 1, 3, 0, 2, 4]
100;5.4;[2, 1, 1, 2, 0, 4, 2, 0]
150;5.4;[2, 1, 1, 2, 0, 4, 2, 0]
200;6.0;[2, 1, 1, 3, 1, 0, 2, 4]
250;6.0;[2, 1, 1, 3, 1, 0, 2, 4]
300;87.5;[1, 1, 1, 3, 1, 0, 1, 2]
350;181.0;[1, 1, 1, 3, 0, 4, 4, 0]
400;181.0;[1, 1, 1, 3, 0, 3, 1, 0]
450;181.0;[1, 1, 1, 3, 0, 3, 1, 0]
500;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
550;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
600;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
650;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
700;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
750;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
800;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
850;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
900;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
950;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
1000;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
1050;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
1100;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 3]
1150;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
1200;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
1250;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
1300;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
1350;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
1400;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
1450;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
1500;10771.0;[1, 1, 1, 1, 1, 1, 1, 0]
1550;10771.0;[1, 1, 1, 1, 1, 1, 1, 0]
1600;10771.0;[1, 1, 1, 1, 1, 1, 1, 0]
1650;10771.0;[1, 1, 1, 1, 1, 1, 1, 0]
1700;10771.0;[1, 1, 1, 1, 1, 1, 1, 0]
1750;10771.0;[1, 1, 1, 1, 1, 1, 1, 0]
1800;10771.0;[1, 1, 1, 1, 1, 1, 1, 0]
1850;10771.0;[1, 1, 1, 1, 1, 1, 1, 0]
1900;10771.0;[1, 1, 1, 1, 1, 1, 1, 0]
1950;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2000;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2050;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2100;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2150;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2200;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2250;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2300;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2350;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2400;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2450;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2500;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2550;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2600;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2650;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2700;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2750;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2800;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2850;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2900;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2950;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3000;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3050;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3100;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3150;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3200;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3250;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3300;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3350;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3400;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3450;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3500;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3550;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3600;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3650;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3700;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3750;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3800;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3850;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3900;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3950;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4000;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
4050;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
4100;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
4150;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
4200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4250;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
4300;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
4350;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
4400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4450;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
4500;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
4550;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
4600;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
4650;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
4700;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
4750;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4800;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4850;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4900;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
4950;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
5000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1]
