Array;Mask;Score;Generacion
[3, 2, 2, 1, 2, 1, 0, 1];?d?u?u?l?u?l;-0.3333333333333333;1
[2, 2, 4, 3, 0, 3, 2, 1];?u?u?s?d;-0.0;1
[1, 3, 1, 4, 0, 4, 2, 1];?l?d?l?s;-0.0;1
[1, 4, 4, 3, 4, 3, 2, 0];?l?s?s?d?s?d?u;-0.0;1
[1, 2, 3, 4, 1, 0, 1, 4];?l?u?d?s?l;-0.0;1
[3, 1, 1, 4, 0, 2, 0, 0];?d?l?l?s;-0.0;1
[4, 4, 3, 4, 4, 3, 4, 0];?s?s?d?s?s?d?s;-0.0;1
[3, 1, 1, 1, 4, 2, 1, 3];?d?l?l?l?s?u?l?d;-0.0;1
[4, 4, 1, 2, 1, 3, 3, 4];?s?s?l?u?l?d?d?s;-0.0;1
[2, 1, 3, 4, 4, 2, 3, 3];?u?l?d?s?s?u?d?d;-0.0;1
[3, 1, 3, 1, 2, 2, 0, 1];?d?l?d?l?u?u;-0.0;1
[2, 4, 2, 3, 0, 1, 2, 2];?u?s?u?d;-0.0;1
[2, 3, 3, 4, 1, 0, 3, 1];?u?d?d?s?l;-0.0;1
[2, 2, 2, 2, 4, 4, 4, 4];?u?u?u?u?s?s?s?s;-0.0;1
[1, 2, 2, 2, 4, 3, 4, 3];?l?u?u?u?s?d?s?d;-0.0;1
[3, 2, 2, 1, 0, 2, 1, 3];?d?u?u?l;-0.75;1
[3, 1, 2, 4, 2, 3, 4, 2];?d?l?u?s?u?d?s?u;-0.0;1
[1, 1, 4, 4, 0, 0, 3, 3];?l?l?s?s;-0.0;1
[1, 1, 4, 2, 1, 4, 4, 1];?l?l?s?u?l?s?s?l;-0.0;1
[3, 3, 1, 4, 3, 0, 0, 0];?d?d?l?s?d;-0.0;1
[4, 1, 3, 2, 0, 2, 1, 2];?s?l?d?u;-0.0;1
[4, 2, 4, 1, 1, 1, 4, 1];?s?u?s?l?l?l?s?l;-0.0;1
[4, 1, 3, 4, 0, 2, 0, 2];?s?l?d?s;-0.0;1
[3, 3, 3, 4, 4, 0, 1, 4];?d?d?d?s?s;-0.2;1
[1, 4, 3, 4, 1, 4, 3, 0];?l?s?d?s?l?s?d;-0.0;1
