Evaluations;BestFitness;SolutionArray
50;0.0;[3, 4, 3, 1, 4, 2, 2, 4]
100;24.640210920205476;[3, 1, 1, 1, 0, 4, 2, 0]
150;24.640210920205476;[3, 1, 1, 1, 0, 4, 2, 0]
200;24.640210920205476;[3, 1, 1, 1, 0, 4, 2, 0]
250;24.640210920205476;[3, 1, 1, 1, 0, 4, 2, 0]
300;134.3855472823416;[2, 1, 1, 1, 0, 1, 1, 1]
350;302.7494536439252;[2, 1, 1, 1, 1, 1, 3, 3]
400;490.6125405678156;[2, 1, 1, 1, 1, 1, 1, 1]
450;490.6125405678156;[2, 1, 1, 1, 1, 1, 1, 1]
500;490.6125405678156;[2, 1, 1, 1, 1, 1, 1, 1]
550;490.6125405678156;[2, 1, 1, 1, 1, 1, 1, 1]
600;2316.037061051896;[1, 1, 1, 1, 0, 4, 3, 1]
650;9607.97586973162;[1, 1, 1, 1, 1, 1, 1, 1]
700;9607.97586973162;[1, 1, 1, 1, 1, 1, 1, 1]
750;9607.97586973162;[1, 1, 1, 1, 1, 1, 1, 1]
800;9607.97586973162;[1, 1, 1, 1, 1, 1, 1, 1]
850;9607.97586973162;[1, 1, 1, 1, 1, 1, 1, 1]
900;9607.97586973162;[1, 1, 1, 1, 1, 1, 1, 1]
950;9607.97586973162;[1, 1, 1, 1, 1, 1, 1, 1]
1000;9945.864554272108;[1, 1, 1, 1, 1, 1, 1, 0]
1050;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
1100;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
1150;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
1200;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
1250;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
1300;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
1350;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
1400;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
1450;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
1500;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
1550;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
1600;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
1650;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
1700;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
1750;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
1800;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
1850;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
1900;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
1950;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2000;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2050;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2100;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2150;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2200;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2250;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2300;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2350;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2400;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2450;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2500;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2550;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2600;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2650;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2700;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2750;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2800;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2850;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2900;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
2950;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3000;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3050;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3100;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3150;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3200;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3250;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3300;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3350;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3400;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3450;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3500;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3550;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3600;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3650;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3700;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3750;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3800;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3850;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3900;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
3950;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
4000;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
4050;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
4100;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
4150;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
4200;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
4250;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
4300;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
4350;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
4400;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
4450;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
4500;13912.332675332063;[1, 1, 1, 1, 1, 1, 0, 1]
