Array;Mask;Score;Generacion
[3, 4, 3, 1, 4, 2, 2, 4];?d?s?d?l?s?u?u?s;-0.0;1
[4, 2, 4, 1, 2, 1, 4, 0];?s?u?s?l?u?l?s;-0.0;1
[2, 4, 3, 3, 3, 0, 4, 2];?u?s?d?d?d;-0.0;1
[3, 1, 4, 1, 4, 3, 2, 1];?d?l?s?l?s?d?u?l;-0.0;1
[3, 2, 3, 1, 1, 4, 3, 0];?d?u?d?l?l?s?d;-0.0;1
[3, 4, 1, 1, 3, 1, 3, 1];?d?s?l?l?d?l?d?l;-0.0;1
[3, 1, 1, 1, 0, 4, 2, 0];?d?l?l?l;-24.640210920205476;1
[1, 4, 3, 1, 0, 3, 0, 3];?l?s?d?l;-0.0;1
[3, 1, 2, 1, 4, 4, 0, 1];?d?l?u?l?s?s;-0.0;1
[4, 4, 4, 1, 4, 1, 3, 0];?s?s?s?l?s?l?d;-0.0;1
[4, 4, 2, 4, 3, 3, 2, 2];?s?s?u?s?d?d?u?u;-0.0;1
[1, 2, 3, 3, 3, 4, 0, 2];?l?u?d?d?d?s;-0.0;1
[2, 4, 4, 3, 0, 0, 4, 2];?u?s?s?d;-0.0;1
[1, 1, 2, 3, 3, 4, 1, 1];?l?l?u?d?d?s?l?l;-0.0;1
[4, 1, 3, 1, 2, 1, 2, 2];?s?l?d?l?u?l?u?u;-0.0;1
[3, 2, 1, 2, 3, 0, 4, 2];?d?u?l?u?d;-0.5483376048832753;1
[3, 4, 4, 1, 4, 1, 3, 3];?d?s?s?l?s?l?d?d;-0.0;1
[2, 3, 2, 3, 4, 1, 4, 1];?u?d?u?d?s?l?s?l;-0.0;1
[4, 4, 2, 1, 3, 2, 1, 1];?s?s?u?l?d?u?l?l;-0.0;1
[1, 1, 2, 2, 4, 3, 1, 1];?l?l?u?u?s?d?l?l;-0.0;1
[4, 1, 4, 4, 1, 4, 3, 3];?s?l?s?s?l?s?d?d;-0.0;1
[1, 4, 1, 4, 4, 3, 0, 1];?l?s?l?s?s?d;-0.0;1
[2, 4, 2, 4, 4, 0, 3, 0];?u?s?u?s?s;-0.0;1
[2, 4, 4, 3, 2, 0, 0, 3];?u?s?s?d?u;-0.0;1
[4, 4, 3, 4, 1, 1, 0, 3];?s?s?d?s?l?l;-0.0;1
[1, 2, 4, 4, 4, 2, 0, 4];?l?u?s?s?s?u;-0.0;1
[3, 3, 3, 3, 4, 4, 2, 2];?d?d?d?d?s?s?u?u;-0.0;1
[3, 4, 2, 4, 0, 4, 4, 4];?d?s?u?s;-0.0;1
[2, 1, 1, 1, 1, 1, 3, 1];?u?l?l?l?l?l?d?l;-5.848461467003593;1
[4, 2, 3, 3, 1, 2, 0, 0];?s?u?d?d?l?u;-0.0;1
[2, 2, 1, 3, 2, 0, 4, 2];?u?u?l?d?u;-2.4248175977593194;1
[2, 4, 2, 2, 1, 4, 0, 0];?u?s?u?u?l?s;-0.0;1
[1, 1, 2, 1, 4, 1, 2, 2];?l?l?u?l?s?l?u?u;-0.0;1
[1, 4, 2, 2, 3, 2, 0, 0];?l?s?u?u?d?u;-0.0;1
