Array;Mask;Score;Generacion
[1, 1, 1, 3, 0, 3, 3, 3];?l?l?l?d;-226.25;1
[2, 1, 1, 4, 3, 0, 3, 4];?u?l?l?s?d;-0.4;1
[2, 3, 3, 2, 3, 3, 1, 4];?u?d?d?u?d?d?l?s;-0.0;1
[3, 4, 3, 3, 1, 1, 1, 4];?d?s?d?d?l?l?l?s;-0.0;1
[1, 3, 2, 3, 1, 2, 0, 1];?l?d?u?d?l?u;-0.3333333333333333;1
[4, 1, 1, 3, 1, 3, 1, 4];?s?l?l?d?l?d?l?s;-0.0;1
[3, 4, 1, 1, 1, 4, 1, 0];?d?s?l?l?l?s?l;-0.0;1
[2, 1, 1, 4, 3, 0, 2, 0];?u?l?l?s?d;-0.4;1
[3, 4, 3, 3, 2, 1, 3, 1];?d?s?d?d?u?l?d?l;-0.0;1
[1, 4, 4, 2, 2, 2, 1, 3];?l?s?s?u?u?u?l?d;-0.0;1
[2, 1, 1, 4, 3, 3, 0, 3];?u?l?l?s?d?d;-6.666666666666667;1
[2, 1, 1, 4, 3, 2, 2, 2];?u?l?l?s?d?u?u?u;-0.0;1
[4, 2, 3, 3, 2, 0, 2, 1];?s?u?d?d?u;-0.0;1
[2, 3, 4, 2, 2, 1, 2, 3];?u?d?s?u?u?l?u?d;-0.0;1
[4, 1, 4, 2, 4, 3, 4, 0];?s?l?s?u?s?d?s;-0.0;1
[2, 1, 2, 1, 2, 3, 1, 0];?u?l?u?l?u?d?l;-0.3333333333333333;1
[1, 2, 1, 4, 0, 1, 1, 1];?l?u?l?s;-0.0;1
[1, 1, 4, 1, 1, 2, 1, 4];?l?l?s?l?l?u?l?s;-0.0;1
[2, 1, 2, 4, 3, 1, 1, 1];?u?l?u?s?d?l?l?l;-0.0;1
[3, 3, 2, 4, 1, 0, 0, 2];?d?d?u?s?l;-0.16666666666666666;1
[1, 2, 4, 1, 0, 4, 2, 4];?l?u?s?l;-0.0;1
[4, 3, 1, 1, 4, 3, 0, 4];?s?d?l?l?s?d;-0.0;1
[4, 4, 3, 4, 1, 0, 4, 1];?s?s?d?s?l;-0.0;1
[3, 3, 1, 1, 0, 1, 1, 1];?d?d?l?l;-14.6;1
[3, 4, 4, 2, 3, 2, 4, 1];?d?s?s?u?d?u?s?l;-0.0;1
[1, 4, 1, 3, 2, 1, 0, 0];?l?s?l?d?u?l;-0.0;1
[2, 1, 2, 3, 1, 2, 1, 1];?u?l?u?d?l?u?l?l;-1.125;1
[1, 2, 2, 3, 1, 4, 0, 4];?l?u?u?d?l?s;-0.3333333333333333;1
