Evaluations;BestFitness;SolutionArray
50;0.0;[2, 1, 1, 4, 4, 1, 4, 0]
100;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 3]
150;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 3]
200;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 3]
250;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 3]
300;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 3]
350;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 3]
400;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 3]
450;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 3]
500;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 3]
550;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 3]
600;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 3]
650;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 3]
700;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
750;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
800;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
850;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
900;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
950;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1000;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1050;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1100;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1150;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1200;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1250;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1300;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1350;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1400;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1450;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1500;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1550;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1600;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1650;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1700;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1750;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1800;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1850;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1900;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
1950;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2000;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2050;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2100;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2150;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2200;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2250;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2300;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2350;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2400;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2450;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2500;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2550;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2600;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2650;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2700;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2750;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2800;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2850;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2900;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
2950;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3000;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3050;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3100;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3150;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3200;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3250;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3300;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3350;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3400;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3450;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3500;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3550;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3600;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3650;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3700;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3750;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3800;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3850;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3900;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
3950;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4000;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4050;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4100;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4150;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4200;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4250;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4300;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4350;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4400;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4450;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4500;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4550;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4600;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4650;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4700;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4750;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4800;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4850;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4900;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
4950;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
5000;2615.5714285714284;[1, 1, 1, 1, 3, 3, 0, 3]
