Evaluations;BestFitness;SolutionArray
500;1.1666666666666667;[1, 3, 2, 1, 3, 1, 0, 4]
1000;9232.285714285714;[1, 1, 1, 1, 1, 1, 1, 0]
1500;9232.285714285714;[1, 1, 1, 1, 1, 1, 1, 0]
2000;4385.666666666667;[1, 1, 1, 1, 1, 0, 0, 3]
2500;4385.666666666667;[1, 1, 1, 1, 1, 0, 3, 2]
3000;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
3500;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
4000;9232.285714285714;[1, 1, 1, 1, 1, 1, 1, 0]
4500;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
5000;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
5500;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
6000;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
6500;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
7000;14801.5;[1, 1, 1, 1, 1, 1, 0, 2]
7500;14801.5;[1, 1, 1, 1, 1, 1, 0, 2]
8000;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
8500;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
9000;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
9500;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
10000;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
10500;14801.5;[1, 1, 1, 1, 1, 1, 0, 2]
11000;14801.5;[1, 1, 1, 1, 1, 1, 0, 2]
11500;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
12000;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
12500;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
13000;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
13500;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
14000;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
14500;14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
15000;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
15500;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
16000;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
16500;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
17000;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
17500;14801.5;[1, 1, 1, 1, 1, 1, 0, 2]
18000;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
18500;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
19000;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
19500;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
20000;14801.5;[1, 1, 1, 1, 1, 1, 0, 2]
20500;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
21000;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
21500;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
22000;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
22500;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
23000;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
23500;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
24000;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
24500;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
25000;14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
