Array;Mask;Score;Generacion
[1, 3, 2, 1, 3, 1, 0, 4];?l?d?u?l?d?l;-1.1666666666666667;1
[1, 4, 1, 3, 2, 0, 2, 4];?l?s?l?d?u;-0.0;1
[2, 4, 4, 2, 2, 0, 1, 0];?u?s?s?u?u;-0.0;1
[3, 2, 1, 3, 4, 1, 0, 3];?d?u?l?d?s?l;-0.0;1
[1, 2, 4, 4, 0, 4, 4, 3];?l?u?s?s;-0.0;1
[1, 4, 4, 1, 4, 1, 3, 4];?l?s?s?l?s?l?d?s;-0.0;1
[4, 1, 4, 4, 0, 1, 3, 0];?s?l?s?s;-0.0;1
[4, 2, 3, 2, 1, 1, 0, 1];?s?u?d?u?l?l;-0.0;1
[1, 2, 3, 4, 2, 3, 2, 4];?l?u?d?s?u?d?u?s;-0.0;1
[4, 3, 1, 1, 2, 0, 2, 0];?s?d?l?l?u;-0.0;1
[3, 1, 3, 2, 1, 1, 3, 1];?d?l?d?u?l?l?d?l;-0.0;1
[1, 1, 2, 2, 4, 0, 4, 0];?l?l?u?u?s;-0.0;1
[1, 2, 3, 1, 1, 2, 3, 0];?l?u?d?l?l?u?d;-0.2;1
[2, 1, 1, 1, 1, 1, 3, 3];?u?l?l?l?l?l?d?d;-279.7142857142857;1
[1, 1, 2, 3, 3, 0, 0, 3];?l?l?u?d?d;-1.4;1
[3, 2, 2, 1, 3, 0, 3, 1];?d?u?u?l?d;-3.2;1
[2, 2, 1, 1, 1, 2, 2, 2];?u?u?l?l?l?u?u?u;-1.5833333333333333;1
[1, 2, 1, 3, 4, 1, 2, 2];?l?u?l?d?s?l?u?u;-0.0;1
[1, 2, 1, 2, 2, 4, 4, 1];?l?u?l?u?u?s?s?l;-0.0;1
[3, 4, 4, 4, 2, 3, 4, 0];?d?s?s?s?u?d?s;-0.0;1
[1, 3, 4, 3, 4, 2, 1, 3];?l?d?s?d?s?u?l?d;-0.0;1
[3, 4, 3, 1, 4, 0, 3, 2];?d?s?d?l?s;-0.0;1
[3, 3, 3, 2, 2, 3, 0, 0];?d?d?d?u?u?d;-0.16666666666666666;1
[4, 1, 4, 4, 2, 3, 2, 3];?s?l?s?s?u?d?u?d;-0.0;1
[1, 2, 1, 3, 1, 4, 0, 4];?l?u?l?d?l?s;-0.0;1
[1, 1, 2, 3, 4, 0, 1, 4];?l?l?u?d?s;-0.0;1
[2, 2, 1, 4, 1, 3, 4, 0];?u?u?l?s?l?d?s;-0.0;1
[2, 2, 1, 3, 2, 0, 3, 0];?u?u?l?d?u;-1.8571428571428572;1
[4, 3, 3, 1, 1, 0, 4, 0];?s?d?d?l?l;-0.0;1
[2, 1, 2, 2, 4, 0, 3, 1];?u?l?u?u?s;-0.0;1
[2, 1, 4, 2, 2, 0, 1, 4];?u?l?s?u?u;-0.0;1
[2, 4, 2, 1, 3, 3, 0, 0];?u?s?u?l?d?d;-0.0;1
[1, 1, 1, 4, 1, 2, 0, 3];?l?l?l?s?l?u;-0.0;1
[3, 3, 3, 1, 0, 1, 4, 3];?d?d?d?l;-8.0;1
[4, 2, 2, 2, 2, 3, 1, 2];?s?u?u?u?u?d?l?u;-0.0;1
[1, 2, 2, 4, 3, 4, 3, 4];?l?u?u?s?d?s?d?s;-0.0;1
[3, 3, 4, 4, 1, 3, 0, 3];?d?d?s?s?l?d;-0.0;1
[2, 4, 4, 1, 4, 4, 1, 2];?u?s?s?l?s?s?l?u;-0.0;1
[3, 2, 4, 4, 4, 0, 1, 2];?d?u?s?s?s;-0.0;1
[3, 1, 3, 1, 3, 4, 2, 3];?d?l?d?l?d?s?u?d;-0.0;1
[1, 2, 4, 2, 1, 3, 3, 0];?l?u?s?u?l?d?d;-0.0;1
[1, 1, 1, 3, 1, 0, 4, 3];?l?l?l?d?l;-58.333333333333336;1
[2, 4, 1, 3, 3, 1, 0, 2];?u?s?l?d?d?l;-0.0;1
[1, 4, 4, 4, 1, 4, 3, 3];?l?s?s?s?l?s?d?d;-0.0;1
[3, 2, 3, 2, 0, 1, 0, 0];?d?u?d?u;-0.0;1
[4, 3, 4, 4, 0, 1, 1, 1];?s?d?s?s;-0.0;1
[2, 1, 1, 1, 1, 1, 1, 0];?u?l?l?l?l?l?l;-566.6666666666666;1
[4, 3, 2, 4, 2, 2, 0, 3];?s?d?u?s?u?u;-0.0;1
[4, 3, 4, 2, 4, 1, 4, 2];?s?d?s?u?s?l?s?u;-0.0;1
[1, 2, 1, 2, 0, 0, 2, 1];?l?u?l?u;-1.2;1
[4, 1, 1, 1, 4, 3, 4, 0];?s?l?l?l?s?d?s;-0.0;1
[2, 4, 2, 2, 4, 0, 3, 2];?u?s?u?u?s;-0.0;1
[2, 4, 1, 2, 2, 3, 0, 1];?u?s?l?u?u?d;-0.0;1
[3, 2, 1, 3, 4, 3, 3, 0];?d?u?l?d?s?d?d;-0.0;1
[4, 3, 1, 1, 0, 1, 4, 2];?s?d?l?l;-0.0;1
[4, 3, 3, 4, 3, 1, 0, 2];?s?d?d?s?d?l;-0.0;1
[1, 2, 1, 2, 2, 2, 3, 2];?l?u?l?u?u?u?d?u;-0.8888888888888888;1
[4, 4, 2, 4, 2, 0, 1, 1];?s?s?u?s?u;-0.0;1
[3, 4, 1, 3, 0, 4, 3, 4];?d?s?l?d;-0.0;1
[4, 3, 2, 2, 0, 4, 3, 3];?s?d?u?u;-0.0;1
[4, 2, 2, 2, 3, 4, 2, 2];?s?u?u?u?d?s?u?u;-0.0;1
[1, 1, 3, 3, 0, 0, 0, 0];?l?l?d?d;-52.5;1
[3, 3, 4, 2, 2, 0, 0, 3];?d?d?s?u?u;-0.0;1
[4, 3, 1, 4, 1, 0, 1, 4];?s?d?l?s?l;-0.0;1
[2, 4, 1, 1, 3, 1, 2, 4];?u?s?l?l?d?l?u?s;-0.0;1
[1, 4, 2, 4, 3, 2, 0, 3];?l?s?u?s?d?u;-0.0;1
[3, 3, 4, 2, 4, 0, 1, 2];?d?d?s?u?s;-0.0;1
[2, 3, 4, 1, 0, 1, 4, 4];?u?d?s?l;-0.0;1
[4, 2, 1, 1, 0, 2, 3, 0];?s?u?l?l;-0.0;1
[2, 4, 4, 3, 2, 2, 3, 3];?u?s?s?d?u?u?d?d;-0.0;1
[2, 1, 4, 2, 0, 2, 1, 3];?u?l?s?u;-0.0;1
[1, 3, 1, 1, 1, 1, 4, 3];?l?d?l?l?l?l?s?d;-0.0;1
[3, 1, 2, 3, 0, 1, 0, 4];?d?l?u?d;-0.0;1
[3, 2, 2, 2, 4, 3, 4, 3];?d?u?u?u?s?d?s?d;-0.0;1
[1, 1, 2, 4, 3, 2, 4, 2];?l?l?u?s?d?u?s?u;-0.0;1
[4, 4, 1, 3, 0, 3, 3, 3];?s?s?l?d;-0.0;1
[4, 3, 2, 1, 2, 4, 1, 0];?s?d?u?l?u?s?l;-0.0;1
[3, 4, 2, 4, 3, 4, 2, 1];?d?s?u?s?d?s?u?l;-0.0;1
[4, 4, 3, 2, 0, 3, 4, 3];?s?s?d?u;-0.0;1
[2, 3, 2, 2, 1, 4, 0, 1];?u?d?u?u?l?s;-0.0;1
[2, 2, 2, 4, 0, 0, 4, 1];?u?u?u?s;-0.2;1
[1, 4, 1, 3, 0, 2, 4, 2];?l?s?l?d;-0.0;1
