Evaluations;BestFitness;SolutionArray
100;0.0;[3, 1, 4, 4, 3, 4, 3, 1]
200;1953.952378596075;[3, 3, 3, 3, 0, 2, 4, 2]
300;1953.952378596075;[3, 3, 3, 3, 0, 2, 4, 2]
400;1953.952378596075;[3, 3, 3, 3, 0, 2, 4, 2]
500;1953.952378596075;[3, 3, 3, 3, 0, 2, 4, 2]
600;1953.952378596075;[3, 3, 3, 3, 0, 2, 4, 2]
700;1953.952378596075;[3, 3, 3, 3, 0, 2, 4, 2]
800;1953.952378596075;[3, 3, 3, 3, 0, 2, 4, 2]
900;1953.952378596075;[3, 3, 3, 3, 0, 2, 4, 2]
1000;1953.952378596075;[3, 3, 3, 3, 0, 2, 4, 2]
1100;1953.952378596075;[3, 3, 3, 3, 0, 2, 4, 2]
1200;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
1300;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
1400;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
1500;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
1600;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
1700;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
1800;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
1900;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
2000;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
2100;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
2200;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
2300;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
2400;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
2500;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
2600;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
2700;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
2800;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
2900;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
3000;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
3100;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
3200;2155.6395891556476;[3, 3, 3, 3, 3, 0, 4, 2]
