Evaluations;BestFitness;SolutionArray
100;0.0;[3, 2, 2, 4, 3, 3, 2, 3]
200;53.4;[2, 1, 1, 1, 2, 2, 0, 3]
300;180.0;[2, 1, 1, 1, 0, 4, 0, 0]
400;226.25;[1, 1, 1, 3, 0, 2, 1, 3]
500;226.25;[1, 1, 1, 3, 0, 2, 4, 3]
600;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 3]
700;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 2]
800;4385.666666666667;[1, 1, 1, 1, 1, 0, 4, 3]
900;4385.666666666667;[1, 1, 1, 1, 1, 0, 2, 3]
1000;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 0]
1100;4385.666666666667;[1, 1, 1, 1, 1, 0, 2, 3]
1200;4544.285714285715;[1, 1, 1, 1, 1, 1, 3, 3]
1300;4544.285714285715;[1, 1, 1, 1, 1, 1, 3, 3]
1400;4544.285714285715;[1, 1, 1, 1, 1, 1, 3, 3]
1500;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
1600;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
1700;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
1800;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
1900;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
2000;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
2100;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
2200;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
2300;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
2400;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
2500;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
2600;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2700;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
2800;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
2900;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
3000;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
3100;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3200;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
3300;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
3400;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
3500;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
3600;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
3700;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3800;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
3900;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
4000;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
4100;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
4200;17761.8;[1, 1, 1, 1, 1, 1, 0, 2]
4300;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
4400;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
4500;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
4600;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
4700;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
4800;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
4900;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
5000;17761.8;[1, 1, 1, 1, 1, 1, 0, 3]
5100;17761.8;[1, 1, 1, 1, 1, 1, 0, 0]
