Evaluations;BestFitness;SolutionArray
100;0.0;[1, 1, 4, 3, 2, 1, 3, 2]
200;60.0;[1, 1, 3, 1, 1, 3, 0, 4]
300;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
400;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
500;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
600;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
700;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
800;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
900;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
1000;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
1100;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
1200;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
1300;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
1400;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
1500;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
1600;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
1700;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
1800;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
1900;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
2000;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
2100;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
2200;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
2300;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
2400;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
2500;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
2600;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
2700;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
2800;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
2900;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
3000;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
3100;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
3200;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
3300;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
3400;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
3500;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
3600;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
3700;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
3800;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
3900;153.875;[2, 2, 2, 2, 2, 0, 1, 3]
4000;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 4]
4100;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 4]
4200;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 4]
4300;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 4]
4400;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 4]
4500;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 4]
4600;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 4]
4700;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 4]
4800;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 4]
4900;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 4]
5000;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 4]
5100;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 4]
5200;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 4]
5300;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 4]
5400;583.7142857142857;[2, 2, 2, 2, 2, 2, 0, 4]
