Array;Mask;Score;Generacion
[4, 1, 4, 4, 2, 3, 1, 2];?s?l?s?s?u?d?l?u;-0.0;1
[3, 4, 2, 4, 2, 2, 4, 3];?d?s?u?s?u?u?s?d;-0.0;1
[1, 2, 1, 1, 2, 1, 1, 2];?l?u?l?l?u?l?l?u;-0.6676593648656611;1
[4, 2, 4, 1, 3, 3, 4, 4];?s?u?s?l?d?d?s?s;-0.0;1
[3, 2, 1, 1, 0, 4, 1, 2];?d?u?l?l;-1.0081675687414016;1
[2, 1, 4, 3, 2, 3, 1, 1];?u?l?s?d?u?d?l?l;-0.0;1
[3, 1, 1, 4, 2, 3, 3, 3];?d?l?l?s?u?d?d?d;-0.0;1
[3, 2, 4, 4, 4, 4, 2, 4];?d?u?s?s?s?s?u?s;-0.0;1
[2, 1, 4, 1, 1, 2, 2, 2];?u?l?s?l?l?u?u?u;-0.0;1
[4, 3, 2, 3, 3, 2, 0, 4];?s?d?u?d?d?u;-0.0;1
[1, 4, 3, 4, 2, 2, 4, 1];?l?s?d?s?u?u?s?l;-0.0;1
[1, 4, 4, 3, 1, 3, 1, 0];?l?s?s?d?l?d?l;-0.0;1
[1, 3, 2, 3, 1, 1, 2, 0];?l?d?u?d?l?l?u;-0.0;1
[2, 4, 2, 3, 1, 0, 3, 0];?u?s?u?d?l;-0.0;1
[4, 3, 4, 2, 2, 2, 1, 2];?s?d?s?u?u?u?l?u;-0.0;1
[1, 4, 4, 4, 3, 2, 2, 3];?l?s?s?s?d?u?u?d;-0.0;1
[4, 3, 4, 1, 0, 0, 3, 2];?s?d?s?l;-0.0;1
[4, 3, 2, 3, 2, 3, 4, 4];?s?d?u?d?u?d?s?s;-0.0;1
[4, 1, 2, 2, 1, 4, 1, 4];?s?l?u?u?l?s?l?s;-0.0;1
[3, 1, 3, 3, 4, 0, 2, 4];?d?l?d?d?s;-0.0;1
[1, 3, 1, 2, 3, 4, 3, 2];?l?d?l?u?d?s?d?u;-0.0;1
[4, 2, 1, 2, 0, 3, 2, 1];?s?u?l?u;-0.0;1
[1, 4, 4, 1, 1, 1, 2, 1];?l?s?s?l?l?l?u?l;-0.0;1
[4, 2, 1, 3, 4, 2, 2, 0];?s?u?l?d?s?u?u;-0.0;1
[3, 2, 3, 4, 2, 4, 3, 2];?d?u?d?s?u?s?d?u;-0.0;1
[1, 1, 4, 3, 2, 1, 2, 0];?l?l?s?d?u?l?u;-0.0;1
[3, 3, 1, 1, 3, 1, 1, 0];?d?d?l?l?d?l?l;-1.6754816549000382;1
[1, 2, 2, 4, 1, 1, 1, 0];?l?u?u?s?l?l?l;-0.0;1
[3, 3, 3, 2, 3, 0, 1, 0];?d?d?d?u?d;-0.2009675381155033;1
[3, 2, 2, 2, 0, 2, 4, 3];?d?u?u?u;-0.20530748594208317;1
[4, 2, 1, 1, 0, 4, 3, 0];?s?u?l?l;-0.0;1
[3, 3, 4, 4, 4, 0, 4, 2];?d?d?s?s?s;-0.0;1
