Array;Mask;Score;Generacion
[4, 3, 4, 3, 3, 2, 2, 0];?s?d?s?d?d?u?u;-0.0;1
[2, 4, 3, 1, 4, 3, 3, 2];?u?s?d?l?s?d?d?u;-0.0;1
[3, 4, 2, 2, 2, 0, 1, 0];?d?s?u?u?u;-0.0;1
[3, 3, 4, 1, 2, 4, 0, 1];?d?d?s?l?u?s;-0.0;1
[1, 2, 2, 4, 3, 3, 1, 2];?l?u?u?s?d?d?l?u;-0.0;1
[2, 1, 3, 4, 1, 3, 1, 2];?u?l?d?s?l?d?l?u;-0.0;1
[1, 4, 4, 4, 1, 0, 0, 4];?l?s?s?s?l;-0.0;1
[3, 4, 4, 1, 3, 1, 1, 0];?d?s?s?l?d?l?l;-0.0;1
[3, 2, 2, 3, 0, 2, 3, 4];?d?u?u?d;-0.2;1
[1, 2, 3, 2, 2, 3, 2, 0];?l?u?d?u?u?d?u;-0.0;1
[4, 3, 1, 2, 2, 1, 2, 4];?s?d?l?u?u?l?u?s;-0.0;1
[1, 4, 3, 4, 3, 3, 3, 1];?l?s?d?s?d?d?d?l;-0.0;1
[1, 2, 4, 2, 3, 0, 4, 2];?l?u?s?u?d;-0.0;1
[3, 1, 3, 4, 4, 4, 1, 2];?d?l?d?s?s?s?l?u;-0.0;1
[4, 3, 4, 1, 2, 1, 1, 0];?s?d?s?l?u?l?l;-0.0;1
[1, 3, 1, 3, 2, 0, 3, 4];?l?d?l?d?u;-1.8;1
[3, 1, 1, 2, 4, 2, 4, 3];?d?l?l?u?s?u?s?d;-0.0;1
[4, 4, 1, 1, 1, 1, 2, 1];?s?s?l?l?l?l?u?l;-0.0;1
[3, 4, 3, 3, 4, 4, 3, 1];?d?s?d?d?s?s?d?l;-0.0;1
[2, 4, 2, 1, 4, 0, 2, 3];?u?s?u?l?s;-0.0;1
[2, 4, 4, 2, 3, 1, 2, 4];?u?s?s?u?d?l?u?s;-0.0;1
[4, 1, 1, 3, 1, 1, 3, 3];?s?l?l?d?l?l?d?d;-0.0;1
[1, 1, 1, 2, 4, 4, 2, 1];?l?l?l?u?s?s?u?l;-0.0;1
[4, 2, 2, 4, 0, 0, 4, 0];?s?u?u?s;-0.0;1
[1, 2, 3, 3, 1, 0, 4, 1];?l?u?d?d?l;-2.2;1
[3, 1, 2, 2, 3, 3, 4, 4];?d?l?u?u?d?d?s?s;-0.0;1
[1, 1, 3, 4, 2, 2, 2, 4];?l?l?d?s?u?u?u?s;-0.0;1
[1, 4, 2, 3, 3, 3, 4, 1];?l?s?u?d?d?d?s?l;-0.0;1
[2, 2, 3, 1, 3, 1, 2, 3];?u?u?d?l?d?l?u?d;-0.4;1
[3, 2, 3, 4, 1, 1, 0, 4];?d?u?d?s?l?l;-0.0;1
[1, 4, 4, 1, 3, 0, 0, 0];?l?s?s?l?d;-0.0;1
[2, 4, 1, 4, 2, 4, 0, 1];?u?s?l?s?u?s;-0.0;1
[3, 1, 4, 1, 2, 4, 1, 1];?d?l?s?l?u?s?l?l;-0.0;1
[4, 4, 1, 2, 1, 3, 2, 2];?s?s?l?u?l?d?u?u;-0.0;1
[1, 2, 3, 1, 2, 1, 0, 2];?l?u?d?l?u?l;-3.8;1
[1, 3, 4, 2, 2, 4, 2, 2];?l?d?s?u?u?s?u?u;-0.0;1
[3, 2, 4, 2, 4, 3, 1, 0];?d?u?s?u?s?d?l;-0.0;1
[1, 4, 3, 1, 3, 4, 2, 2];?l?s?d?l?d?s?u?u;-0.0;1
[1, 2, 2, 4, 4, 4, 3, 1];?l?u?u?s?s?s?d?l;-0.0;1
[2, 2, 1, 3, 1, 4, 1, 0];?u?u?l?d?l?s?l;-0.0;1
[1, 3, 3, 1, 2, 4, 0, 1];?l?d?d?l?u?s;-0.0;1
[2, 2, 1, 4, 4, 3, 2, 4];?u?u?l?s?s?d?u?s;-0.0;1
[4, 2, 4, 1, 2, 1, 3, 0];?s?u?s?l?u?l?d;-0.0;1
[3, 1, 4, 3, 4, 0, 4, 2];?d?l?s?d?s;-0.0;1
[4, 3, 4, 1, 3, 0, 1, 4];?s?d?s?l?d;-0.0;1
[2, 3, 3, 2, 2, 2, 3, 4];?u?d?d?u?u?u?d?s;-0.0;1
[2, 3, 4, 3, 1, 3, 1, 1];?u?d?s?d?l?d?l?l;-0.0;1
[3, 1, 2, 2, 3, 2, 2, 0];?d?l?u?u?d?u?u;-0.0;1
[4, 4, 4, 2, 0, 3, 3, 4];?s?s?s?u;-0.0;1
