Array;Mask;Score;Generacion
[2, 1, 1, 1, 1, 1, 1, 1];?u?l?l?l?l?l?l?l;-360.9531483340786;1
[4, 3, 2, 2, 2, 1, 1, 0];?s?d?u?u?u?l?l;-0.0;1
[4, 1, 1, 4, 4, 1, 2, 0];?s?l?l?s?s?l?u;-0.0;1
[4, 1, 2, 3, 3, 2, 3, 4];?s?l?u?d?d?u?d?s;-0.0;1
[2, 1, 1, 2, 2, 4, 2, 3];?u?l?l?u?u?s?u?d;-0.0;1
[2, 1, 4, 1, 3, 3, 0, 4];?u?l?s?l?d?d;-0.0;1
[4, 3, 4, 2, 4, 4, 1, 2];?s?d?s?u?s?s?l?u;-0.0;1
[4, 4, 2, 1, 2, 0, 0, 0];?s?s?u?l?u;-0.0;1
[3, 2, 2, 2, 0, 2, 4, 1];?d?u?u?u;-0.2232886488089337;1
[2, 2, 3, 1, 3, 0, 3, 0];?u?u?d?l?d;-1.371110160474733;1
[4, 2, 4, 4, 0, 4, 1, 1];?s?u?s?s;-0.0;1
[1, 2, 3, 3, 0, 3, 3, 0];?l?u?d?d;-0.0;1
[4, 1, 4, 1, 2, 3, 2, 4];?s?l?s?l?u?d?u?s;-0.0;1
[1, 1, 4, 2, 1, 1, 1, 3];?l?l?s?u?l?l?l?d;-0.0;1
[2, 3, 4, 3, 1, 1, 2, 2];?u?d?s?d?l?l?u?u;-0.0;1
[1, 3, 2, 2, 4, 3, 1, 3];?l?d?u?u?s?d?l?d;-0.0;1
[1, 4, 2, 2, 1, 2, 1, 0];?l?s?u?u?l?u?l;-0.0;1
[3, 1, 1, 3, 4, 4, 0, 2];?d?l?l?d?s?s;-0.0;1
[2, 2, 1, 4, 1, 0, 0, 1];?u?u?l?s?l;-0.0;1
[3, 4, 2, 1, 4, 3, 1, 0];?d?s?u?l?s?d?l;-0.0;1
[3, 4, 4, 1, 2, 0, 2, 1];?d?s?s?l?u;-0.0;1
[1, 4, 4, 2, 0, 0, 1, 3];?l?s?s?u;-0.0;1
[2, 1, 4, 4, 1, 2, 2, 3];?u?l?s?s?l?u?u?d;-0.0;1
[1, 2, 1, 1, 0, 4, 1, 3];?l?u?l?l;-2.1839859665797734;1
[1, 3, 2, 2, 2, 2, 2, 4];?l?d?u?u?u?u?u?s;-0.0;1
[4, 1, 4, 4, 2, 3, 0, 3];?s?l?s?s?u?d;-0.0;1
[3, 2, 3, 2, 4, 4, 2, 3];?d?u?d?u?s?s?u?d;-0.0;1
[3, 4, 1, 2, 1, 1, 2, 3];?d?s?l?u?l?l?u?d;-0.0;1
[1, 2, 4, 3, 3, 1, 2, 3];?l?u?s?d?d?l?u?d;-0.0;1
[4, 2, 2, 3, 1, 0, 3, 1];?s?u?u?d?l;-0.0;1
[2, 3, 4, 4, 1, 2, 2, 2];?u?d?s?s?l?u?u?u;-0.0;1
[4, 1, 2, 2, 2, 4, 4, 2];?s?l?u?u?u?s?s?u;-0.0;1
[4, 1, 4, 1, 3, 4, 3, 2];?s?l?s?l?d?s?d?u;-0.0;1
[3, 4, 1, 1, 2, 3, 1, 4];?d?s?l?l?u?d?l?s;-0.0;1
[4, 2, 1, 3, 3, 3, 1, 3];?s?u?l?d?d?d?l?d;-0.0;1
[3, 4, 3, 4, 1, 1, 3, 3];?d?s?d?s?l?l?d?d;-0.0;1
[1, 3, 2, 3, 1, 1, 0, 3];?l?d?u?d?l?l;-1.4876101598567282;1
[2, 3, 1, 2, 3, 2, 0, 2];?u?d?l?u?d?u;-0.3718331205518301;1
[3, 1, 4, 2, 3, 4, 1, 3];?d?l?s?u?d?s?l?d;-0.0;1
[1, 4, 1, 1, 2, 4, 0, 2];?l?s?l?l?u?s;-0.0;1
[1, 2, 1, 2, 2, 0, 4, 0];?l?u?l?u?u;-3.6576795954972137;1
[2, 2, 2, 1, 4, 4, 4, 0];?u?u?u?l?s?s?s;-0.0;1
[2, 4, 1, 1, 2, 4, 4, 4];?u?s?l?l?u?s?s?s;-0.0;1
[1, 2, 3, 1, 4, 2, 0, 0];?l?u?d?l?s?u;-0.0;1
[3, 3, 3, 2, 2, 2, 0, 3];?d?d?d?u?u?u;-6.857719689336155;1
[2, 4, 1, 1, 3, 0, 0, 1];?u?s?l?l?d;-0.0;1
[1, 3, 2, 2, 3, 4, 1, 2];?l?d?u?u?d?s?l?u;-0.0;1
[4, 1, 2, 3, 3, 4, 2, 1];?s?l?u?d?d?s?u?l;-0.0;1
[1, 3, 4, 4, 2, 3, 3, 0];?l?d?s?s?u?d?d;-0.0;1
[1, 4, 2, 2, 3, 0, 2, 1];?l?s?u?u?d;-0.0;1
[2, 1, 3, 4, 4, 1, 3, 0];?u?l?d?s?s?l?d;-0.0;1
[4, 4, 1, 3, 3, 1, 1, 2];?s?s?l?d?d?l?l?u;-0.0;1
[4, 2, 2, 2, 3, 3, 1, 4];?s?u?u?u?d?d?l?s;-0.0;1
[1, 4, 2, 4, 4, 3, 3, 2];?l?s?u?s?s?d?d?u;-0.0;1
[2, 1, 2, 3, 4, 0, 0, 0];?u?l?u?d?s;-0.0;1
