Evaluations;BestFitness;SolutionArray
50;0.0;[4, 2, 4, 3, 0, 0, 2, 0]
100;44.90560961680815;[1, 1, 3, 1, 3, 1, 0, 2]
150;47.80928175413926;[3, 1, 3, 1, 3, 1, 0, 2]
200;47.80928175413926;[3, 1, 3, 1, 3, 1, 0, 2]
250;147.6704070350182;[2, 1, 1, 1, 0, 0, 4, 2]
300;147.6704070350182;[2, 1, 1, 1, 0, 0, 4, 2]
350;147.6704070350182;[2, 1, 1, 1, 0, 0, 4, 2]
400;2551.627158679442;[1, 1, 1, 1, 0, 0, 4, 1]
450;2551.627158679442;[1, 1, 1, 1, 0, 0, 4, 1]
500;2551.627158679442;[1, 1, 1, 1, 0, 0, 4, 1]
550;7665.088639304272;[1, 1, 1, 1, 1, 1, 1, 1]
600;7665.088639304272;[1, 1, 1, 1, 1, 1, 1, 1]
650;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
700;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
750;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
800;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
850;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
900;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
950;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1000;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1050;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1100;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1150;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1200;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1250;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1300;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1350;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1400;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1450;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1500;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1550;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1600;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1650;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1700;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1750;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1800;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1850;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1900;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
1950;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
2000;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
2050;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
2100;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
2150;15115.62536859751;[1, 1, 1, 1, 1, 1, 0, 1]
