Evaluations;BestFitness;SolutionArray
50;0.0;[3, 4, 2, 1, 4, 1, 2, 1]
100;2.4;[1, 1, 2, 2, 0, 4, 2, 4]
150;442.6;[1, 1, 3, 3, 3, 3, 3, 3]
200;442.6;[1, 1, 3, 3, 3, 3, 3, 3]
250;1400.75;[1, 1, 3, 3, 3, 3, 0, 0]
300;1400.75;[1, 1, 3, 3, 3, 3, 0, 0]
350;1400.75;[1, 1, 3, 3, 3, 3, 0, 3]
400;1400.75;[1, 1, 3, 3, 3, 3, 0, 3]
450;1400.75;[1, 1, 3, 3, 3, 3, 0, 3]
500;1478.6666666666667;[1, 1, 1, 3, 3, 3, 0, 1]
550;1478.6666666666667;[1, 1, 1, 3, 3, 3, 0, 3]
600;1478.6666666666667;[1, 1, 1, 3, 3, 3, 0, 3]
650;1478.6666666666667;[1, 1, 1, 3, 3, 3, 0, 3]
700;1478.6666666666667;[1, 1, 1, 3, 3, 3, 0, 1]
750;1478.6666666666667;[1, 1, 1, 3, 3, 3, 0, 1]
800;1478.6666666666667;[1, 1, 1, 3, 3, 3, 0, 3]
850;3051.5;[1, 1, 1, 1, 3, 3, 0, 1]
900;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
950;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
1000;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
1050;3051.5;[1, 1, 1, 1, 3, 3, 0, 0]
1100;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
1150;3051.5;[1, 1, 1, 1, 3, 3, 0, 0]
1200;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
1250;3051.5;[1, 1, 1, 1, 3, 3, 0, 0]
1300;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
1350;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
1400;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
1450;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
1500;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
1550;3051.5;[1, 1, 1, 1, 3, 3, 0, 0]
1600;3051.5;[1, 1, 1, 1, 3, 3, 0, 0]
1650;3051.5;[1, 1, 1, 1, 3, 3, 0, 0]
1700;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
1750;3051.5;[1, 1, 1, 1, 3, 3, 0, 0]
1800;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
1850;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
1900;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
1950;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
2000;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
2050;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
2100;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
2150;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
2200;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
2250;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
2300;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
2350;3051.5;[1, 1, 1, 1, 3, 3, 0, 0]
2400;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
2450;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
2500;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
2550;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
2600;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
2650;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
2700;3051.5;[1, 1, 1, 1, 3, 3, 0, 2]
2750;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
2800;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
2850;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
2900;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
2950;3051.5;[1, 1, 1, 1, 3, 3, 0, 0]
3000;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
3050;3051.5;[1, 1, 1, 1, 3, 3, 0, 1]
3100;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
3150;3051.5;[1, 1, 1, 1, 3, 3, 0, 0]
3200;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
3250;3051.5;[1, 1, 1, 1, 3, 3, 0, 1]
3300;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
3350;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
3400;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
3450;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
3500;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
3550;3051.5;[1, 1, 1, 1, 3, 3, 0, 0]
3600;3051.5;[1, 1, 1, 1, 3, 3, 0, 0]
3650;3051.5;[1, 1, 1, 1, 3, 3, 0, 2]
3700;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
3750;3051.5;[1, 1, 1, 1, 3, 3, 0, 0]
3800;3051.5;[1, 1, 1, 1, 3, 3, 0, 3]
3850;3051.5;[1, 1, 1, 1, 3, 3, 0, 0]
