Array;Mask;Score;Generacion
[3, 2, 1, 2, 4, 2, 0, 1];?d?u?l?u?s?u;-0.0;1
[4, 2, 1, 2, 4, 1, 4, 4];?s?u?l?u?s?l?s?s;-0.0;1
[4, 2, 3, 1, 3, 1, 4, 1];?s?u?d?l?d?l?s?l;-0.0;1
[3, 1, 1, 4, 2, 3, 1, 1];?d?l?l?s?u?d?l?l;-0.0;1
[2, 1, 3, 2, 4, 0, 4, 1];?u?l?d?u?s;-0.0;1
[3, 1, 4, 3, 2, 4, 2, 4];?d?l?s?d?u?s?u?s;-0.0;1
[4, 4, 2, 3, 3, 1, 4, 4];?s?s?u?d?d?l?s?s;-0.0;1
[4, 3, 4, 4, 1, 1, 2, 1];?s?d?s?s?l?l?u?l;-0.0;1
[2, 3, 4, 1, 4, 3, 3, 0];?u?d?s?l?s?d?d;-0.0;1
[4, 3, 3, 1, 3, 0, 4, 3];?s?d?d?l?d;-0.0;1
[3, 2, 1, 4, 2, 3, 4, 3];?d?u?l?s?u?d?s?d;-0.0;1
[1, 4, 1, 4, 0, 3, 0, 2];?l?s?l?s;-0.4;1
[4, 3, 2, 2, 2, 1, 4, 1];?s?d?u?u?u?l?s?l;-0.0;1
[3, 2, 2, 1, 3, 4, 2, 3];?d?u?u?l?d?s?u?d;-0.0;1
[4, 2, 2, 3, 2, 3, 3, 0];?s?u?u?d?u?d?d;-0.0;1
[1, 4, 3, 4, 1, 2, 3, 0];?l?s?d?s?l?u?d;-0.0;1
[1, 1, 4, 3, 1, 4, 4, 1];?l?l?s?d?l?s?s?l;-0.0;1
[2, 2, 2, 1, 0, 4, 1, 4];?u?u?u?l;-1.6;1
[3, 1, 2, 2, 2, 0, 4, 0];?d?l?u?u?u;-0.6;1
[4, 3, 4, 4, 3, 3, 2, 4];?s?d?s?s?d?d?u?s;-0.0;1
[3, 2, 1, 3, 0, 3, 4, 1];?d?u?l?d;-0.0;1
[2, 4, 1, 2, 3, 0, 4, 1];?u?s?l?u?d;-0.0;1
[2, 1, 3, 3, 0, 2, 4, 2];?u?l?d?d;-0.4;1
[2, 3, 3, 3, 2, 3, 3, 0];?u?d?d?d?u?d?d;-2.5;1
[3, 2, 1, 4, 1, 4, 3, 2];?d?u?l?s?l?s?d?u;-0.0;1
[4, 1, 1, 2, 3, 4, 3, 3];?s?l?l?u?d?s?d?d;-0.0;1
[3, 3, 2, 3, 1, 4, 2, 3];?d?d?u?d?l?s?u?d;-0.0;1
[1, 3, 4, 4, 3, 3, 2, 0];?l?d?s?s?d?d?u;-0.0;1
[1, 3, 3, 1, 1, 3, 2, 4];?l?d?d?l?l?d?u?s;-0.0;1
[3, 2, 2, 1, 2, 1, 2, 4];?d?u?u?l?u?l?u?s;-0.0;1
[1, 4, 4, 2, 1, 3, 0, 4];?l?s?s?u?l?d;-0.0;1
[1, 3, 3, 1, 0, 1, 0, 4];?l?d?d?l;-16.4;1
[2, 4, 3, 4, 4, 0, 2, 3];?u?s?d?s?s;-0.0;1
[1, 1, 1, 4, 3, 0, 0, 2];?l?l?l?s?d;-1.75;1
[3, 1, 2, 4, 4, 2, 4, 1];?d?l?u?s?s?u?s?l;-0.0;1
[2, 3, 2, 1, 4, 2, 2, 3];?u?d?u?l?s?u?u?d;-0.0;1
[4, 1, 1, 1, 4, 2, 4, 4];?s?l?l?l?s?u?s?s;-0.0;1
[4, 2, 4, 1, 3, 1, 3, 1];?s?u?s?l?d?l?d?l;-0.0;1
[4, 1, 3, 4, 0, 3, 4, 0];?s?l?d?s;-0.0;1
[1, 4, 3, 2, 4, 1, 1, 0];?l?s?d?u?s?l?l;-0.0;1
[2, 2, 4, 3, 1, 1, 3, 1];?u?u?s?d?l?l?d?l;-0.0;1
[2, 4, 1, 4, 0, 3, 1, 3];?u?s?l?s;-0.0;1
[2, 2, 2, 2, 3, 2, 4, 0];?u?u?u?u?d?u?s;-0.0;1
[2, 4, 1, 4, 4, 2, 2, 4];?u?s?l?s?s?u?u?s;-0.0;1
[1, 1, 3, 2, 3, 2, 0, 3];?l?l?d?u?d?u;-0.25;1
[4, 4, 1, 2, 3, 1, 4, 1];?s?s?l?u?d?l?s?l;-0.0;1
[3, 4, 4, 1, 2, 3, 0, 0];?d?s?s?l?u?d;-0.0;1
[1, 4, 3, 1, 0, 1, 1, 0];?l?s?d?l;-0.0;1
[3, 4, 4, 3, 1, 0, 3, 0];?d?s?s?d?l;-0.0;1
[1, 3, 4, 1, 3, 2, 1, 4];?l?d?s?l?d?u?l?s;-0.0;1
[3, 1, 1, 4, 2, 3, 1, 1];?d?l?l?s?u?d?l?l;-0.0;2
[3, 2, 1, 4, 2, 3, 4, 3];?d?u?l?s?u?d?s?d;-0.0;2
[1, 1, 4, 3, 1, 4, 4, 1];?l?l?s?d?l?s?s?l;-0.0;2
[2, 3, 4, 1, 4, 3, 3, 0];?u?d?s?l?s?d?d;-0.0;2
[1, 3, 3, 1, 4, 3, 3, 0];?l?d?d?l?s?d?d;-0.0;2
[2, 3, 4, 1, 0, 2, 0, 4];?u?d?s?l;-0.0;2
[3, 2, 1, 2, 4, 2, 0, 2];?d?u?l?u?s?u;-0.0;2
[1, 1, 1, 4, 3, 0, 0, 1];?l?l?l?s?d;-1.75;2
[1, 3, 3, 1, 0, 1, 0, 1];?l?d?d?l;-16.4;2
[4, 3, 2, 2, 2, 1, 4, 4];?s?d?u?u?u?l?s?s;-0.0;2
[1, 3, 3, 1, 1, 3, 2, 4];?l?d?d?l?l?d?u?s;-0.0;2
[2, 2, 2, 1, 0, 4, 1, 4];?u?u?u?l;-1.6;2
[3, 2, 2, 1, 3, 1, 4, 1];?d?u?u?l?d?l?s?l;-0.0;2
[4, 2, 3, 1, 3, 4, 2, 3];?s?u?d?l?d?s?u?d;-0.0;2
[4, 1, 3, 4, 0, 3, 4, 0];?s?l?d?s;-0.0;2
[1, 3, 4, 4, 3, 3, 2, 0];?l?d?s?s?d?d?u;-0.0;2
[2, 4, 3, 4, 4, 0, 2, 4];?u?s?d?s?s;-0.0;2
[1, 3, 3, 1, 1, 3, 2, 3];?l?d?d?l?l?d?u?d;-0.16666666666666666;2
[4, 2, 2, 3, 1, 1, 3, 1];?s?u?u?d?l?l?d?l;-0.0;2
[2, 2, 4, 3, 2, 3, 3, 0];?u?u?s?d?u?d?d;-0.0;2
[2, 4, 3, 4, 4, 0, 2, 3];?u?s?d?s?s;-0.0;2
[1, 3, 4, 4, 3, 3, 2, 0];?l?d?s?s?d?d?u;-0.0;2
[2, 1, 3, 3, 0, 2, 4, 2];?u?l?d?d;-0.4;2
[3, 2, 1, 4, 1, 4, 3, 2];?d?u?l?s?l?s?d?u;-0.0;2
[2, 1, 3, 3, 0, 2, 4, 0];?u?l?d?d;-0.4;2
[1, 4, 3, 4, 1, 2, 3, 2];?l?s?d?s?l?u?d?u;-0.0;2
[1, 3, 1, 3, 0, 3, 4, 1];?l?d?l?d;-17.0;2
[3, 2, 4, 4, 3, 3, 2, 0];?d?u?s?s?d?d?u;-0.0;2
[4, 1, 3, 4, 0, 1, 3, 3];?s?l?d?s;-0.0;2
[4, 2, 4, 1, 3, 3, 4, 0];?s?u?s?l?d?d?s;-0.0;2
[4, 4, 1, 2, 3, 1, 4, 1];?s?s?l?u?d?l?s?l;-0.0;2
[1, 1, 1, 4, 3, 0, 0, 2];?l?l?l?s?d;-1.75;2
[1, 2, 2, 1, 0, 4, 1, 4];?l?u?u?l;-0.4;2
[2, 2, 1, 4, 3, 0, 0, 2];?u?u?l?s?d;-0.0;2
[1, 4, 3, 3, 2, 4, 2, 2];?l?s?d?d?u?s?u?u;-0.0;2
[3, 1, 4, 2, 4, 1, 1, 0];?d?l?s?u?s?l?l;-0.0;2
[2, 1, 2, 3, 0, 2, 4, 2];?u?l?u?d;-3.0;2
[3, 4, 4, 1, 2, 3, 0, 0];?d?s?s?l?u?d;-0.0;2
[2, 1, 3, 3, 0, 2, 4, 2];?u?l?d?d;-0.4;2
[4, 3, 4, 4, 3, 3, 2, 4];?s?d?s?s?d?d?u?s;-0.0;2
[1, 4, 1, 1, 3, 1, 4, 4];?l?s?l?l?d?l?s?s;-0.0;2
