Evaluations;BestFitness;SolutionArray
1000;0.7272727272727273;[1, 1, 1, 3, 2, 2, 2, 1]
2000;3759.1428571428573;[1, 1, 1, 1, 1, 0, 3, 0]
3000;3759.1428571428573;[1, 1, 1, 1, 1, 0, 3, 0]
4000;7578.0;[3, 3, 3, 3, 3, 3, 0, 2]
5000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
6000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
7000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
8000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
9000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
10000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
11000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
12000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
13000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
14000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
15000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
16000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
17000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
18000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
19000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
20000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
21000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
22000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
23000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
24000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
25000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
26000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
27000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
28000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
29000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
30000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
31000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
32000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
33000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
34000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
35000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
36000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
37000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
38000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
39000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
40000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
41000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
42000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
43000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
44000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
45000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
46000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
47000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
48000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
49000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
50000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
51000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
52000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
53000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
54000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
55000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
56000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
57000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
58000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
59000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
60000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
61000;11101.125;[1, 1, 1, 1, 1, 1, 0, 1]
