Array;Mask;Score;Generacion
[4, 2, 2, 2, 1, 2, 3, 1];?s?u?u?u?l?u?d?l;-0.0;1
[2, 4, 3, 2, 2, 3, 2, 0];?u?s?d?u?u?d?u;-0.0;1
[3, 3, 4, 1, 0, 3, 4, 3];?d?d?s?l;-0.0;1
[2, 1, 1, 3, 3, 1, 3, 2];?u?l?l?d?d?l?d?u;-0.0;1
[4, 4, 1, 3, 4, 3, 1, 3];?s?s?l?d?s?d?l?d;-0.0;1
[4, 1, 3, 2, 2, 2, 2, 2];?s?l?d?u?u?u?u?u;-0.0;1
[4, 3, 3, 4, 1, 1, 3, 0];?s?d?d?s?l?l?d;-0.0;1
[4, 1, 4, 2, 1, 3, 3, 1];?s?l?s?u?l?d?d?l;-0.0;1
[4, 1, 1, 3, 4, 1, 4, 3];?s?l?l?d?s?l?s?d;-0.0;1
[4, 1, 4, 3, 4, 1, 1, 1];?s?l?s?d?s?l?l?l;-0.0;1
[4, 2, 3, 4, 4, 4, 3, 2];?s?u?d?s?s?s?d?u;-0.0;1
[4, 3, 1, 1, 0, 0, 3, 1];?s?d?l?l;-0.0;1
[4, 1, 2, 4, 0, 2, 1, 3];?s?l?u?s;-0.0;1
[2, 2, 3, 3, 1, 2, 3, 4];?u?u?d?d?l?u?d?s;-0.0;1
[4, 1, 3, 2, 2, 1, 2, 2];?s?l?d?u?u?l?u?u;-0.0;1
[2, 1, 3, 3, 3, 0, 2, 3];?u?l?d?d?d;-2.142857142857143;1
[1, 1, 2, 3, 2, 1, 3, 3];?l?l?u?d?u?l?d?d;-0.3333333333333333;1
[2, 1, 2, 2, 3, 4, 4, 1];?u?l?u?u?d?s?s?l;-0.0;1
[4, 1, 1, 2, 0, 1, 2, 4];?s?l?l?u;-0.0;1
[1, 3, 4, 3, 3, 2, 2, 4];?l?d?s?d?d?u?u?s;-0.0;1
[4, 3, 2, 4, 2, 4, 2, 2];?s?d?u?s?u?s?u?u;-0.0;1
[3, 4, 3, 2, 1, 1, 4, 1];?d?s?d?u?l?l?s?l;-0.0;1
[4, 3, 2, 3, 2, 4, 2, 2];?s?d?u?d?u?s?u?u;-0.0;1
[1, 1, 2, 2, 3, 3, 3, 2];?l?l?u?u?d?d?d?u;-0.4444444444444444;1
[4, 1, 1, 2, 1, 1, 3, 4];?s?l?l?u?l?l?d?s;-0.0;1
[3, 2, 3, 4, 0, 1, 1, 3];?d?u?d?s;-0.0;1
[3, 1, 1, 3, 3, 4, 4, 0];?d?l?l?d?d?s?s;-0.0;1
[4, 2, 3, 4, 0, 1, 0, 2];?s?u?d?s;-0.0;1
[3, 4, 3, 4, 4, 0, 3, 2];?d?s?d?s?s;-0.0;1
[3, 1, 2, 4, 4, 4, 1, 0];?d?l?u?s?s?s?l;-0.0;1
[2, 2, 3, 4, 1, 4, 2, 0];?u?u?d?s?l?s?u;-0.0;1
[4, 4, 3, 2, 2, 3, 0, 1];?s?s?d?u?u?d;-0.0;1
[1, 4, 3, 1, 0, 2, 4, 0];?l?s?d?l;-0.0;1
[1, 4, 1, 4, 1, 2, 4, 3];?l?s?l?s?l?u?s?d;-0.0;1
[2, 1, 1, 1, 1, 0, 3, 4];?u?l?l?l?l;-227.85714285714286;1
[3, 1, 4, 3, 4, 2, 4, 1];?d?l?s?d?s?u?s?l;-0.0;1
[3, 1, 4, 2, 2, 0, 1, 4];?d?l?s?u?u;-0.0;1
[2, 2, 1, 3, 3, 4, 3, 3];?u?u?l?d?d?s?d?d;-0.0;1
[3, 4, 3, 4, 3, 1, 0, 3];?d?s?d?s?d?l;-0.0;1
[4, 3, 2, 1, 3, 0, 0, 3];?s?d?u?l?d;-0.0;1
[4, 3, 1, 2, 1, 3, 2, 4];?s?d?l?u?l?d?u?s;-0.0;1
[1, 3, 1, 2, 1, 4, 3, 0];?l?d?l?u?l?s?d;-0.0;1
[4, 1, 1, 2, 0, 2, 1, 1];?s?l?l?u;-0.0;1
[4, 4, 1, 4, 0, 0, 0, 3];?s?s?l?s;-0.0;1
[4, 3, 4, 4, 2, 0, 3, 3];?s?d?s?s?u;-0.0;1
[3, 2, 2, 3, 2, 1, 0, 2];?d?u?u?d?u?l;-0.0;1
[2, 1, 1, 1, 0, 1, 0, 4];?u?l?l?l;-102.85714285714286;1
[4, 4, 2, 4, 2, 3, 1, 0];?s?s?u?s?u?d?l;-0.0;1
