Evaluations;BestFitness;SolutionArray
50;0.0;[3, 2, 1, 2, 4, 2, 0, 1]
100;17.0;[1, 3, 1, 3, 0, 3, 4, 1]
150;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
200;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
250;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
300;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
350;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
400;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
450;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
500;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
550;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
600;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
650;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
700;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
750;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
800;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
850;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
900;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
950;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1000;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1050;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1100;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1150;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1200;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1250;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1300;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1350;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1400;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1450;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1500;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1550;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1600;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1650;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1700;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1750;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1800;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1850;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1900;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
1950;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2000;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2050;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2100;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2150;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2200;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2250;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2300;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2350;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2400;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2450;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2500;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2550;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2600;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2650;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2700;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2750;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2800;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2850;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2900;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
2950;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3000;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3050;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3100;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3150;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3200;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3250;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3300;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3350;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3400;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3450;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3500;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3550;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3600;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3650;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3700;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3750;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3800;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3850;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3900;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
3950;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4000;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4050;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4100;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4150;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4200;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4250;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4300;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4350;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4400;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4450;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4500;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4550;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4600;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4650;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4700;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4750;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4800;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4850;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4900;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
4950;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
5000;2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
