Array;Mask;Score;Generacion
[3, 1, 2, 2, 1, 0, 0, 1];?d?l?u?u?l;-2.4;1
[3, 2, 1, 4, 0, 0, 3, 3];?d?u?l?s;-0.0;1
[4, 3, 3, 3, 2, 1, 4, 3];?s?d?d?d?u?l?s?d;-0.0;1
[2, 1, 1, 3, 0, 2, 0, 3];?u?l?l?d;-3.2;1
[2, 2, 3, 1, 3, 0, 2, 4];?u?u?d?l?d;-1.5;1
[4, 4, 4, 4, 2, 0, 0, 2];?s?s?s?s?u;-0.0;1
[4, 1, 2, 3, 2, 2, 0, 2];?s?l?u?d?u?u;-0.0;1
[4, 4, 2, 4, 2, 2, 0, 2];?s?s?u?s?u?u;-0.0;1
[1, 2, 2, 1, 2, 2, 3, 4];?l?u?u?l?u?u?d?s;-0.0;1
[1, 1, 4, 4, 0, 4, 4, 4];?l?l?s?s;-0.0;1
[1, 2, 3, 1, 4, 4, 4, 3];?l?u?d?l?s?s?s?d;-0.0;1
[3, 2, 3, 4, 4, 3, 3, 2];?d?u?d?s?s?d?d?u;-0.0;1
[3, 1, 4, 2, 3, 2, 1, 2];?d?l?s?u?d?u?l?u;-0.0;1
[2, 3, 3, 1, 4, 3, 3, 0];?u?d?d?l?s?d?d;-0.0;1
[3, 2, 2, 3, 3, 0, 3, 0];?d?u?u?d?d;-2.2;1
[2, 1, 1, 2, 1, 1, 3, 0];?u?l?l?u?l?l?d;-8.2;1
[3, 3, 2, 1, 2, 1, 1, 4];?d?d?u?l?u?l?l?s;-0.0;1
[2, 2, 2, 2, 3, 0, 4, 3];?u?u?u?u?d;-12.0;1
[4, 4, 2, 4, 0, 0, 3, 3];?s?s?u?s;-0.0;1
[2, 4, 1, 3, 4, 1, 3, 1];?u?s?l?d?s?l?d?l;-0.0;1
[1, 2, 2, 1, 0, 2, 4, 2];?l?u?u?l;-0.4;1
[4, 4, 2, 4, 2, 3, 1, 2];?s?s?u?s?u?d?l?u;-0.0;1
[1, 1, 4, 2, 2, 2, 2, 2];?l?l?s?u?u?u?u?u;-0.0;1
[3, 4, 4, 3, 2, 2, 4, 0];?d?s?s?d?u?u?s;-0.0;1
[3, 4, 4, 2, 4, 0, 4, 3];?d?s?s?u?s;-0.0;1
[2, 1, 4, 2, 1, 1, 2, 0];?u?l?s?u?l?l?u;-0.0;1
[2, 2, 4, 4, 1, 4, 4, 1];?u?u?s?s?l?s?s?l;-0.0;1
[3, 2, 3, 3, 2, 3, 3, 1];?d?u?d?d?u?d?d?l;-0.0;1
[2, 2, 4, 4, 1, 2, 1, 2];?u?u?s?s?l?u?l?u;-0.0;1
[2, 1, 1, 4, 1, 0, 3, 2];?u?l?l?s?l;-0.0;1
[4, 3, 3, 4, 2, 1, 3, 4];?s?d?d?s?u?l?d?s;-0.0;1
[3, 4, 1, 2, 0, 0, 3, 2];?d?s?l?u;-0.0;1
[2, 3, 4, 1, 1, 3, 2, 4];?u?d?s?l?l?d?u?s;-0.0;1
[2, 4, 4, 3, 4, 3, 4, 4];?u?s?s?d?s?d?s?s;-0.0;1
[3, 2, 3, 4, 1, 1, 0, 2];?d?u?d?s?l?l;-0.0;1
[1, 3, 1, 4, 3, 1, 4, 4];?l?d?l?s?d?l?s?s;-0.0;1
[1, 4, 4, 4, 0, 1, 2, 4];?l?s?s?s;-0.0;1
[1, 3, 2, 2, 2, 3, 2, 3];?l?d?u?u?u?d?u?d;-0.3333333333333333;1
[4, 1, 3, 1, 4, 1, 2, 2];?s?l?d?l?s?l?u?u;-0.0;1
[1, 3, 4, 1, 0, 1, 1, 3];?l?d?s?l;-0.0;1
[2, 3, 4, 4, 0, 2, 1, 0];?u?d?s?s;-0.0;1
[1, 4, 1, 2, 4, 3, 0, 1];?l?s?l?u?s?d;-0.0;1
[2, 4, 4, 1, 2, 0, 3, 3];?u?s?s?l?u;-0.0;1
[3, 3, 1, 2, 1, 4, 1, 2];?d?d?l?u?l?s?l?u;-0.0;1
[3, 1, 4, 4, 0, 4, 4, 0];?d?l?s?s;-0.0;1
[1, 4, 4, 1, 1, 4, 0, 0];?l?s?s?l?l?s;-0.0;1
[3, 3, 3, 1, 1, 2, 2, 0];?d?d?d?l?l?u?u;-0.16666666666666666;1
[4, 1, 1, 1, 4, 3, 1, 1];?s?l?l?l?s?d?l?l;-0.0;1
[1, 2, 2, 2, 3, 0, 3, 1];?l?u?u?u?d;-2.6;1
[2, 1, 2, 1, 0, 1, 3, 3];?u?l?u?l;-4.6;1
[2, 1, 1, 2, 1, 1, 0, 3];?u?l?l?u?l?l;-57.833333333333336;2
[2, 1, 1, 3, 0, 2, 3, 0];?u?l?l?d;-3.2;2
[3, 2, 3, 4, 4, 3, 0, 1];?d?u?d?s?s?d;-0.0;2
[1, 4, 1, 2, 4, 3, 3, 2];?l?s?l?u?s?d?d?u;-0.0;2
[1, 3, 4, 1, 4, 3, 0, 1];?l?d?s?l?s?d;-0.0;2
[1, 4, 1, 2, 1, 3, 2, 4];?l?s?l?u?l?d?u?s;-0.0;2
[4, 3, 3, 4, 2, 1, 3, 4];?s?d?d?s?u?l?d?s;-0.0;2
[2, 2, 3, 1, 3, 0, 2, 4];?u?u?d?l?d;-1.5;2
[1, 2, 3, 1, 4, 2, 0, 3];?l?u?d?l?s?u;-0.0;2
[2, 1, 1, 3, 0, 4, 4, 3];?u?l?l?d;-3.2;2
[1, 3, 1, 4, 3, 1, 4, 0];?l?d?l?s?d?l?s;-0.0;2
[3, 3, 3, 1, 1, 2, 2, 4];?d?d?d?l?l?u?u?s;-0.0;2
[2, 1, 2, 1, 0, 1, 4, 3];?u?l?u?l;-4.6;2
[4, 3, 0, 3, 2, 1, 3, 3];?s?d;-0.0;2
[4, 4, 4, 4, 2, 0, 0, 2];?s?s?s?s?u;-0.0;2
[3, 3, 3, 1, 1, 2, 2, 0];?d?d?d?l?l?u?u;-0.16666666666666666;2
[3, 1, 4, 2, 3, 2, 1, 2];?d?l?s?u?d?u?l?u;-0.0;2
[2, 3, 4, 4, 0, 2, 1, 0];?u?d?s?s;-0.0;2
[2, 1, 1, 3, 0, 2, 0, 3];?u?l?l?d;-3.2;2
[1, 2, 2, 1, 0, 2, 4, 2];?l?u?u?l;-0.4;2
[4, 1, 1, 1, 4, 4, 4, 3];?s?l?l?l?s?s?s?d;-0.0;2
[1, 2, 3, 1, 2, 3, 1, 1];?l?u?d?l?u?d?l?l;-0.42857142857142855;2
[2, 1, 1, 3, 0, 2, 0, 3];?u?l?l?d;-3.2;2
[3, 2, 3, 3, 2, 3, 3, 1];?d?u?d?d?u?d?d?l;-0.0;2
[2, 2, 2, 4, 0, 1, 2, 4];?u?u?u?s;-0.2;2
[1, 4, 4, 2, 3, 0, 4, 3];?l?s?s?u?d;-0.0;2
[2, 1, 2, 1, 0, 1, 3, 1];?u?l?u?l;-4.6;2
[1, 2, 2, 2, 3, 0, 3, 3];?l?u?u?u?d;-2.6;2
[2, 1, 1, 3, 0, 2, 0, 3];?u?l?l?d;-3.2;2
[2, 1, 1, 2, 1, 1, 3, 0];?u?l?l?u?l?l?d;-8.2;2
[4, 1, 1, 1, 0, 2, 0, 3];?s?l?l?l;-0.6;2
[2, 1, 1, 3, 4, 4, 1, 1];?u?l?l?d?s?s?l?l;-0.0;2
[2, 1, 1, 2, 1, 1, 3, 0];?u?l?l?u?l?l?d;-8.2;2
[2, 1, 1, 2, 1, 1, 3, 0];?u?l?l?u?l?l?d;-8.2;2
[2, 4, 4, 4, 0, 1, 2, 4];?u?s?s?s;-0.0;2
[1, 1, 1, 3, 0, 2, 0, 3];?l?l?l?d;-226.25;2
[4, 3, 3, 3, 4, 1, 2, 2];?s?d?d?d?s?l?u?u;-0.0;2
[4, 1, 3, 1, 2, 1, 4, 3];?s?l?d?l?u?l?s?d;-0.0;2
[3, 2, 3, 3, 2, 3, 3, 1];?d?u?d?d?u?d?d?l;-0.0;2
[1, 2, 2, 2, 3, 0, 3, 1];?l?u?u?u?d;-2.6;2
[1, 2, 2, 1, 0, 2, 4, 4];?l?u?u?l;-0.4;2
[2, 3, 4, 1, 1, 3, 2, 2];?u?d?s?l?l?d?u?u;-0.0;2
[1, 4, 1, 2, 4, 3, 0, 4];?l?s?l?u?s?d;-0.0;2
[1, 4, 4, 4, 0, 1, 2, 1];?l?s?s?s;-0.0;2
[2, 1, 1, 2, 1, 1, 3, 0];?u?l?l?u?l?l?d;-8.2;2
