Evaluations;BestFitness;SolutionArray
50;0.0;[0, 0, 0, 4, 0, 4, 2, 2, 4, 4, 2, 3]
100;1.8333333333333333;[2, 2, 3, 1, 2, 0, 0, 1, 3, 2, 0, 3]
150;2.1666666666666665;[1, 1, 1, 4, 1, 0, 2, 4, 2, 1, 0, 0]
200;70.0;[1, 1, 1, 3, 1, 0, 2, 4, 2, 1, 0, 0]
250;70.0;[1, 1, 1, 3, 1, 0, 2, 4, 2, 1, 0, 0]
300;1758.5;[3, 3, 3, 3, 3, 0, 3, 1, 1, 0, 2, 3]
350;1758.5;[3, 3, 3, 3, 3, 0, 3, 1, 1, 0, 2, 3]
400;1758.5;[3, 3, 3, 3, 3, 0, 3, 1, 1, 0, 2, 3]
450;1758.5;[3, 3, 3, 3, 3, 0, 3, 1, 1, 0, 2, 3]
500;1758.5;[3, 3, 3, 3, 3, 0, 3, 1, 1, 0, 2, 3]
550;1758.5;[3, 3, 3, 3, 3, 0, 3, 1, 1, 0, 2, 3]
600;1758.5;[3, 3, 3, 3, 3, 0, 3, 1, 1, 0, 2, 3]
650;1758.5;[3, 3, 3, 3, 3, 0, 3, 1, 1, 0, 2, 3]
700;1758.5;[3, 3, 3, 3, 3, 0, 3, 1, 1, 0, 2, 3]
750;4273.5;[3, 3, 3, 3, 3, 3, 3, 0, 3, 0, 2, 3]
800;4273.5;[3, 3, 3, 3, 3, 3, 3, 0, 3, 0, 2, 3]
850;4273.5;[3, 3, 3, 3, 3, 3, 3, 0, 3, 0, 2, 3]
900;4273.5;[3, 3, 3, 3, 3, 3, 3, 0, 3, 0, 2, 3]
950;4273.5;[3, 3, 3, 3, 3, 3, 3, 0, 3, 0, 2, 3]
1000;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
1050;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
1100;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
1150;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
1200;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
1250;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
1300;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
1350;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
1400;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
1450;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
1500;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
1550;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
1600;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
1650;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
1700;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
1750;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
1800;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
1850;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
1900;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
1950;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
2000;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
2050;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
2100;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
2150;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
2200;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
2250;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
2300;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
2350;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
2400;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
2450;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
2500;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
2550;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
2600;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
2650;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
2700;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
2750;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
2800;13640.4;[3, 3, 3, 3, 3, 3, 0, 0, 3, 0, 1, 3]
