Evaluations;BestFitness;SolutionArray
50;0.0;[0, 3, 1, 1, 4, 1, 4, 4]
100;99.16666666666667;[1, 3, 3, 3, 0, 2, 1, 1]
150;99.16666666666667;[1, 3, 3, 3, 0, 2, 1, 1]
200;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
250;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
300;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
350;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
400;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
450;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
500;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
550;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
600;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
650;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
700;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
750;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
800;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
850;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
900;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
950;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1000;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1050;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1100;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1150;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1200;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1250;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1300;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1350;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1400;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1450;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1500;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1550;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1600;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1650;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1700;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1750;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1800;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1850;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1900;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
1950;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2000;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2050;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2100;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2150;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2200;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2250;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2300;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2350;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2400;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2450;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2500;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2550;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2600;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2650;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2700;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2750;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2800;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2850;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2900;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
2950;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3000;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3050;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3100;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3150;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3200;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3250;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3300;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3350;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3400;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3450;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3500;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3550;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3600;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3650;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3700;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3750;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3800;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3850;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3900;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
3950;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4000;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4050;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4100;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4150;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4200;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4250;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4300;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4350;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4400;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4450;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4500;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4550;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4600;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4650;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4700;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4750;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4800;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4850;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4900;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
4950;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
5000;1619.0;[3, 3, 3, 3, 0, 2, 1, 1]
