Array;Mask;Score;Generacion
[3, 4, 3, 4, 3, 0, 2, 4];?d?s?d?s?d;-0.0;1
[2, 3, 2, 3, 3, 3, 2, 3];?u?d?u?d?d?d?u?d;-1.6666666666666667;1
[4, 4, 2, 3, 0, 3, 1, 3];?s?s?u?d;-0.0;1
[4, 4, 1, 2, 2, 0, 0, 0];?s?s?l?u?u;-0.0;1
[2, 1, 4, 1, 3, 1, 2, 3];?u?l?s?l?d?l?u?d;-0.0;1
[1, 1, 2, 2, 3, 4, 2, 2];?l?l?u?u?d?s?u?u;-0.0;1
[2, 1, 3, 4, 4, 4, 0, 2];?u?l?d?s?s?s;-0.0;1
[4, 1, 4, 1, 4, 2, 3, 2];?s?l?s?l?s?u?d?u;-0.0;1
[2, 2, 4, 1, 0, 1, 4, 3];?u?u?s?l;-0.0;1
[4, 4, 3, 3, 2, 1, 4, 4];?s?s?d?d?u?l?s?s;-0.0;1
[4, 2, 1, 3, 0, 2, 0, 2];?s?u?l?d;-0.0;1
[3, 2, 3, 3, 0, 0, 1, 4];?d?u?d?d;-0.0;1
[2, 4, 4, 3, 3, 1, 2, 3];?u?s?s?d?d?l?u?d;-0.0;1
[1, 3, 3, 2, 4, 3, 2, 0];?l?d?d?u?s?d?u;-0.0;1
[4, 4, 2, 1, 1, 4, 3, 2];?s?s?u?l?l?s?d?u;-0.0;1
[1, 4, 3, 1, 1, 3, 1, 0];?l?s?d?l?l?d?l;-0.0;1
[1, 3, 4, 1, 2, 3, 0, 3];?l?d?s?l?u?d;-0.2;1
[4, 1, 4, 2, 0, 0, 1, 4];?s?l?s?u;-0.0;1
[2, 3, 4, 3, 0, 2, 2, 4];?u?d?s?d;-0.0;1
[2, 3, 1, 1, 3, 4, 2, 0];?u?d?l?l?d?s?u;-0.0;1
[2, 3, 3, 1, 3, 2, 2, 2];?u?d?d?l?d?u?u?u;-0.5384615384615384;1
[2, 2, 2, 2, 1, 4, 2, 0];?u?u?u?u?l?s?u;-0.0;1
[4, 3, 3, 1, 1, 1, 4, 1];?s?d?d?l?l?l?s?l;-0.0;1
[2, 3, 4, 2, 0, 2, 0, 4];?u?d?s?u;-0.0;1
[3, 2, 1, 3, 2, 0, 3, 3];?d?u?l?d?u;-1.5;1
[2, 1, 3, 4, 4, 3, 4, 2];?u?l?d?s?s?d?s?u;-0.0;1
[3, 1, 2, 1, 1, 2, 1, 2];?d?l?u?l?l?u?l?u;-0.07692307692307693;1
[3, 1, 2, 2, 2, 0, 4, 2];?d?l?u?u?u;-0.6;1
[2, 4, 1, 3, 0, 2, 2, 4];?u?s?l?d;-0.0;1
[3, 2, 2, 1, 1, 2, 2, 4];?d?u?u?l?l?u?u?s;-0.0;1
[3, 3, 1, 1, 2, 4, 4, 1];?d?d?l?l?u?s?s?l;-0.0;1
[4, 1, 3, 3, 1, 2, 3, 4];?s?l?d?d?l?u?d?s;-0.0;1
[4, 1, 4, 1, 3, 1, 3, 0];?s?l?s?l?d?l?d;-0.0;1
[3, 4, 1, 2, 1, 3, 3, 4];?d?s?l?u?l?d?d?s;-0.0;1
[2, 1, 2, 1, 0, 1, 0, 1];?u?l?u?l;-4.6;1
[4, 4, 3, 1, 1, 3, 4, 3];?s?s?d?l?l?d?s?d;-0.0;1
[4, 1, 2, 2, 4, 3, 2, 3];?s?l?u?u?s?d?u?d;-0.0;1
[3, 2, 3, 3, 1, 1, 1, 4];?d?u?d?d?l?l?l?s;-0.0;1
[2, 4, 1, 3, 4, 2, 4, 0];?u?s?l?d?s?u?s;-0.0;1
[1, 2, 1, 2, 1, 0, 0, 3];?l?u?l?u?l;-4.5;1
[1, 4, 4, 3, 4, 1, 2, 1];?l?s?s?d?s?l?u?l;-0.0;1
[4, 4, 4, 1, 4, 3, 2, 2];?s?s?s?l?s?d?u?u;-0.0;1
[3, 3, 4, 3, 2, 2, 1, 2];?d?d?s?d?u?u?l?u;-0.0;1
[4, 3, 2, 3, 3, 3, 1, 3];?s?d?u?d?d?d?l?d;-0.0;1
[1, 4, 1, 4, 0, 3, 0, 0];?l?s?l?s;-0.5;1
[3, 2, 1, 3, 1, 1, 3, 1];?d?u?l?d?l?l?d?l;-0.1;1
[3, 3, 1, 4, 0, 3, 1, 2];?d?d?l?s;-0.0;1
[1, 3, 1, 3, 2, 3, 3, 1];?l?d?l?d?u?d?d?l;-0.0;1
[3, 2, 1, 3, 2, 1, 4, 4];?d?u?l?d?u?l?s?s;-0.0;1
[3, 3, 4, 3, 4, 0, 0, 3];?d?d?s?d?s;-0.0;1
[1, 4, 4, 3, 2, 2, 1, 2];?l?s?s?d?u?u?l?u;-0.0;2
[3, 3, 1, 4, 0, 3, 0, 0];?d?d?l?s;-0.0;2
[1, 3, 4, 2, 0, 2, 0, 4];?l?d?s?u;-0.0;2
[2, 4, 1, 4, 0, 3, 0, 0];?u?s?l?s;-0.0;2
[2, 2, 4, 1, 0, 1, 4, 3];?u?u?s?l;-0.0;2
[4, 4, 2, 3, 0, 3, 1, 3];?s?s?u?d;-0.0;2
[3, 2, 3, 3, 2, 1, 4, 4];?d?u?d?d?u?l?s?s;-0.0;2
[4, 4, 2, 1, 1, 2, 2, 4];?s?s?u?l?l?u?u?s;-0.0;2
[4, 4, 4, 3, 4, 3, 2, 2];?s?s?s?d?s?d?u?u;-0.0;2
[3, 4, 1, 2, 1, 3, 3, 4];?d?s?l?u?l?d?d?s;-0.0;2
[4, 4, 1, 2, 2, 0, 0, 0];?s?s?l?u?u;-0.0;2
[1, 3, 1, 3, 2, 3, 3, 1];?l?d?l?d?u?d?d?l;-0.0;2
[3, 2, 1, 3, 1, 2, 4, 4];?d?u?l?d?l?u?s?s;-0.0;2
[2, 4, 1, 3, 0, 1, 3, 1];?u?s?l?d;-0.0;2
[3, 1, 2, 1, 1, 2, 1, 2];?d?l?u?l?l?u?l?u;-0.07692307692307693;2
[3, 2, 1, 3, 2, 0, 3, 3];?d?u?l?d?u;-1.5;2
[1, 1, 4, 3, 3, 4, 2, 2];?l?l?s?d?d?s?u?u;-0.0;2
[1, 1, 2, 2, 4, 1, 2, 1];?l?l?u?u?s?l?u?l;-0.0;2
[3, 1, 2, 1, 1, 2, 1, 3];?d?l?u?l?l?u?l?d;-0.0;2
[4, 1, 2, 2, 4, 3, 2, 2];?s?l?u?u?s?d?u?u;-0.0;2
[3, 1, 2, 1, 1, 2, 1, 2];?d?l?u?l?l?u?l?u;-0.07692307692307693;2
[2, 1, 2, 1, 0, 1, 0, 1];?u?l?u?l;-4.6;2
[4, 1, 4, 1, 3, 1, 0, 4];?s?l?s?l?d?l;-0.0;2
[2, 0, 4, 2, 0, 2, 3, 0];?u;-0.0;2
[2, 3, 4, 2, 0, 2, 0, 4];?u?d?s?u;-0.0;2
[3, 2, 3, 3, 1, 1, 1, 4];?d?u?d?d?l?l?l?s;-0.0;2
[2, 4, 4, 3, 3, 1, 2, 3];?u?s?s?d?d?l?u?d;-0.0;2
[2, 4, 1, 3, 0, 2, 2, 4];?u?s?l?d;-0.0;2
[4, 3, 2, 3, 3, 3, 1, 3];?s?d?u?d?d?d?l?d;-0.0;2
[4, 4, 3, 3, 2, 1, 4, 4];?s?s?d?d?u?l?s?s;-0.0;2
[2, 4, 1, 1, 0, 1, 0, 1];?u?s?l?l;-0.2;2
[2, 1, 2, 3, 0, 2, 2, 4];?u?l?u?d;-2.0;2
[1, 3, 1, 3, 1, 1, 1, 4];?l?d?l?d?l?l?l?s;-0.1;2
[3, 2, 3, 3, 2, 3, 4, 1];?d?u?d?d?u?d?s?l;-0.0;2
[2, 1, 3, 4, 4, 4, 0, 2];?u?l?d?s?s?s;-0.0;2
[3, 3, 4, 3, 4, 0, 0, 3];?d?d?s?d?s;-0.0;2
[4, 4, 2, 3, 0, 4, 0, 2];?s?s?u?d;-0.0;2
[2, 1, 3, 4, 4, 3, 1, 3];?u?l?d?s?s?d?l?d;-0.0;2
[4, 1, 4, 1, 4, 2, 3, 2];?s?l?s?l?s?u?d?u;-0.0;2
[1, 4, 3, 1, 1, 3, 1, 0];?l?s?d?l?l?d?l;-0.0;2
[4, 1, 2, 2, 4, 3, 2, 3];?s?l?u?u?s?d?u?d;-0.0;2
[4, 1, 2, 2, 4, 3, 2, 3];?s?l?u?u?s?d?u?d;-0.0;2
[4, 4, 1, 2, 2, 0, 0, 0];?s?s?l?u?u;-0.0;2
[3, 2, 1, 3, 1, 1, 3, 1];?d?u?l?d?l?l?d?l;-0.1;2
[1, 2, 1, 2, 1, 0, 0, 3];?l?u?l?u?l;-4.5;2
[2, 2, 2, 2, 1, 4, 2, 0];?u?u?u?u?l?s?u;-0.0;2
[3, 1, 4, 3, 3, 1, 2, 3];?d?l?s?d?d?l?u?d;-0.0;2
[2, 4, 2, 2, 2, 0, 4, 2];?u?s?u?u?u;-0.0;2
[4, 2, 1, 1, 3, 2, 2, 2];?s?u?l?l?d?u?u?u;-0.0;2
[2, 3, 3, 3, 0, 2, 0, 2];?u?d?d?d;-1.6;2
[1, 2, 3, 2, 4, 3, 2, 0];?l?u?d?u?s?d?u;-0.0;3
[2, 3, 3, 3, 0, 2, 0, 2];?u?d?d?d;-1.6;3
[2, 2, 2, 2, 1, 1, 3, 1];?u?u?u?u?l?l?d?l;-0.12698412698412698;3
[3, 2, 1, 3, 1, 4, 2, 0];?d?u?l?d?l?s?u;-0.0;3
[3, 4, 1, 2, 3, 3, 3, 2];?d?s?l?u?d?d?d?u;-0.0;3
[4, 2, 1, 3, 0, 2, 0, 4];?s?u?l?d;-0.0;3
[3, 2, 1, 2, 1, 0, 0, 3];?d?u?l?u?l;-2.5;3
[1, 2, 1, 3, 2, 0, 3, 3];?l?u?l?d?u;-3.4;3
[4, 3, 3, 1, 1, 1, 4, 1];?s?d?d?l?l?l?s?l;-0.0;3
[2, 2, 2, 2, 1, 4, 2, 0];?u?u?u?u?l?s?u;-0.0;3
[3, 1, 2, 2, 2, 0, 3, 3];?d?l?u?u?u;-0.6;3
[3, 2, 1, 3, 2, 0, 4, 2];?d?u?l?d?u;-1.5;3
[2, 2, 3, 3, 0, 0, 1, 4];?u?u?d?d;-2.3333333333333335;3
[3, 1, 2, 1, 0, 1, 0, 1];?d?l?u?l;-0.0;3
[4, 1, 4, 1, 3, 1, 3, 0];?s?l?s?l?d?l?d;-0.0;3
[3, 2, 3, 3, 0, 0, 1, 4];?d?u?d?d;-0.0;3
[2, 3, 3, 1, 3, 4, 0, 2];?u?d?d?l?d?s;-0.0;3
[2, 1, 3, 4, 4, 2, 2, 2];?u?l?d?s?s?u?u?u;-0.0;3
[2, 3, 3, 3, 0, 2, 0, 1];?u?d?d?d;-1.6;3
[2, 1, 2, 1, 0, 1, 0, 2];?u?l?u?l;-4.6;3
[1, 2, 4, 1, 0, 1, 4, 3];?l?u?s?l;-0.0;3
[2, 1, 2, 2, 3, 4, 2, 2];?u?l?u?u?d?s?u?u;-0.0;3
[1, 2, 2, 4, 3, 0, 2, 4];?l?u?u?s?d;-0.0;3
[3, 4, 1, 2, 1, 0, 0, 3];?d?s?l?u?l;-0.0;3
[2, 1, 2, 1, 0, 1, 1, 2];?u?l?u?l;-4.6;3
[3, 1, 2, 1, 1, 2, 0, 1];?d?l?u?l?l?u;-1.0;3
[2, 1, 2, 1, 0, 1, 0, 1];?u?l?u?l;-4.6;3
[4, 4, 1, 2, 2, 0, 0, 0];?s?s?l?u?u;-0.0;3
[4, 2, 1, 2, 1, 0, 0, 3];?s?u?l?u?l;-0.0;3
[1, 1, 4, 1, 3, 1, 3, 0];?l?l?s?l?d?l?d;-0.0;3
