Evaluations;BestFitness;SolutionArray
50;0.0;[3, 3, 3, 2, 4, 0, 2, 1]
100;22.066666666666666;[2, 2, 2, 2, 2, 2, 3, 3]
150;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
200;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
250;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
300;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
350;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
400;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
450;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
500;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
550;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
600;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
650;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
700;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
750;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
800;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
850;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
900;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
950;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
1000;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
1050;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
1100;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
1150;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
1200;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
1250;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
1300;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
1350;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
1400;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
1450;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
1500;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
1550;246.2;[2, 2, 2, 2, 2, 0, 1, 4]
