Array;Mask;Score;Generacion
[1, 1, 4, 4, 1, 0, 4, 0];?l?l?s?s?l;-0.2;1
[2, 4, 2, 3, 4, 2, 0, 1];?u?s?u?d?s?u;-0.0;1
[1, 2, 4, 2, 3, 2, 2, 4];?l?u?s?u?d?u?u?s;-0.0;1
[2, 1, 2, 2, 1, 3, 4, 1];?u?l?u?u?l?d?s?l;-0.0;1
[1, 3, 1, 2, 2, 3, 2, 2];?l?d?l?u?u?d?u?u;-0.16;1
[4, 4, 1, 2, 1, 4, 4, 2];?s?s?l?u?l?s?s?u;-0.0;1
[2, 2, 2, 1, 1, 4, 4, 2];?u?u?u?l?l?s?s?u;-0.0;1
[4, 1, 2, 2, 3, 4, 2, 3];?s?l?u?u?d?s?u?d;-0.0;1
[3, 3, 3, 1, 2, 1, 3, 3];?d?d?d?l?u?l?d?d;-0.0;1
[1, 1, 1, 3, 1, 4, 3, 2];?l?l?l?d?l?s?d?u;-0.0;1
[4, 3, 3, 3, 1, 1, 4, 1];?s?d?d?d?l?l?s?l;-0.0;1
[4, 3, 2, 1, 0, 2, 4, 0];?s?d?u?l;-0.0;1
[4, 4, 2, 4, 1, 1, 1, 0];?s?s?u?s?l?l?l;-0.0;1
[2, 1, 1, 3, 2, 3, 3, 2];?u?l?l?d?u?d?d?u;-0.08333333333333333;1
[4, 1, 2, 2, 3, 3, 0, 4];?s?l?u?u?d?d;-0.0;1
[2, 3, 1, 2, 3, 2, 4, 3];?u?d?l?u?d?u?s?d;-0.0;1
[3, 4, 3, 1, 4, 1, 2, 4];?d?s?d?l?s?l?u?s;-0.0;1
[1, 2, 4, 2, 1, 0, 3, 3];?l?u?s?u?l;-0.16666666666666666;1
[1, 2, 3, 2, 0, 1, 1, 4];?l?u?d?u;-0.3333333333333333;1
[2, 2, 1, 3, 4, 1, 3, 2];?u?u?l?d?s?l?d?u;-0.0;1
[4, 2, 4, 2, 3, 2, 0, 2];?s?u?s?u?d?u;-0.0;1
[3, 2, 3, 2, 0, 2, 1, 3];?d?u?d?u;-0.0;1
[2, 2, 4, 4, 3, 0, 0, 4];?u?u?s?s?d;-0.0;1
[2, 4, 1, 2, 4, 4, 4, 0];?u?s?l?u?s?s?s;-0.0;1
[3, 4, 3, 1, 1, 4, 0, 2];?d?s?d?l?l?s;-0.0;1
[1, 3, 4, 1, 4, 4, 4, 0];?l?d?s?l?s?s?s;-0.0;1
[4, 4, 4, 3, 0, 1, 3, 4];?s?s?s?d;-0.0;1
[4, 1, 2, 4, 1, 2, 0, 0];?s?l?u?s?l?u;-0.0;1
[3, 1, 2, 2, 2, 4, 4, 1];?d?l?u?u?u?s?s?l;-0.0;1
[4, 4, 4, 3, 2, 0, 0, 4];?s?s?s?d?u;-0.0;1
