Evaluations;BestFitness;SolutionArray
300;0.0;[2, 1, 3, 4, 1, 3, 0, 3]
600;2716.6025252679337;[1, 1, 1, 1, 0, 1, 3, 2]
900;2716.6025252679337;[1, 1, 1, 1, 0, 1, 3, 2]
1200;2716.6025252679337;[1, 1, 1, 1, 0, 1, 3, 2]
1500;3277.771680976446;[1, 1, 1, 1, 3, 3, 0, 0]
1800;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
2100;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
2400;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
2700;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
3000;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
3300;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
3600;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
3900;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
4200;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
4500;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
4800;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
5100;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
5400;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
5700;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
6000;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
6300;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
6600;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
6900;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
7200;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
7500;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
7800;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
8100;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
8400;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
8700;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
9000;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
9300;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
9600;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
9900;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
10200;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
10500;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
10800;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
11100;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
11400;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
11700;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
12000;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
12300;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
12600;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
12900;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
13200;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
13500;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
13800;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
14100;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
14400;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
14700;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
15000;16383.749705288426;[1, 1, 1, 1, 1, 1, 0, 2]
