Array;Mask;Score;Generacion
[4, 3, 4, 4, 2, 0, 4, 1];?s?d?s?s?u;-0.0;1
[3, 4, 1, 2, 1, 3, 2, 3];?d?s?l?u?l?d?u?d;-0.0;1
[1, 1, 3, 2, 4, 3, 3, 1];?l?l?d?u?s?d?d?l;-0.0;1
[1, 2, 2, 1, 0, 4, 3, 0];?l?u?u?l;-0.4256291756882317;1
[4, 1, 1, 3, 3, 3, 0, 3];?s?l?l?d?d?d;-0.21228258548301293;1
[4, 3, 2, 4, 3, 0, 3, 1];?s?d?u?s?d;-0.0;1
[3, 1, 3, 2, 3, 0, 2, 0];?d?l?d?u?d;-0.8512217585901044;1
[3, 3, 1, 1, 1, 2, 1, 4];?d?d?l?l?l?u?l?s;-0.0;1
[4, 2, 1, 2, 4, 2, 4, 0];?s?u?l?u?s?u?s;-0.0;1
[2, 4, 2, 3, 4, 4, 1, 4];?u?s?u?d?s?s?l?s;-0.0;1
[4, 1, 2, 2, 0, 2, 1, 2];?s?l?u?u;-0.0;1
[3, 2, 1, 4, 2, 4, 3, 4];?d?u?l?s?u?s?d?s;-0.0;1
[4, 3, 1, 1, 2, 3, 0, 1];?s?d?l?l?u?d;-0.0;1
[1, 1, 1, 4, 4, 0, 1, 1];?l?l?l?s?s;-0.21319352386296433;1
[2, 2, 2, 1, 3, 1, 4, 1];?u?u?u?l?d?l?s?l;-0.0;1
[3, 4, 4, 3, 2, 3, 2, 1];?d?s?s?d?u?d?u?l;-0.0;1
[4, 1, 2, 4, 0, 2, 1, 2];?s?l?u?s;-0.0;1
[2, 1, 4, 2, 2, 4, 4, 1];?u?l?s?u?u?s?s?l;-0.0;1
[3, 4, 3, 3, 3, 1, 1, 0];?d?s?d?d?d?l?l;-0.0;1
[4, 3, 3, 4, 0, 0, 4, 4];?s?d?d?s;-0.0;1
[2, 1, 3, 2, 0, 2, 3, 1];?u?l?d?u;-1.915065972958843;1
[2, 4, 3, 2, 2, 3, 0, 0];?u?s?d?u?u?d;-0.0;1
[1, 2, 1, 2, 3, 4, 1, 3];?l?u?l?u?d?s?l?d;-0.0;1
[1, 1, 1, 3, 2, 2, 0, 0];?l?l?l?d?u?u;-1.9182992103427872;1
[3, 4, 3, 4, 4, 3, 2, 4];?d?s?d?s?s?d?u?s;-0.0;1
[1, 3, 4, 4, 0, 2, 1, 0];?l?d?s?s;-0.0;1
[3, 3, 4, 2, 1, 2, 3, 4];?d?d?s?u?l?u?d?s;-0.0;1
[4, 2, 3, 2, 0, 3, 4, 3];?s?u?d?u;-0.0;1
[3, 2, 1, 3, 4, 1, 3, 2];?d?u?l?d?s?l?d?u;-0.0;1
[1, 1, 4, 1, 1, 0, 3, 0];?l?l?s?l?l;-1.5224334924928804;1
[1, 1, 2, 3, 1, 3, 2, 4];?l?l?u?d?l?d?u?s;-0.0;1
[4, 1, 1, 3, 3, 3, 2, 0];?s?l?l?d?d?d?u;-0.0;1
[3, 2, 2, 3, 4, 0, 3, 4];?d?u?u?d?s;-0.0;1
[3, 3, 2, 4, 1, 4, 3, 1];?d?d?u?s?l?s?d?l;-0.0;1
[3, 2, 3, 1, 3, 2, 1, 4];?d?u?d?l?d?u?l?s;-0.0;1
[1, 2, 3, 4, 2, 0, 2, 0];?l?u?d?s?u;-0.0;1
[3, 1, 1, 2, 1, 2, 4, 2];?d?l?l?u?l?u?s?u;-0.0;1
[1, 3, 4, 3, 0, 4, 0, 3];?l?d?s?d;-0.410244544721886;1
[4, 3, 2, 2, 1, 1, 0, 4];?s?d?u?u?l?l;-0.0;1
[1, 1, 2, 2, 4, 3, 3, 0];?l?l?u?u?s?d?d;-0.0;1
[1, 3, 4, 1, 4, 1, 0, 2];?l?d?s?l?s?l;-0.0;1
[3, 3, 3, 4, 0, 2, 2, 1];?d?d?d?s;-0.21256908229463223;1
[3, 3, 1, 1, 4, 2, 4, 1];?d?d?l?l?s?u?s?l;-0.0;1
[4, 2, 3, 3, 0, 4, 1, 4];?s?u?d?d;-0.0;1
[3, 3, 3, 1, 1, 0, 1, 4];?d?d?d?l?l;-20.278840599808856;1
[3, 2, 2, 2, 2, 1, 1, 1];?d?u?u?u?u?l?l?l;-0.12988600295178931;1
[3, 3, 4, 2, 4, 4, 3, 3];?d?d?s?u?s?s?d?d;-0.0;1
[3, 3, 3, 1, 3, 3, 0, 2];?d?d?d?l?d?d;-12.564494187537214;1
[3, 2, 4, 1, 0, 2, 2, 4];?d?u?s?l;-0.0;1
[4, 1, 2, 1, 4, 1, 4, 4];?s?l?u?l?s?l?s?s;-0.0;1
[4, 2, 3, 3, 0, 2, 0, 3];?s?u?d?d;-0.0;2
[4, 1, 1, 3, 3, 4, 1, 4];?s?l?l?d?d?s?l?s;-0.0;2
[1, 1, 1, 2, 1, 2, 4, 2];?l?l?l?u?l?u?s?u;-0.0;2
[1, 1, 1, 3, 2, 2, 0, 0];?l?l?l?d?u?u;-1.9182992103427872;2
[4, 1, 1, 1, 3, 3, 0, 2];?s?l?l?l?d?d;-1.0519502104952372;2
[3, 3, 3, 3, 3, 3, 2, 0];?d?d?d?d?d?d?u;-13.340769056718104;2
[4, 2, 1, 2, 4, 2, 0, 2];?s?u?l?u?s?u;-0.0;2
[3, 3, 3, 1, 3, 3, 4, 0];?d?d?d?l?d?d?s;-0.0;2
[2, 4, 2, 3, 4, 4, 1, 4];?u?s?u?d?s?s?l?s;-0.0;2
[1, 2, 2, 1, 0, 4, 3, 0];?l?u?u?l;-0.4256291756882317;2
[4, 1, 2, 4, 0, 2, 3, 1];?s?l?u?s;-0.0;2
[3, 2, 1, 3, 4, 1, 1, 2];?d?u?l?d?s?l?l?u;-0.0;2
[3, 3, 3, 1, 1, 0, 3, 0];?d?d?d?l?l;-20.278840599808856;2
[1, 1, 2, 2, 4, 3, 1, 4];?l?l?u?u?s?d?l?s;-0.0;2
[4, 3, 4, 1, 1, 0, 3, 0];?s?d?s?l?l;-0.0;2
[1, 1, 2, 0, 1, 1, 0, 4];?l?l?u;-0.0;2
[1, 3, 4, 2, 4, 4, 3, 3];?l?d?s?u?s?s?d?d;-0.0;2
[3, 1, 1, 4, 4, 0, 1, 1];?d?l?l?s?s;-0.0;2
[1, 3, 4, 1, 4, 1, 0, 4];?l?d?s?l?s?l;-0.0;2
[2, 4, 2, 3, 4, 4, 1, 2];?u?s?u?d?s?s?l?u;-0.0;2
[4, 3, 1, 1, 2, 3, 0, 1];?s?d?l?l?u?d;-0.0;2
[3, 4, 4, 3, 2, 3, 2, 1];?d?s?s?d?u?d?u?l;-0.0;2
[1, 1, 1, 4, 4, 0, 1, 1];?l?l?l?s?s;-0.21319352386296433;2
[1, 1, 2, 3, 1, 3, 2, 4];?l?l?u?d?l?d?u?s;-0.0;2
[4, 1, 1, 3, 3, 3, 0, 1];?s?l?l?d?d?d;-0.21228258548301293;2
[3, 3, 3, 4, 0, 2, 2, 3];?d?d?d?s;-0.21256908229463223;2
[1, 1, 4, 1, 3, 0, 4, 0];?l?l?s?l?d;-0.21354731343599123;2
[3, 1, 3, 2, 1, 0, 3, 0];?d?l?d?u?l;-2.170715485189642;2
[3, 1, 1, 2, 1, 0, 1, 4];?d?l?l?u?l;-2.1194770402350924;2
[3, 3, 3, 1, 1, 2, 4, 2];?d?d?d?l?l?u?s?u;-0.0;2
[3, 3, 2, 4, 1, 4, 3, 1];?d?d?u?s?l?s?d?l;-0.0;2
[3, 2, 2, 2, 2, 1, 1, 1];?d?u?u?u?u?l?l?l;-0.12988600295178931;2
[1, 3, 2, 4, 1, 4, 3, 1];?l?d?u?s?l?s?d?l;-0.0;2
[3, 1, 4, 1, 1, 0, 3, 0];?d?l?s?l?l;-0.0;2
[2, 1, 3, 2, 0, 2, 3, 1];?u?l?d?u;-1.915065972958843;2
[3, 4, 4, 3, 2, 3, 2, 2];?d?s?s?d?u?d?u?u;-0.0;2
[4, 3, 1, 1, 2, 2, 0, 0];?s?d?l?l?u?u;-0.0;2
[1, 1, 1, 3, 2, 3, 0, 1];?l?l?l?d?u?d;-0.4273276000213664;2
[1, 1, 4, 1, 0, 2, 2, 4];?l?l?s?l;-0.8542129676789303;2
[3, 2, 4, 1, 1, 0, 3, 0];?d?u?s?l?l;-0.0;2
[1, 1, 4, 1, 1, 0, 4, 1];?l?l?s?l?l;-1.5224334924928804;2
[2, 1, 4, 2, 2, 4, 3, 0];?u?l?s?u?u?s?d;-0.0;2
[3, 2, 3, 1, 3, 3, 0, 3];?d?u?d?l?d?d;-0.0;2
[4, 1, 1, 3, 3, 2, 1, 4];?s?l?l?d?d?u?l?s;-0.0;2
[1, 3, 4, 3, 0, 4, 2, 4];?l?d?s?d;-0.410244544721886;2
[1, 1, 2, 3, 1, 3, 0, 3];?l?l?u?d?l?d;-0.8532860044029558;2
[3, 3, 3, 1, 3, 3, 0, 4];?d?d?d?l?d?d;-12.564494187537214;2
[1, 1, 2, 3, 1, 3, 2, 2];?l?l?u?d?l?d?u?u;-0.7456528809864928;2
[2, 1, 3, 2, 0, 2, 3, 0];?u?l?d?u;-1.915065972958843;2
[1, 1, 4, 1, 1, 0, 3, 1];?l?l?s?l?l;-1.5224334924928804;2
[2, 1, 3, 2, 0, 2, 3, 0];?u?l?d?u;-1.915065972958843;3
[1, 1, 1, 3, 2, 2, 0, 0];?l?l?l?d?u?u;-1.9182992103427872;3
[3, 3, 3, 1, 1, 0, 3, 0];?d?d?d?l?l;-20.278840599808856;3
[2, 1, 3, 2, 0, 2, 3, 0];?u?l?d?u;-1.915065972958843;3
[3, 4, 4, 3, 2, 3, 2, 2];?d?s?s?d?u?d?u?u;-0.0;3
[3, 1, 3, 2, 1, 0, 3, 0];?d?l?d?u?l;-2.170715485189642;3
[1, 3, 4, 1, 4, 1, 1, 4];?l?d?s?l?s?l?l?s;-0.0;3
[3, 1, 1, 2, 1, 0, 0, 4];?d?l?l?u?l;-2.1194770402350924;3
