Array;Mask;Score;Generacion
[1, 2, 4, 2, 2, 4, 1, 2];?l?u?s?u?u?s?l?u;-0.0;1
[2, 1, 1, 2, 0, 1, 2, 3];?u?l?l?u;-5.558832521640843;1
[3, 4, 4, 3, 3, 2, 2, 0];?d?s?s?d?d?u?u;-0.0;1
[1, 4, 4, 2, 1, 4, 1, 2];?l?s?s?u?l?s?l?u;-0.0;1
[2, 3, 3, 3, 0, 2, 0, 4];?u?d?d?d;-1.6085180682823963;1
[3, 2, 4, 2, 0, 0, 2, 2];?d?u?s?u;-0.0;1
[3, 1, 1, 2, 3, 1, 3, 3];?d?l?l?u?d?l?d?d;-0.0;1
[2, 2, 4, 3, 3, 0, 1, 1];?u?u?s?d?d;-0.0;1
[1, 3, 4, 4, 2, 1, 3, 1];?l?d?s?s?u?l?d?l;-0.0;1
[4, 1, 1, 3, 2, 2, 1, 0];?s?l?l?d?u?u?l;-0.0;1
[1, 4, 2, 1, 1, 2, 3, 0];?l?s?u?l?l?u?d;-0.0;1
[1, 4, 1, 1, 2, 3, 1, 4];?l?s?l?l?u?d?l?s;-0.0;1
[3, 4, 3, 3, 4, 1, 2, 2];?d?s?d?d?s?l?u?u;-0.0;1
[2, 2, 2, 2, 1, 1, 2, 2];?u?u?u?u?l?l?u?u;-1.4321285229203324;1
[1, 3, 1, 1, 0, 0, 2, 2];?l?d?l?l;-29.573537518156545;1
[2, 3, 3, 4, 3, 3, 2, 0];?u?d?d?s?d?d?u;-0.0;1
[1, 3, 3, 3, 2, 3, 1, 2];?l?d?d?d?u?d?l?u;-0.0;1
[1, 4, 3, 3, 3, 1, 4, 2];?l?s?d?d?d?l?s?u;-0.0;1
[2, 1, 3, 1, 0, 3, 1, 1];?u?l?d?l;-1.4075441551628416;1
[4, 2, 4, 2, 2, 3, 1, 4];?s?u?s?u?u?d?l?s;-0.0;1
[3, 1, 3, 4, 4, 3, 3, 4];?d?l?d?s?s?d?d?s;-0.0;1
[3, 3, 2, 3, 2, 0, 1, 3];?d?d?u?d?u;-1.4399099850557913;1
[1, 3, 1, 4, 2, 3, 1, 0];?l?d?l?s?u?d?l;-0.0;1
[4, 4, 4, 1, 0, 4, 3, 4];?s?s?s?l;-0.20546647670606008;1
[3, 3, 1, 4, 0, 0, 1, 3];?d?d?l?s;-0.0;1
[2, 1, 2, 1, 0, 3, 0, 2];?u?l?u?l;-4.736142305014566;1
[2, 1, 1, 1, 1, 2, 4, 3];?u?l?l?l?l?u?s?d;-0.0;1
[2, 1, 1, 4, 1, 0, 2, 2];?u?l?l?s?l;-0.0;1
[4, 3, 2, 1, 1, 1, 2, 4];?s?d?u?l?l?l?u?s;-0.0;1
[2, 4, 2, 3, 2, 4, 1, 4];?u?s?u?d?u?s?l?s;-0.0;1
[3, 3, 1, 4, 3, 4, 4, 2];?d?d?l?s?d?s?s?u;-0.0;1
[1, 3, 1, 4, 3, 4, 3, 1];?l?d?l?s?d?s?d?l;-0.0;1
[1, 4, 1, 3, 2, 1, 2, 2];?l?s?l?d?u?l?u?u;-0.0;1
[1, 1, 3, 1, 3, 3, 3, 1];?l?l?d?l?d?d?d?l;-5.799538936654535;1
[2, 3, 2, 4, 4, 2, 1, 0];?u?d?u?s?s?u?l;-0.0;1
[1, 3, 4, 1, 1, 0, 2, 0];?l?d?s?l?l;-0.0;1
[4, 2, 4, 1, 3, 2, 0, 3];?s?u?s?l?d?u;-0.0;1
[4, 2, 4, 2, 4, 3, 3, 1];?s?u?s?u?s?d?d?l;-0.0;1
[3, 3, 4, 4, 3, 1, 3, 3];?d?d?s?s?d?l?d?d;-0.0;1
[1, 2, 3, 3, 4, 2, 4, 1];?l?u?d?d?s?u?s?l;-0.0;1
[2, 3, 4, 1, 4, 2, 2, 1];?u?d?s?l?s?u?u?l;-0.0;1
[1, 4, 3, 2, 3, 3, 2, 3];?l?s?d?u?d?d?u?d;-0.0;1
[3, 4, 1, 2, 1, 2, 0, 1];?d?s?l?u?l?u;-0.0;1
[2, 4, 3, 4, 1, 4, 0, 4];?u?s?d?s?l?s;-0.0;1
[2, 3, 3, 3, 4, 3, 2, 3];?u?d?d?d?s?d?u?d;-0.0;1
[2, 2, 3, 2, 4, 3, 3, 0];?u?u?d?u?s?d?d;-0.0;1
[2, 4, 3, 4, 0, 1, 0, 0];?u?s?d?s;-0.0;1
[4, 2, 4, 2, 4, 3, 4, 1];?s?u?s?u?s?d?s?l;-0.0;1
[1, 2, 2, 4, 2, 0, 4, 3];?l?u?u?s?u;-0.0;1
[2, 3, 1, 1, 2, 1, 0, 4];?u?d?l?l?u?l;-1.3649326619002082;1
[4, 2, 4, 2, 4, 3, 3, 4];?s?u?s?u?s?d?d?s;-0.0;2
[3, 1, 0, 4, 4, 3, 4, 1];?d?l;-0.0;2
[2, 3, 3, 3, 4, 3, 1, 4];?u?d?d?d?s?d?l?s;-0.0;2
[4, 2, 4, 2, 4, 3, 2, 3];?s?u?s?u?s?d?u?d;-0.0;2
[1, 1, 3, 1, 3, 3, 3, 1];?l?l?d?l?d?d?d?l;-5.799538936654535;2
[1, 4, 1, 1, 2, 3, 1, 4];?l?s?l?l?u?d?l?s;-0.0;2
[1, 2, 2, 4, 4, 3, 3, 1];?l?u?u?s?s?d?d?l;-0.0;2
[4, 2, 4, 2, 2, 0, 4, 3];?s?u?s?u?u;-0.0;2
[2, 1, 3, 1, 0, 3, 1, 1];?u?l?d?l;-1.4075441551628416;2
[2, 2, 2, 2, 1, 1, 2, 2];?u?u?u?u?l?l?u?u;-1.4321285229203324;2
[2, 1, 3, 1, 0, 3, 1, 1];?u?l?d?l;-1.4075441551628416;2
[2, 3, 4, 1, 4, 2, 2, 1];?u?d?s?l?s?u?u?l;-0.0;2
[4, 2, 4, 2, 4, 3, 3, 0];?s?u?s?u?s?d?d;-0.0;2
