Evaluations;BestFitness;SolutionArray
50;0.0;[1, 1, 3, 2, 4, 4, 4, 0]
100;21.186797845598818;[3, 3, 3, 1, 1, 0, 0, 1]
150;21.186797845598818;[3, 3, 3, 1, 1, 0, 0, 1]
200;44.397158308654966;[3, 3, 3, 3, 1, 0, 0, 1]
250;44.397158308654966;[3, 3, 3, 3, 1, 0, 0, 1]
300;44.397158308654966;[3, 3, 3, 3, 1, 0, 0, 1]
350;44.397158308654966;[3, 3, 3, 3, 1, 0, 4, 1]
400;191.2034268889987;[2, 2, 2, 2, 0, 0, 2, 0]
450;191.2034268889987;[2, 2, 2, 2, 0, 0, 2, 2]
500;287.07767981533743;[2, 2, 2, 2, 2, 0, 4, 1]
550;287.07767981533743;[2, 2, 2, 2, 2, 0, 4, 1]
600;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 1]
650;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 1]
700;2269.330837084987;[3, 3, 3, 3, 0, 1, 2, 2]
750;2269.330837084987;[3, 3, 3, 3, 0, 0, 2, 3]
800;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 1]
850;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 1]
900;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 1]
950;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 1]
1000;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 1]
1050;2269.330837084987;[3, 3, 3, 3, 0, 0, 2, 3]
1100;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 3]
1150;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 1]
1200;2269.330837084987;[3, 3, 3, 3, 0, 0, 2, 3]
1250;2269.330837084987;[3, 3, 3, 3, 0, 0, 0, 3]
1300;2269.330837084987;[3, 3, 3, 3, 0, 0, 2, 3]
1350;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 1]
1400;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 3]
1450;2269.330837084987;[3, 3, 3, 3, 0, 0, 2, 3]
1500;2269.330837084987;[3, 3, 3, 3, 0, 0, 2, 3]
1550;2269.330837084987;[3, 3, 3, 3, 0, 0, 2, 3]
1600;2269.330837084987;[3, 3, 3, 3, 0, 0, 1, 2]
1650;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 3]
1700;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 3]
1750;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 3]
1800;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 3]
1850;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 3]
1900;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 0]
1950;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 3]
2000;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 2]
2050;2269.330837084987;[3, 3, 3, 3, 0, 0, 4, 3]
2100;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 3]
2150;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 3]
2200;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 3]
2250;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 3]
2300;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 3]
2350;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 3]
2400;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 2]
2450;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 2]
2500;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 3]
2550;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 2]
2600;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 3]
2650;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 2]
2700;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 2]
2750;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 3]
2800;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 2]
2850;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 2]
2900;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 2]
2950;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 0]
3000;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 2]
3050;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 0]
3100;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 2]
3150;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 2]
3200;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 2]
3250;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 4]
3300;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 4]
3350;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 2]
3400;2400.5662524205313;[3, 3, 3, 3, 3, 0, 3, 2]
3450;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 2]
3500;2400.5662524205313;[3, 3, 3, 3, 3, 0, 2, 4]
3550;2400.5662524205313;[3, 3, 3, 3, 3, 0, 0, 4]
3600;8103.607248017951;[3, 3, 3, 3, 3, 3, 3, 3]
3650;8103.607248017951;[3, 3, 3, 3, 3, 3, 3, 3]
3700;8103.607248017951;[3, 3, 3, 3, 3, 3, 3, 3]
3750;8103.607248017951;[3, 3, 3, 3, 3, 3, 3, 3]
3800;8103.607248017951;[3, 3, 3, 3, 3, 3, 3, 3]
3850;8103.607248017951;[3, 3, 3, 3, 3, 3, 3, 3]
3900;8103.607248017951;[3, 3, 3, 3, 3, 3, 3, 3]
3950;8103.607248017951;[3, 3, 3, 3, 3, 3, 3, 3]
4000;8103.607248017951;[3, 3, 3, 3, 3, 3, 3, 3]
4050;8103.607248017951;[3, 3, 3, 3, 3, 3, 3, 3]
4100;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
4150;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
4200;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
4250;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
4300;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
4350;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
4400;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
4450;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
4500;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
4550;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
4600;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
4650;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
4700;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
4750;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
4800;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
4850;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
4900;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
4950;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 1]
5000;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
5050;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
5100;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
5150;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
5200;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
5250;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
5300;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
5350;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
5400;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
5450;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
5500;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
5550;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
5600;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
5650;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
5700;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 2]
5750;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
5800;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 0]
5850;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 2]
5900;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
5950;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
6000;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 2]
6050;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
6100;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
6150;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
6200;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 2]
6250;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 2]
6300;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 1]
6350;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 2]
6400;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 2]
6450;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 1]
6500;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 2]
6550;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 3]
6600;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 0]
6650;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 1]
6700;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 0]
6750;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 0]
6800;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 2]
6850;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 0]
6900;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 0]
6950;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 0]
7000;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 2]
7050;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 2]
7100;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 2]
7150;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 2]
7200;12638.59424408598;[3, 3, 3, 3, 3, 3, 0, 2]
