Evaluations;BestFitness;SolutionArray
100;0.0;[2, 1, 3, 4, 4, 3, 4, 3]
200;20.666666666666668;[1, 3, 1, 3, 1, 0, 3, 3]
300;501.3333333333333;[1, 1, 1, 1, 3, 0, 0, 4]
400;501.3333333333333;[1, 1, 1, 1, 3, 0, 0, 4]
500;1478.6666666666667;[1, 1, 1, 3, 3, 3, 0, 4]
600;1521.8333333333333;[1, 1, 1, 3, 3, 3, 3, 0]
700;2110.2;[3, 3, 3, 3, 3, 0, 1, 3]
800;5262.8;[1, 1, 1, 1, 1, 0, 1, 3]
900;5262.8;[1, 1, 1, 1, 1, 0, 1, 3]
1000;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
1100;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
1200;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
1300;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
1400;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
1500;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
1600;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
1700;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
1800;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
1900;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
2000;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
2100;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
2200;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
2300;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
2400;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
2500;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
2600;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
2700;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
2800;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
2900;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
3000;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
3100;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
3200;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
3300;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
3400;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
3500;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
3600;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
3700;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
3800;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
3900;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
4000;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
4100;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
4200;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
4300;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
4400;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
4500;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
4600;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
4700;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
4800;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
4900;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
5000;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
5100;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
5200;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
5300;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
5400;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
5500;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
5600;13640.4;[3, 3, 3, 3, 3, 3, 0, 4]
