Array;Mask;Score;Generacion
[2, 1, 3, 4, 4, 3, 4, 3];?u?l?d?s?s?d?s?d;-0.0;1
[4, 1, 3, 1, 2, 3, 0, 2];?s?l?d?l?u?d;-0.0;1
[1, 1, 4, 4, 3, 2, 3, 0];?l?l?s?s?d?u?d;-0.0;1
[2, 4, 1, 1, 4, 0, 0, 4];?u?s?l?l?s;-0.0;1
[3, 3, 2, 4, 2, 2, 0, 4];?d?d?u?s?u?u;-0.0;1
[2, 2, 2, 3, 2, 2, 3, 1];?u?u?u?d?u?u?d?l;-0.07407407407407407;1
[4, 3, 2, 4, 3, 3, 3, 0];?s?d?u?s?d?d?d;-0.0;1
[1, 1, 3, 3, 2, 2, 1, 2];?l?l?d?d?u?u?l?u;-0.04;1
[2, 1, 1, 3, 3, 0, 0, 1];?u?l?l?d?d;-7.2;1
[4, 4, 3, 2, 2, 2, 1, 2];?s?s?d?u?u?u?l?u;-0.0;1
[2, 3, 4, 1, 3, 4, 1, 0];?u?d?s?l?d?s?l;-0.0;1
[1, 1, 1, 1, 4, 0, 0, 3];?l?l?l?l?s;-1.0;1
[4, 4, 3, 3, 2, 4, 0, 2];?s?s?d?d?u?s;-0.0;1
[2, 4, 3, 3, 1, 1, 0, 3];?u?s?d?d?l?l;-0.0;1
[3, 4, 4, 1, 0, 1, 1, 1];?d?s?s?l;-0.0;1
[1, 3, 1, 2, 3, 2, 3, 2];?l?d?l?u?d?u?d?u;-0.15384615384615385;1
[3, 1, 3, 3, 2, 2, 0, 2];?d?l?d?d?u?u;-0.0;1
[3, 2, 3, 3, 2, 3, 0, 2];?d?u?d?d?u?d;-0.2;1
[2, 2, 4, 2, 4, 1, 2, 0];?u?u?s?u?s?l?u;-0.0;1
[2, 2, 4, 2, 2, 4, 4, 1];?u?u?s?u?u?s?s?l;-0.0;1
[3, 3, 2, 1, 2, 2, 2, 4];?d?d?u?l?u?u?u?s;-0.0;1
[3, 2, 2, 2, 1, 2, 1, 2];?d?u?u?u?l?u?l?u;-0.0;1
[3, 4, 3, 4, 1, 2, 2, 3];?d?s?d?s?l?u?u?d;-0.0;1
[2, 3, 2, 4, 1, 1, 3, 0];?u?d?u?s?l?l?d;-0.0;1
[2, 2, 2, 3, 2, 3, 0, 3];?u?u?u?d?u?d;-3.25;1
[3, 1, 3, 3, 4, 3, 3, 0];?d?l?d?d?s?d?d;-0.0;1
[1, 3, 1, 4, 1, 0, 4, 4];?l?d?l?s?l;-0.2;1
[2, 2, 4, 1, 3, 2, 3, 3];?u?u?s?l?d?u?d?d;-0.0;1
[3, 3, 3, 4, 3, 4, 4, 2];?d?d?d?s?d?s?s?u;-0.0;1
[1, 4, 2, 4, 3, 0, 0, 0];?l?s?u?s?d;-0.0;1
[4, 4, 3, 3, 2, 3, 4, 4];?s?s?d?d?u?d?s?s;-0.0;1
[2, 1, 2, 2, 0, 4, 0, 2];?u?l?u?u;-3.2;1
[3, 3, 1, 3, 1, 3, 0, 1];?d?d?l?d?l?d;-2.3333333333333335;1
