Evaluations;BestFitness;SolutionArray
50;0.0;[2, 0, 1, 0, 0, 1, 4, 4, 4, 0, 3, 1]
100;4.6;[2, 1, 2, 1, 0, 0, 0, 1, 0, 4, 1, 0]
150;4.6;[2, 1, 2, 1, 0, 0, 0, 1, 0, 4, 1, 0]
200;20.4;[1, 3, 1, 3, 0, 0, 0, 1, 0, 4, 1, 0]
250;181.0;[1, 1, 1, 3, 0, 0, 0, 1, 0, 4, 1, 0]
300;181.0;[1, 1, 1, 3, 0, 0, 0, 1, 0, 4, 1, 0]
350;181.0;[1, 1, 1, 3, 0, 0, 0, 1, 0, 4, 1, 0]
400;2493.2;[1, 1, 1, 1, 0, 0, 0, 1, 0, 4, 1, 0]
450;5262.8;[1, 1, 1, 1, 1, 0, 0, 1, 0, 4, 1, 0]
500;5262.8;[1, 1, 1, 1, 1, 0, 0, 1, 0, 4, 1, 0]
550;5262.8;[1, 1, 1, 1, 1, 0, 0, 1, 0, 4, 1, 0]
600;5262.8;[1, 1, 1, 1, 1, 0, 0, 1, 0, 4, 1, 0]
650;5262.8;[1, 1, 1, 1, 1, 0, 0, 1, 0, 4, 1, 0]
700;5262.8;[1, 1, 1, 1, 1, 0, 0, 1, 0, 4, 1, 0]
750;5262.8;[1, 1, 1, 1, 1, 0, 0, 1, 0, 4, 1, 0]
800;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
850;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
900;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
950;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1050;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1100;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1150;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1250;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1300;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1350;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1400;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1450;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1500;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1550;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1600;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1650;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1700;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1750;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1800;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1850;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1900;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
1950;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
2000;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
2050;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
2100;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
2150;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
2200;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
2250;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
2300;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
2350;17761.8;[1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 1, 0]
